  Lines       Copies     Function name
  -----       ------     -------------
  841 (100%)  42 (100%)  (TOTAL)
  220 (26.2%)  1 (2.4%)  nb_connect::connect
  124 (14.7%)  2 (4.8%)  alloc::alloc::box_free
   56 (6.7%)   1 (2.4%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
   53 (6.3%)   1 (2.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   51 (6.1%)   1 (2.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   43 (5.1%)   1 (2.4%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
   38 (4.5%)   1 (2.4%)  std::io::error::Error::kind
   34 (4.0%)   1 (2.4%)  std::io::error::Error::raw_os_error
   31 (3.7%)   1 (2.4%)  core::ptr::drop_in_place<alloc::boxed::Box<std::io::error::Custom>>
   20 (2.4%)   1 (2.4%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
   17 (2.0%)   1 (2.4%)  <T as core::convert::From<T>>::from
   15 (1.8%)   2 (4.8%)  core::ptr::unique::Unique<T>::as_ref
   14 (1.7%)   2 (4.8%)  core::ptr::unique::Unique<T>::cast
   14 (1.7%)   1 (2.4%)  <std::io::error::ErrorKind as core::cmp::PartialEq>::eq
   14 (1.7%)   1 (2.4%)  core::alloc::layout::Layout::from_size_align_unchecked
   12 (1.4%)   1 (2.4%)  alloc::alloc::dealloc
   10 (1.2%)   1 (2.4%)  core::ptr::drop_in_place<std::io::error::Repr>
    8 (1.0%)   3 (7.1%)  core::ptr::unique::Unique<T>::as_ptr
    6 (0.7%)   1 (2.4%)  core::ptr::drop_in_place<dyn std::error::Error+core::marker::Send+core::marker::Sync>
    5 (0.6%)   1 (2.4%)  <core::ptr::non_null::NonNull<T> as core::convert::From<core::ptr::unique::Unique<T>>>::from
    5 (0.6%)   1 (2.4%)  core::alloc::layout::Layout::align
    4 (0.5%)   1 (2.4%)  <std::os::fd::owned::OwnedFd as core::ops::drop::Drop>::drop
    4 (0.5%)   1 (2.4%)  core::cmp::impls::<impl core::cmp::PartialEq for i32>::eq
    4 (0.5%)   1 (2.4%)  core::num::nonzero::NonZeroUsize::new_unchecked
    4 (0.5%)   1 (2.4%)  core::ptr::drop_in_place<std::io::error::Custom>
    4 (0.5%)   1 (2.4%)  core::ptr::drop_in_place<std::io::error::Error>
    4 (0.5%)   1 (2.4%)  core::ptr::non_null::NonNull<T>::new_unchecked
    4 (0.5%)   1 (2.4%)  core::ptr::unique::Unique<T>::new_unchecked
    3 (0.4%)   1 (2.4%)  core::alloc::layout::Layout::size
    3 (0.4%)   1 (2.4%)  core::ptr::drop_in_place<socket2::socket::Socket>
    3 (0.4%)   1 (2.4%)  core::ptr::drop_in_place<std::net::tcp::TcpStream>
    3 (0.4%)   1 (2.4%)  core::ptr::drop_in_place<std::os::fd::owned::OwnedFd>
    3 (0.4%)   1 (2.4%)  core::ptr::drop_in_place<std::sys::unix::fd::FileDesc>
    3 (0.4%)   1 (2.4%)  core::ptr::drop_in_place<std::sys::unix::net::Socket>
    3 (0.4%)   1 (2.4%)  core::ptr::drop_in_place<std::sys_common::net::TcpStream>
    1 (0.1%)   1 (2.4%)  core::num::nonzero::NonZeroUsize::get
    1 (0.1%)   1 (2.4%)  core::ptr::non_null::NonNull<T>::as_ptr
