  Lines         Copies      Function name
  -----         ------      -------------
  15321 (100%)  691 (100%)  (TOTAL)
    626 (4.1%)    2 (0.3%)  core::str::pattern::TwoWaySearcher::next
    511 (3.3%)   12 (1.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    379 (2.5%)    6 (0.9%)  core::result::Result<T,E>::map_err
    341 (2.2%)    1 (0.1%)  std::io::default_read_to_end
    323 (2.1%)    5 (0.7%)  alloc::alloc::box_free
    314 (2.0%)    4 (0.6%)  core::result::Result<T,E>::map
    241 (1.6%)   10 (1.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    232 (1.5%)    4 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    229 (1.5%)    1 (0.1%)  opener::linux_and_more::open_with_internal_xdg_open
    211 (1.4%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    188 (1.2%)    1 (0.1%)  <opener::OpenError as core::fmt::Display>::fmt
    186 (1.2%)    1 (0.1%)  std::io::Write::write_all
    178 (1.2%)    1 (0.1%)  opener::linux_and_more::wsl_open
    174 (1.1%)    8 (1.2%)  core::ptr::read
    166 (1.1%)    4 (0.6%)  core::option::Option<T>::map
    164 (1.1%)    1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    159 (1.0%)    1 (0.1%)  opener::wait_child
    157 (1.0%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    157 (1.0%)    1 (0.1%)  opener::wsl_to_windows_path
    156 (1.0%)    4 (0.6%)  core::option::Option<T>::ok_or
    155 (1.0%)    5 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    154 (1.0%)    1 (0.1%)  alloc::raw_vec::finish_grow
    149 (1.0%)    1 (0.1%)  core::ptr::drop_in_place<std::sys::unix::process::process_common::Command>
    140 (0.9%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    139 (0.9%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
