  Lines         Copies      Function name
  -----         ------      -------------
  21641 (100%)  987 (100%)  (TOTAL)
   2552 (11.8%)   1 (0.1%)  openssl_src::Build::build
    626 (2.9%)    2 (0.2%)  core::str::pattern::TwoWaySearcher::next
    580 (2.7%)   10 (1.0%)  alloc::raw_vec::RawVec<T,A>::current_memory
    488 (2.3%)    8 (0.8%)  alloc::alloc::box_free
    310 (1.4%)   10 (1.0%)  core::ptr::metadata::from_raw_parts_mut
    299 (1.4%)    1 (0.1%)  core::ptr::drop_in_place<cc::Build>
    290 (1.3%)   10 (1.0%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    280 (1.3%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    272 (1.3%)    7 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    266 (1.2%)    6 (0.6%)  core::result::Result<T,E>::unwrap
    240 (1.1%)    1 (0.1%)  openssl_src::cp_r
    229 (1.1%)    5 (0.5%)  std::process::Command::env
    220 (1.0%)    4 (0.4%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    211 (1.0%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    207 (1.0%)    3 (0.3%)  hashbrown::raw::RawTable<T,A>::drop_elements
    204 (0.9%)    3 (0.3%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
    203 (0.9%)    1 (0.1%)  openssl_src::Artifacts::print_cargo_metadata
    186 (0.9%)    6 (0.6%)  core::fmt::ArgumentV1::new
    185 (0.9%)    9 (0.9%)  core::ptr::read
    168 (0.8%)    4 (0.4%)  alloc::sync::Weak<T>::inner
    164 (0.8%)    1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    157 (0.7%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.7%)    4 (0.4%)  core::option::Option<T>::ok_or
    154 (0.7%)    1 (0.1%)  alloc::raw_vec::finish_grow
    149 (0.7%)    3 (0.3%)  core::result::Result<T,E>::map_err
    149 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<std::sys::unix::process::process_common::Command>
    143 (0.7%)    3 (0.3%)  core::option::Option<T>::map
    141 (0.7%)    2 (0.2%)  core::result::Result<T,E>::map
    139 (0.6%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    138 (0.6%)    3 (0.3%)  core::mem::replace
    137 (0.6%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    126 (0.6%)    3 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    123 (0.6%)    3 (0.3%)  core::slice::iter::Iter<T>::new
    122 (0.6%)    3 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    117 (0.5%)   18 (1.8%)  core::ptr::unique::Unique<T>::cast
    116 (0.5%)    6 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    108 (0.5%)    1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    107 (0.5%)   10 (1.0%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    105 (0.5%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    104 (0.5%)    1 (0.1%)  alloc::collections::btree::mem::replace
    102 (0.5%)    2 (0.2%)  core::alloc::layout::Layout::array
    101 (0.5%)    1 (0.1%)  openssl_src::Build::run_command
     98 (0.5%)    1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
     96 (0.4%)    4 (0.4%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     96 (0.4%)    4 (0.4%)  core::alloc::layout::Layout::for_value_raw
     96 (0.4%)    3 (0.3%)  hashbrown::raw::Bucket<T>::next_n
     96 (0.4%)    1 (0.1%)  core::str::validations::next_code_point
     93 (0.4%)    3 (0.3%)  core::ptr::metadata::from_raw_parts
     93 (0.4%)    3 (0.3%)  std::process::Command::arg
     90 (0.4%)   10 (1.0%)  alloc::vec::Vec<T,A>::as_mut_ptr
     90 (0.4%)   10 (1.0%)  core::ptr::slice_from_raw_parts_mut
     90 (0.4%)    9 (0.9%)  core::ptr::mut_ptr::<impl *mut T>::offset
     90 (0.4%)    3 (0.3%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::next
     89 (0.4%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     89 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<cc::Tool>
     87 (0.4%)   10 (1.0%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     87 (0.4%)    3 (0.3%)  hashbrown::raw::RawTable<T,A>::iter
     86 (0.4%)    1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
     86 (0.4%)    1 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
     85 (0.4%)    1 (0.1%)  openssl_src::Build::new
     84 (0.4%)    3 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     82 (0.4%)    1 (0.1%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::iter::traits::collect::IntoIterator>::into_iter
     82 (0.4%)    1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
     82 (0.4%)    1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     81 (0.4%)    3 (0.3%)  hashbrown::raw::Bucket<T>::from_base_index
     80 (0.4%)    5 (0.5%)  core::alloc::layout::size_align
     79 (0.4%)    8 (0.8%)  <&T as core::convert::AsRef<U>>::as_ref
     79 (0.4%)    2 (0.2%)  std::process::Command::new
     78 (0.4%)    3 (0.3%)  hashbrown::raw::TableLayout::new
     77 (0.4%)    2 (0.2%)  core::result::Result<T,E>::ok
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[(alloc::string::String,core::option::Option<alloc::string::String>)]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[(std::ffi::os_str::OsString,std::ffi::os_str::OsString)]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::boxed::Box<dyn core::ops::function::FnMut<()>+Output = core::result::Result<(),std::io::error::Error>+core::marker::Send+core::marker::Sync>]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::string::String]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[std::ffi::c_str::CString]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[std::ffi::os_str::OsString]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[std::path::PathBuf]>
     76 (0.4%)    1 (0.1%)  <alloc::collections::btree::map::IntoIter<K,V> as core::ops::drop::Drop>::drop
     76 (0.4%)    1 (0.1%)  core::cmp::max_by
     74 (0.3%)    1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
     73 (0.3%)    4 (0.4%)  core::option::Option<T>::unwrap
     73 (0.3%)    1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_end
     73 (0.3%)    1 (0.1%)  core::str::iter::SplitInternal<P>::next
     72 (0.3%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
