  Lines         Copies      Function name
  -----         ------      -------------
  21902 (100%)  727 (100%)  (TOTAL)
   2184 (10.0%)   7 (1.0%)  parking_lot_core::parking_lot::park::{{closure}}
   1791 (8.2%)    5 (0.7%)  parking_lot_core::parking_lot::unpark_filter
   1041 (4.8%)   36 (5.0%)  core::ops::function::FnOnce::call_once
    706 (3.2%)    2 (0.3%)  parking_lot_core::parking_lot::unpark_requeue
    610 (2.8%)    2 (0.3%)  smallvec::SmallVec<A>::try_grow
    606 (2.8%)    3 (0.4%)  parking_lot::raw_rwlock::RawRwLock::lock_common
    604 (2.8%)    8 (1.1%)  std::thread::local::LocalKey<T>::try_with
    581 (2.7%)    7 (1.0%)  parking_lot_core::parking_lot::with_thread_data
    464 (2.1%)   10 (1.4%)  parking_lot::raw_rwlock::RawRwLock::wake_parked_threads::{{closure}}
    440 (2.0%)   10 (1.4%)  core::mem::replace
    402 (1.8%)    2 (0.3%)  parking_lot_core::parking_lot::unpark_one
    374 (1.7%)    2 (0.3%)  core::sync::atomic::atomic_compare_exchange_weak
    329 (1.5%)    5 (0.7%)  parking_lot::raw_rwlock::RawRwLock::wake_parked_threads
    290 (1.3%)    1 (0.1%)  parking_lot::once::Once::call_once_slow
    235 (1.1%)   13 (1.8%)  core::ptr::read
    224 (1.0%)    7 (1.0%)  core::result::Result<T,E>::unwrap_or_else
    210 (1.0%)    1 (0.1%)  parking_lot::raw_mutex::RawMutex::lock_slow
    203 (0.9%)    6 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    201 (0.9%)    7 (1.0%)  parking_lot_core::parking_lot::park
    192 (0.9%)    5 (0.7%)  core::sync::atomic::atomic_load
    188 (0.9%)    1 (0.1%)  core::sync::atomic::atomic_compare_exchange
    186 (0.8%)    6 (0.8%)  core::cell::Cell<T>::replace
    181 (0.8%)    1 (0.1%)  parking_lot::raw_rwlock::RawRwLock::unlock_upgradable_slow::{{closure}}
    176 (0.8%)    1 (0.1%)  parking_lot_core::parking_lot::unpark_all
    171 (0.8%)    1 (0.1%)  parking_lot::raw_rwlock::RawRwLock::wait_for_readers
