  Lines         Copies      Function name
  -----         ------      -------------
  17258 (100%)  740 (100%)  (TOTAL)
    822 (4.8%)    3 (0.4%)  <yansi::paint::Paint<T> as core::fmt::Display>::fmt
    626 (3.6%)    2 (0.3%)  core::str::pattern::TwoWaySearcher::next
    590 (3.4%)    1 (0.1%)  <pear::input::text::Span as pear::input::show::Show>::fmt
    398 (2.3%)    2 (0.3%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    346 (2.0%)    1 (0.1%)  pear::debug::Tree<pear::debug::Info>::debug_print
    319 (1.8%)    9 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    310 (1.8%)   10 (1.4%)  core::fmt::ArgumentV1::new
    289 (1.7%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    278 (1.6%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    241 (1.4%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    232 (1.3%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    230 (1.3%)    5 (0.7%)  core::mem::replace
    226 (1.3%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    212 (1.2%)    1 (0.1%)  <pear::input::text::Text as pear::input::input::Input>::context
    211 (1.2%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    190 (1.1%)    4 (0.5%)  core::option::Option<T>::map
    157 (0.9%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    154 (0.9%)    1 (0.1%)  alloc::raw_vec::finish_grow
    153 (0.9%)    3 (0.4%)  core::alloc::layout::Layout::array
    153 (0.9%)    3 (0.4%)  yansi::paint::Paint<T>::new
    151 (0.9%)    1 (0.1%)  core::char::methods::<impl char>::escape_debug_ext
    150 (0.9%)    1 (0.1%)  alloc::str::<impl str>::replace
    149 (0.9%)    3 (0.4%)  core::result::Result<T,E>::map_err
    142 (0.8%)    1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    140 (0.8%)    2 (0.3%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    140 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    138 (0.8%)    6 (0.8%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    135 (0.8%)    4 (0.5%)  core::option::Option<T>::ok_or
    132 (0.8%)    8 (1.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    126 (0.7%)    1 (0.1%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::next
    126 (0.7%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    126 (0.7%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    124 (0.7%)    4 (0.5%)  core::ptr::metadata::from_raw_parts
    120 (0.7%)    3 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    119 (0.7%)    3 (0.4%)  core::slice::iter::Iter<T>::new
    116 (0.7%)    3 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    113 (0.7%)    6 (0.8%)  core::ptr::read
    108 (0.6%)    1 (0.1%)  core::hash::sip::u8to64_le
    108 (0.6%)    1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    107 (0.6%)    1 (0.1%)  <pear::input::text::Span as pear::input::show::Show>::fmt::{{closure}}
    105 (0.6%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    102 (0.6%)    2 (0.3%)  alloc::vec::Vec<T,A>::push
    101 (0.6%)    1 (0.1%)  core::iter::traits::iterator::Iterator::fold
     97 (0.6%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
     96 (0.6%)    1 (0.1%)  core::str::validations::next_code_point
     94 (0.5%)    2 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     93 (0.5%)    3 (0.4%)  core::ptr::metadata::from_raw_parts_mut
     89 (0.5%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     87 (0.5%)    3 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     82 (0.5%)    1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     81 (0.5%)    3 (0.4%)  yansi::paint::Paint<T>::fg
     77 (0.4%)    1 (0.1%)  <core::str::LinesAnyMap as core::ops::function::Fn<(&str,)>>::call
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[pear::debug::Info]>
     76 (0.4%)    1 (0.1%)  core::cmp::max_by
     76 (0.4%)    1 (0.1%)  core::cmp::min_by
     74 (0.4%)    1 (0.1%)  std::thread::local::LocalKey<T>::try_with
     73 (0.4%)    1 (0.1%)  core::str::iter::SplitInternal<P>::next
     70 (0.4%)    2 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
     70 (0.4%)    1 (0.1%)  pear::input::text::line_col
     69 (0.4%)    1 (0.1%)  hashbrown::raw::RawTable<T,A>::drop_elements
     68 (0.4%)    1 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
     66 (0.4%)    2 (0.3%)  core::cell::Cell<T>::replace
     66 (0.4%)    1 (0.1%)  pear::debug::Tree<T>::new
     65 (0.4%)    1 (0.1%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     63 (0.4%)    1 (0.1%)  pear::debug::Info::new
     60 (0.3%)    1 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold
     60 (0.3%)    1 (0.1%)  hashbrown::raw::RawTable<T,A>::find
     59 (0.3%)    1 (0.1%)  <pear::input::text::Span as core::fmt::Debug>::fmt
     58 (0.3%)    1 (0.1%)  <yansi::style::Style as core::default::Default>::default
     58 (0.3%)    1 (0.1%)  std::thread::local::fast::Key<T>::get
     58 (0.3%)    1 (0.1%)  std::thread::local::fast::Key<T>::try_initialize
     57 (0.3%)    1 (0.1%)  core::slice::<impl [T]>::ends_with
