  Lines          Copies       Function name
  -----          ------       -------------
  134388 (100%)  3943 (100%)  (TOTAL)
   13185 (9.8%)    45 (1.1%)  pest::parser_state::ParserState<R>::rule
    6171 (4.6%)   121 (3.1%)  core::result::Result<T,E>::and_then
    5896 (4.4%)    44 (1.1%)  pest::parser_state::ParserState<R>::sequence
    2094 (1.6%)     3 (0.1%)  pest_meta::ast::Expr::map_top_down::map_internal
    1989 (1.5%)    39 (1.0%)  core::result::Result<T,E>::or_else
    1946 (1.4%)    14 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1928 (1.4%)     1 (0.0%)  pest_meta::parser::consume_expr::unaries
    1906 (1.4%)     1 (0.0%)  pest_meta::parser::consume_expr::unaries::{{closure}}
    1729 (1.3%)    13 (0.3%)  pest::parser_state::ParserState<R>::atomic
    1710 (1.3%)     2 (0.1%)  pest_meta::parser::ParserNode::filter_map_top_down::filter_internal
    1503 (1.1%)    23 (0.6%)  core::iter::adapters::map::map_fold::{{closure}}
    1492 (1.1%)    12 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
    1452 (1.1%)    12 (0.3%)  pest::parser_state::ParserState<R>::repeat
    1418 (1.1%)     2 (0.1%)  pest_meta::ast::Expr::map_bottom_up::map_internal
    1260 (0.9%)     9 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1154 (0.9%)    13 (0.3%)  core::iter::traits::iterator::Iterator::fold
    1056 (0.8%)     4 (0.1%)  pest::parser_state::ParserState<R>::lookahead
    1035 (0.8%)     9 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     978 (0.7%)    19 (0.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     928 (0.7%)    16 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
     902 (0.7%)    10 (0.3%)  core::iter::adapters::map::map_try_fold::{{closure}}
     874 (0.7%)    16 (0.4%)  alloc::alloc::box_free
     872 (0.6%)     2 (0.1%)  alloc::slice::merge_sort
     814 (0.6%)     1 (0.0%)  pest_meta::parser::convert_node
     768 (0.6%)    16 (0.4%)  core::mem::replace
     742 (0.6%)    14 (0.4%)  pest::parser_state::ParserState<R>::optional
     723 (0.5%)    17 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     714 (0.5%)    14 (0.4%)  core::alloc::layout::Layout::array
     712 (0.5%)     1 (0.0%)  alloc::str::join_generic_copy
     689 (0.5%)     2 (0.1%)  pest_meta::parser::consume_expr::{{closure}}
     687 (0.5%)     1 (0.0%)  pest_meta::ast::ExprTopDownIterator::iterate_expr
     625 (0.5%)     1 (0.0%)  pest_meta::optimizer::rule_to_optimized_rule::to_optimized
     618 (0.5%)    28 (0.7%)  core::ptr::read
     617 (0.5%)     5 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
     586 (0.4%)     1 (0.0%)  <pest_meta::ast::Expr as core::fmt::Debug>::fmt
     562 (0.4%)    10 (0.3%)  alloc::vec::Vec<T,A>::push
     562 (0.4%)     1 (0.0%)  pest_meta::optimizer::OptimizedExprTopDownIterator::iterate_expr
     561 (0.4%)     1 (0.0%)  <pest_meta::parser::ParserExpr as core::fmt::Debug>::fmt
     558 (0.4%)    18 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     555 (0.4%)    10 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     555 (0.4%)     8 (0.2%)  pest_meta::optimizer::unroller::unroll::{{closure}}::{{closure}}
     555 (0.4%)     1 (0.0%)  pest_meta::optimizer::skipper::skip::{{closure}}
     554 (0.4%)     1 (0.0%)  pest_meta::validator::left_recursion::check_expr
     532 (0.4%)     5 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
     499 (0.4%)     1 (0.0%)  pest_meta::optimizer::factorizer::factor::{{closure}}
     498 (0.4%)     6 (0.2%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::Extend<(K,V)>>::extend
