  Lines        Copies      Function name
  -----        ------      -------------
  9966 (100%)  600 (100%)  (TOTAL)
   289 (2.9%)    1 (0.2%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
   272 (2.7%)    7 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   227 (2.3%)    3 (0.5%)  core::fmt::builders::DebugList::entries
   219 (2.2%)    1 (0.2%)  petgraph::algo::feedback_arc_set::Buckets::update_neighbour_node_buckets
   191 (1.9%)    4 (0.7%)  <core::option::Option<T> as core::fmt::Debug>::fmt
   169 (1.7%)    4 (0.7%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
   167 (1.7%)    4 (0.7%)  core::slice::iter::Iter<T>::new
   166 (1.7%)    4 (0.7%)  core::slice::iter::Iter<T>::post_inc_start
   157 (1.6%)    1 (0.2%)  alloc::alloc::Global::grow_impl
   154 (1.5%)    1 (0.2%)  alloc::raw_vec::finish_grow
   149 (1.5%)    3 (0.5%)  core::result::Result<T,E>::map_err
   142 (1.4%)    1 (0.2%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
   139 (1.4%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   124 (1.2%)    4 (0.7%)  core::ptr::metadata::from_raw_parts
   124 (1.2%)    1 (0.2%)  alloc::vec::Vec<T,A>::extend_with
   116 (1.2%)    6 (1.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   108 (1.1%)    1 (0.2%)  core::hash::sip::u8to64_le
   105 (1.1%)    3 (0.5%)  core::option::Option<T>::ok_or
   101 (1.0%)    1 (0.2%)  <f32 as petgraph::algo::BoundedMeasure>::overflowing_add
   101 (1.0%)    1 (0.2%)  <f64 as petgraph::algo::BoundedMeasure>::overflowing_add
    99 (1.0%)    3 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    98 (1.0%)    1 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    97 (1.0%)    1 (0.2%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
    96 (1.0%)    1 (0.2%)  petgraph::algo::feedback_arc_set::linked_list::LinkedList<Data,Container,Ix>::push_front
    95 (1.0%)    1 (0.2%)  <petgraph::matrix_graph::IdIterator as core::iter::traits::iterator::Iterator>::next
    94 (0.9%)    1 (0.2%)  hashbrown::raw::inner::RawTable<T,A>::find
    93 (0.9%)    3 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    93 (0.9%)    1 (0.2%)  <hashbrown::raw::inner::RawIterHashInner<A> as core::iter::traits::iterator::Iterator>::next
    92 (0.9%)    2 (0.3%)  core::mem::replace
    89 (0.9%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    89 (0.9%)    1 (0.2%)  petgraph::algo::feedback_arc_set::linked_list::LinkedList<Data,Container,Ix>::remove
    80 (0.8%)   20 (3.3%)  <&T as core::fmt::Debug>::fmt
    76 (0.8%)    1 (0.2%)  core::cmp::max_by
    76 (0.8%)    1 (0.2%)  core::cmp::min_by
    75 (0.8%)    3 (0.5%)  <[T] as core::fmt::Debug>::fmt
    75 (0.8%)    1 (0.2%)  core::fmt::builders::DebugSet::entries
    73 (0.7%)    1 (0.2%)  petgraph::algo::feedback_arc_set::Buckets::suitable_bucket
    69 (0.7%)    1 (0.2%)  <petgraph::algo::feedback_arc_set::FasNode as core::fmt::Debug>::fmt
    66 (0.7%)    2 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
    65 (0.7%)    1 (0.2%)  <petgraph::dot::Config as core::fmt::Debug>::fmt
    64 (0.6%)    1 (0.2%)  petgraph::algo::feedback_arc_set::Buckets::trim_bucket_list
    62 (0.6%)    1 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::rfind::check::{{closure}}
    60 (0.6%)   12 (2.0%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::eq
    60 (0.6%)    6 (1.0%)  core::ptr::mut_ptr::<impl *mut T>::offset
    59 (0.6%)    1 (0.2%)  <petgraph::algo::feedback_arc_set::Buckets as core::fmt::Debug>::fmt
    58 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    52 (0.5%)    1 (0.2%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    51 (0.5%)    1 (0.2%)  core::alloc::layout::Layout::array
    50 (0.5%)    5 (0.8%)  core::ptr::const_ptr::<impl *const T>::offset
    50 (0.5%)    1 (0.2%)  core::fmt::Arguments::new_v1
