  Lines        Copies      Function name
  -----        ------      -------------
  1975 (100%)  174 (100%)  (TOTAL)
   465 (23.5%)  15 (8.6%)  core::fmt::ArgumentV1::new
    75 (3.8%)    1 (0.6%)  core::fmt::builders::DebugList::entries
    66 (3.3%)   15 (8.6%)  <&T as core::fmt::Debug>::fmt
    50 (2.5%)    1 (0.6%)  core::fmt::Arguments::new_v1
    40 (2.0%)    1 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    39 (2.0%)    1 (0.6%)  core::slice::iter::Iter<T>::new
    38 (1.9%)    1 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    31 (1.6%)    1 (0.6%)  core::ptr::metadata::from_raw_parts
    30 (1.5%)    1 (0.6%)  <str as phf_shared::FmtConst>::fmt_const
    30 (1.5%)    1 (0.6%)  phf_shared::fmt_array
    27 (1.4%)    1 (0.6%)  <alloc::string::String as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <bool as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <char as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <i128 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <i16 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <i32 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <i64 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <i8 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <u128 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <u16 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <u32 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <u64 as phf_shared::FmtConst>::fmt_const
    27 (1.4%)    1 (0.6%)  <u8 as phf_shared::FmtConst>::fmt_const
    26 (1.3%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for i128>::fmt
    26 (1.3%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for i16>::fmt
    26 (1.3%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for i32>::fmt
