  Lines         Copies       Function name
  -----         ------       -------------
  30742 (100%)  1037 (100%)  (TOTAL)
   1247 (4.1%)     1 (0.1%)  base64::decode::decode_helper
   1000 (3.3%)     1 (0.1%)  postgres_protocol::authentication::sasl::ScramSha256::update
    917 (3.0%)    20 (1.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    768 (2.5%)     4 (0.4%)  block_buffer::BlockBuffer<BlockSize,Kind>::digest_blocks
    748 (2.4%)     1 (0.1%)  md5::compress::compress_block
    633 (2.1%)    19 (1.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    620 (2.0%)     4 (0.4%)  postgres_protocol::authentication::sasl::Parser::take_while
    601 (2.0%)     1 (0.1%)  postgres_protocol::authentication::sasl::ScramSha256::finish
    509 (1.7%)     4 (0.4%)  base64::encode::encode_config
    449 (1.5%)     1 (0.1%)  core::array::<impl core::default::Default for [T; 32]>::default
    432 (1.4%)     7 (0.7%)  core::result::Result<T,E>::map_err
    416 (1.4%)     4 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    413 (1.3%)     1 (0.1%)  base64::decode::decode_chunk
    378 (1.2%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::server_first_message
    372 (1.2%)     1 (0.1%)  postgres_protocol::password::scram_sha_256_salt
    358 (1.2%)     2 (0.2%)  block_buffer::BlockBuffer<BlockSize,block_buffer::Eager>::digest_pad
    355 (1.2%)     5 (0.5%)  core::iter::traits::iterator::Iterator::fold
    309 (1.0%)     3 (0.3%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate
    282 (0.9%)     4 (0.4%)  core::result::Result<T,E>::map
    272 (0.9%)     1 (0.1%)  generic_array::hex::<impl core::fmt::LowerHex for generic_array::GenericArray<u8,T>>::fmt
    263 (0.9%)     5 (0.5%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold
    250 (0.8%)     5 (0.5%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold::enumerate::{{closure}}
    248 (0.8%)     1 (0.1%)  postgres_protocol::escape::escape_internal
    246 (0.8%)     6 (0.6%)  core::iter::traits::iterator::Iterator::for_each
    244 (0.8%)    11 (1.1%)  core::ptr::read
    241 (0.8%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    235 (0.8%)     1 (0.1%)  postgres_protocol::authentication::sasl::hi
    234 (0.8%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::server_final_message
    228 (0.7%)     5 (0.5%)  core::mem::replace
    200 (0.7%)     4 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    197 (0.6%)     3 (0.3%)  alloc::alloc::box_free
    192 (0.6%)     6 (0.6%)  alloc::boxed::Box<T>::new
    188 (0.6%)     3 (0.3%)  generic_array::ArrayBuilder<T,N>::into_inner
    188 (0.6%)     1 (0.1%)  <hmac::optim::HmacCore<D> as crypto_common::KeyInit>::new_from_slice
    188 (0.6%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::server_error
    186 (0.6%)     6 (0.6%)  core::fmt::ArgumentV1::new
    184 (0.6%)    14 (1.4%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    177 (0.6%)     3 (0.3%)  <generic_array::ArrayBuilder<T,N> as core::ops::drop::Drop>::drop
    166 (0.5%)     4 (0.4%)  core::iter::traits::iterator::Iterator::zip
    166 (0.5%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::eat
    162 (0.5%)     3 (0.3%)  digest::FixedOutput::finalize_fixed
    157 (0.5%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    154 (0.5%)     1 (0.1%)  alloc::raw_vec::finish_grow
    152 (0.5%)     4 (0.4%)  core::result::Result<T,E>::unwrap
    151 (0.5%)     1 (0.1%)  base64::decode::decode_config_buf
    147 (0.5%)     1 (0.1%)  postgres_protocol::authentication::sasl::ScramSha256::new_inner
    143 (0.5%)     5 (0.5%)  std::io::error::Error::new
    140 (0.5%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    139 (0.5%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    138 (0.4%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::iteration_count
    138 (0.4%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::nonce
    138 (0.4%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::salt
    138 (0.4%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::verifier
    132 (0.4%)     2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    132 (0.4%)     1 (0.1%)  base64::decode::decode_chunk_precise
    122 (0.4%)     3 (0.3%)  core::slice::iter::Iter<T>::new
    122 (0.4%)     1 (0.1%)  alloc::vec::Vec<T,A>::extend_with
    120 (0.4%)     1 (0.1%)  hmac::get_der_key
    117 (0.4%)     1 (0.1%)  <md5::Md5Core as digest::core_api::FixedOutputCore>::finalize_fixed_core
    117 (0.4%)     1 (0.1%)  base64::decode::decode_config
    115 (0.4%)     1 (0.1%)  rand_core::SeedableRng::from_rng
    110 (0.4%)     1 (0.1%)  <sha2::core_api::Sha256VarCore as digest::core_api::VariableOutputCore>::finalize_variable_core
    109 (0.4%)     3 (0.3%)  generic_array::hex::<impl core::fmt::LowerHex for generic_array::GenericArray<u8,T>>::fmt::{{closure}}
    109 (0.4%)     1 (0.1%)  alloc::string::String::from_utf8
    107 (0.3%)     9 (0.9%)  <T as core::convert::Into<U>>::into
    105 (0.3%)     3 (0.3%)  core::option::Option<T>::ok_or
    100 (0.3%)     1 (0.1%)  postgres_protocol::authentication::sasl::ScramSha256::new
     97 (0.3%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::eof
     96 (0.3%)     1 (0.1%)  core::str::validations::next_code_point
     95 (0.3%)     2 (0.2%)  core::option::Option<T>::unwrap_unchecked
     95 (0.3%)     1 (0.1%)  <digest::core_api::wrapper::CoreWrapper<T> as crypto_common::KeyInit>::new_from_slice
     93 (0.3%)     3 (0.3%)  core::ptr::metadata::from_raw_parts
     92 (0.3%)     4 (0.4%)  std::error::<impl core::convert::From<E> for alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>::from
     90 (0.3%)     6 (0.6%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
     89 (0.3%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     88 (0.3%)     1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     87 (0.3%)     1 (0.1%)  <digest::core_api::ct_variable::CtVariableCoreWrapper<T,OutSize> as digest::core_api::FixedOutputCore>::finalize_fixed_core
     87 (0.3%)     1 (0.1%)  postgres_protocol::password::md5
     86 (0.3%)     2 (0.2%)  <digest::core_api::wrapper::CoreWrapper<T> as core::default::Default>::default
     83 (0.3%)     2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     82 (0.3%)     1 (0.1%)  <[T] as subtle::ConstantTimeEq>::ct_eq
     80 (0.3%)     2 (0.2%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
     80 (0.3%)     2 (0.2%)  core::result::Result<T,E>::expect
     80 (0.3%)     2 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
     80 (0.3%)     2 (0.2%)  core::slice::iter::IterMut<T>::new
     79 (0.3%)     1 (0.1%)  <T as digest::mac::Mac>::verify_slice
     78 (0.3%)     3 (0.3%)  <digest::core_api::wrapper::CoreWrapper<T> as digest::FixedOutput>::finalize_into
     78 (0.3%)     2 (0.2%)  core::slice::iter::IterMut<T>::post_inc_start
     77 (0.3%)     6 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::new
     76 (0.2%)    14 (1.4%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     76 (0.2%)     1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     76 (0.2%)     1 (0.1%)  core::cmp::max_by
     76 (0.2%)     1 (0.1%)  core::cmp::min_by
     75 (0.2%)     3 (0.3%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate::{{closure}}
     73 (0.2%)     1 (0.1%)  postgres_protocol::authentication::sasl::normalize
     72 (0.2%)     6 (0.6%)  core::any::TypeId::of
     72 (0.2%)     1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     72 (0.2%)     1 (0.1%)  postgres_protocol::authentication::sasl::Parser::posit_number
     71 (0.2%)     3 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     71 (0.2%)     1 (0.1%)  <alloc::string::String as core::iter::traits::collect::Extend<char>>::extend
     71 (0.2%)     1 (0.1%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
     71 (0.2%)     1 (0.1%)  rand::rngs::adapter::reseeding::ReseedingCore<R,Rsdr>::reseed_and_generate
     70 (0.2%)     1 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     70 (0.2%)     1 (0.1%)  postgres_protocol::types::write_pascal_string
     69 (0.2%)     1 (0.1%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::try_fold
     68 (0.2%)     1 (0.1%)  <rand::distributions::uniform::UniformInt<u8> as rand::distributions::uniform::UniformSampler>::sample_single_inclusive
     66 (0.2%)     1 (0.1%)  <D as digest::digest::Digest>::digest
     66 (0.2%)     1 (0.1%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
     63 (0.2%)     1 (0.1%)  core::option::Option<T>::get_or_insert_with
     62 (0.2%)     1 (0.1%)  <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
     61 (0.2%)     2 (0.2%)  <D as digest::digest::Digest>::update
     61 (0.2%)     1 (0.1%)  <core::slice::iter::Chunks<T> as core::iter::traits::iterator::Iterator>::next
     60 (0.2%)     4 (0.4%)  base64::encode::encode
     60 (0.2%)     3 (0.3%)  generic_array::ArrayBuilder<T,N>::iter_position
     60 (0.2%)     2 (0.2%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     60 (0.2%)     2 (0.2%)  postgres_protocol::authentication::sasl::ScramSha256::finish::{{closure}}
     58 (0.2%)     1 (0.1%)  <generic_array::iter::GenericArrayIter<T,N> as core::iter::traits::iterator::Iterator>::next
     58 (0.2%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
     58 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<postgres_protocol::authentication::sasl::State>
     57 (0.2%)     3 (0.3%)  <digest::core_api::wrapper::CoreWrapper<T> as digest::Update>::update
     55 (0.2%)    14 (1.4%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     54 (0.2%)     1 (0.1%)  <hmac::optim::HmacCore<D> as digest::core_api::FixedOutputCore>::finalize_fixed_core
     54 (0.2%)     1 (0.1%)  core::slice::iter::Iter<T>::make_slice
     53 (0.2%)     4 (0.4%)  core::mem::forget
     53 (0.2%)     1 (0.1%)  postgres_protocol::password::scram_sha_256
     51 (0.2%)     3 (0.3%)  generic_array::ArrayBuilder<T,N>::new
     51 (0.2%)     1 (0.1%)  <alloc::string::String as core::iter::traits::collect::FromIterator<char>>::from_iter
     51 (0.2%)     1 (0.1%)  <u8 as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     51 (0.2%)     1 (0.1%)  alloc::vec::Vec<T,A>::push
     51 (0.2%)     1 (0.1%)  core::alloc::layout::Layout::array
     50 (0.2%)    14 (1.4%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     50 (0.2%)     5 (0.5%)  core::iter::adapters::zip::TrustedRandomAccessNoCoerce::size
     50 (0.2%)     1 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     50 (0.2%)     1 (0.1%)  core::fmt::Arguments::new_v1
     49 (0.2%)     1 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     49 (0.2%)     1 (0.1%)  core::iter::adapters::map::map_fold::{{closure}}
     49 (0.2%)     1 (0.1%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
     48 (0.2%)     6 (0.6%)  core::iter::traits::iterator::Iterator::for_each::call
     48 (0.2%)     5 (0.5%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold::enumerate
     47 (0.2%)     1 (0.1%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::fold
     47 (0.2%)     1 (0.1%)  alloc::vec::Vec<T,A>::resize
     46 (0.1%)     9 (0.9%)  <T as core::convert::From<T>>::from
     46 (0.1%)     1 (0.1%)  <rand_chacha::chacha::ChaCha12Core as rand_core::block::BlockRngCore>::generate
     46 (0.1%)     1 (0.1%)  <sha2::core_api::Sha256VarCore as digest::core_api::VariableOutputCore>::new
     46 (0.1%)     1 (0.1%)  block_buffer::BlockBuffer<BlockSize,block_buffer::Eager>::len64_padding_be
     46 (0.1%)     1 (0.1%)  block_buffer::BlockBuffer<BlockSize,block_buffer::Eager>::len64_padding_le
     45 (0.1%)     1 (0.1%)  rand::rng::Rng::gen_range
     44 (0.1%)     1 (0.1%)  <rand::rngs::adapter::reseeding::ReseedingCore<R,Rsdr> as rand_core::block::BlockRngCore>::generate
     44 (0.1%)     1 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     44 (0.1%)     1 (0.1%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::size_hint
     43 (0.1%)     1 (0.1%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     43 (0.1%)     1 (0.1%)  <generic_array::iter::GenericArrayIter<T,N> as core::ops::drop::Drop>::drop
     43 (0.1%)     1 (0.1%)  core::option::Option<T>::and_then
     43 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
     43 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
     43 (0.1%)     1 (0.1%)  std::panicking::begin_panic::{{closure}}
     42 (0.1%)     1 (0.1%)  <i32 as postgres_protocol::FromUsize>::from_usize
     42 (0.1%)     1 (0.1%)  core::slice::<impl [T]>::starts_with
     41 (0.1%)     1 (0.1%)  rand::rngs::adapter::reseeding::ReseedingCore<R,Rsdr>::reseed::{{closure}}
     41 (0.1%)     1 (0.1%)  std::panicking::begin_panic
     40 (0.1%)     4 (0.4%)  std::error::Error::source
     40 (0.1%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     40 (0.1%)     1 (0.1%)  <rand::distributions::uniform::UniformInt<u8> as rand::distributions::uniform::UniformSampler>::sample_single
     40 (0.1%)     1 (0.1%)  core::str::<impl str>::is_char_boundary
     40 (0.1%)     1 (0.1%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::RangeFrom<usize>>::index
     40 (0.1%)     1 (0.1%)  postgres_protocol::authentication::sasl::ScramSha256::update::{{closure}}
     39 (0.1%)     1 (0.1%)  <alloc::rc::Rc<T> as core::ops::drop::Drop>::drop
     39 (0.1%)     1 (0.1%)  <core::iter::adapters::peekable::Peekable<I> as core::iter::traits::iterator::Iterator>::next
     39 (0.1%)     1 (0.1%)  <postgres_protocol::message::backend::Header as core::fmt::Debug>::fmt
     39 (0.1%)     1 (0.1%)  <postgres_protocol::types::ArrayDimension as core::fmt::Debug>::fmt
     39 (0.1%)     1 (0.1%)  alloc::raw_vec::handle_reserve
     38 (0.1%)     6 (0.6%)  core::ptr::write
     38 (0.1%)     1 (0.1%)  core::option::Option<T>::map
     38 (0.1%)     1 (0.1%)  core::slice::iter::ChunksExact<T>::new
     38 (0.1%)     1 (0.1%)  core::slice::iter::ChunksExactMut<T>::new
     38 (0.1%)     1 (0.1%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::index
     37 (0.1%)     1 (0.1%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
     37 (0.1%)     1 (0.1%)  md5::compress::compress
     36 (0.1%)     4 (0.4%)  core::iter::adapters::zip::Zip<A,B>::new
     36 (0.1%)     2 (0.2%)  alloc::raw_vec::finish_grow::{{closure}}
     36 (0.1%)     2 (0.2%)  core::option::Option<T>::take
     35 (0.1%)     1 (0.1%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::size_hint
     35 (0.1%)     1 (0.1%)  <core::slice::iter::ChunksExactMut<T> as core::iter::traits::iterator::Iterator>::size_hint
     35 (0.1%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::new_in
     34 (0.1%)     2 (0.2%)  <D as digest::digest::Digest>::finalize
     34 (0.1%)     1 (0.1%)  core::num::<impl usize>::overflowing_add
     34 (0.1%)     1 (0.1%)  core::num::<impl usize>::overflowing_mul
     34 (0.1%)     1 (0.1%)  core::num::<impl usize>::overflowing_sub
     34 (0.1%)     1 (0.1%)  std::sys_common::backtrace::__rust_end_short_backtrace
     33 (0.1%)     1 (0.1%)  core::slice::<impl [T]>::chunks
     33 (0.1%)     1 (0.1%)  core::slice::<impl [T]>::chunks_exact
     33 (0.1%)     1 (0.1%)  core::slice::<impl [T]>::chunks_exact_mut
     33 (0.1%)     1 (0.1%)  core::slice::<impl [T]>::split_at_unchecked
     32 (0.1%)     2 (0.2%)  postgres_protocol::authentication::sasl::Parser::posit_number::{{closure}}
     32 (0.1%)     1 (0.1%)  <rand_core::block::BlockRng<R> as rand_core::RngCore>::next_u32
     32 (0.1%)     1 (0.1%)  alloc::string::String::push
     32 (0.1%)     1 (0.1%)  core::num::<impl usize>::checked_add
     32 (0.1%)     1 (0.1%)  core::num::<impl usize>::checked_mul
     32 (0.1%)     1 (0.1%)  core::num::<impl usize>::checked_sub
     31 (0.1%)     3 (0.3%)  <core::option::Option<T> as core::ops::try_trait::FromResidual>::from_residual
     31 (0.1%)     3 (0.3%)  core::iter::adapters::enumerate::Enumerate<I>::new
     31 (0.1%)     1 (0.1%)  base64::decode::write_u64
     31 (0.1%)     1 (0.1%)  core::cell::Cell<T>::replace
     31 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<std::io::error::Custom>>
     31 (0.1%)     1 (0.1%)  core::ptr::metadata::from_raw_parts_mut
     31 (0.1%)     1 (0.1%)  generic_array::iter::GenericArrayIter<T,N>::as_mut_slice
     31 (0.1%)     1 (0.1%)  postgres_protocol::authentication::sasl::ChannelBinding::cbind_data
     30 (0.1%)     3 (0.3%)  <&T as core::convert::AsRef<U>>::as_ref
     30 (0.1%)     3 (0.3%)  core::ptr::const_ptr::<impl *const T>::offset
     30 (0.1%)     3 (0.3%)  core::ptr::mut_ptr::<impl *mut T>::offset
     30 (0.1%)     2 (0.2%)  core::ops::function::FnOnce::call_once
     30 (0.1%)     1 (0.1%)  <block_buffer::Eager as block_buffer::sealed::Sealed>::split_blocks
     30 (0.1%)     1 (0.1%)  core::num::<impl u32>::from_ne_bytes
     30 (0.1%)     1 (0.1%)  core::option::Option<T>::unwrap_or_else
     30 (0.1%)     1 (0.1%)  postgres_protocol::authentication::sasl::ScramSha256::new::{{closure}}
     29 (0.1%)     1 (0.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     29 (0.1%)     1 (0.1%)  alloc::borrow::Cow<B>::into_owned
     29 (0.1%)     1 (0.1%)  alloc::raw_vec::alloc_guard
     29 (0.1%)     1 (0.1%)  core::iter::adapters::peekable::Peekable<I>::new
     29 (0.1%)     1 (0.1%)  postgres_protocol::authentication::sasl::ChannelBinding::gs2_header
     28 (0.1%)     4 (0.4%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
     28 (0.1%)     4 (0.4%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
     28 (0.1%)     1 (0.1%)  alloc::alloc::exchange_malloc
     28 (0.1%)     1 (0.1%)  core::option::Option<T>::unwrap_or
     28 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
     27 (0.1%)     4 (0.4%)  core::ptr::unique::Unique<T>::cast
     27 (0.1%)     3 (0.3%)  core::ptr::slice_from_raw_parts
     27 (0.1%)     3 (0.3%)  core::slice::raw::from_raw_parts
     26 (0.1%)     4 (0.4%)  core::ptr::non_null::NonNull<T>::new_unchecked
     26 (0.1%)     3 (0.3%)  core::ptr::unique::Unique<T>::as_ref
     26 (0.1%)     1 (0.1%)  core::fmt::num::<impl core::fmt::Debug for i32>::fmt
     26 (0.1%)     1 (0.1%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
     26 (0.1%)     1 (0.1%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
     26 (0.1%)     1 (0.1%)  rand::rngs::adapter::reseeding::ReseedingCore<R,Rsdr>::reseed
     26 (0.1%)     1 (0.1%)  std::panicking::begin_panic::PanicPayload<A>::new
     25 (0.1%)     5 (0.5%)  std::error::Error::backtrace
     25 (0.1%)     1 (0.1%)  <postgres_protocol::types::ArrayValues as fallible_iterator::FallibleIterator>::size_hint
