  Lines         Copies      Function name
  -----         ------      -------------
  12490 (100%)  576 (100%)  (TOTAL)
    834 (6.7%)    1 (0.2%)  <termtree::Tree<D> as core::fmt::Display>::fmt
    417 (3.3%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    377 (3.0%)    1 (0.2%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    318 (2.5%)    6 (1.0%)  core::option::Option<T>::map
    312 (2.5%)    3 (0.5%)  alloc::vec::Vec<T,A>::extend_desugared
    295 (2.4%)    8 (1.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    280 (2.2%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    264 (2.1%)    1 (0.2%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    241 (1.9%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    232 (1.9%)    4 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
    226 (1.8%)    1 (0.2%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    204 (1.6%)    4 (0.7%)  core::alloc::layout::Layout::array
    197 (1.6%)    3 (0.5%)  alloc::alloc::box_free
    157 (1.3%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    154 (1.2%)    1 (0.2%)  alloc::raw_vec::finish_grow
    149 (1.2%)    3 (0.5%)  core::result::Result<T,E>::map_err
    139 (1.1%)    4 (0.7%)  <T as alloc::string::ToString>::to_string
    131 (1.0%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_exact
    126 (1.0%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    125 (1.0%)    7 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    124 (1.0%)    4 (0.7%)  core::fmt::ArgumentV1::new
    124 (1.0%)    4 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    120 (1.0%)    3 (0.5%)  core::slice::iter::Iter<T>::new
    116 (0.9%)    4 (0.7%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    107 (0.9%)    1 (0.2%)  alloc::collections::vec_deque::ring_slices::RingSlices::ring_slices
    105 (0.8%)    3 (0.5%)  core::option::Option<T>::ok_or
    104 (0.8%)    4 (0.7%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    102 (0.8%)    2 (0.3%)  alloc::vec::Vec<T,A>::push
     96 (0.8%)    1 (0.2%)  termtree::enqueue_leaves
     95 (0.8%)    1 (0.2%)  predicates_tree::convert
     94 (0.8%)    4 (0.7%)  predicates_tree::convert::{{closure}}
     93 (0.7%)    3 (0.5%)  core::ptr::metadata::from_raw_parts
     89 (0.7%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     84 (0.7%)    2 (0.3%)  core::mem::replace
     82 (0.7%)    1 (0.2%)  core::str::iter::SplitInternal<P>::get_end
     80 (0.6%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     77 (0.6%)    1 (0.2%)  <core::str::LinesAnyMap as core::ops::function::Fn<(&str,)>>::call
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[(bool,&termtree::Tree<alloc::boxed::Box<dyn core::fmt::Display+core::marker::Send+core::marker::Sync>>,alloc::rc::Rc<alloc::vec::Vec<bool>>)]>
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[termtree::Tree<alloc::boxed::Box<dyn core::fmt::Display+core::marker::Send+core::marker::Sync>>]>
     76 (0.6%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
     76 (0.6%)    1 (0.2%)  core::cmp::max_by
     73 (0.6%)    1 (0.2%)  core::str::iter::SplitInternal<P>::next
     72 (0.6%)    1 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     70 (0.6%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
     70 (0.6%)    1 (0.2%)  predicates_tree::convert::{{closure}}::{{closure}}
     67 (0.5%)    1 (0.2%)  core::option::Option<T>::map_or
     67 (0.5%)    1 (0.2%)  termtree::Tree<D>::new
     66 (0.5%)    1 (0.2%)  alloc::rc::Rc<T>::new
     63 (0.5%)    5 (0.9%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
     59 (0.5%)    5 (0.9%)  core::iter::adapters::map::Map<I,F>::new
     57 (0.5%)    3 (0.5%)  core::ptr::read
     57 (0.5%)    1 (0.2%)  core::str::<impl str>::split
     54 (0.4%)    1 (0.2%)  alloc::collections::vec_deque::VecDeque<T,A>::with_capacity_in
     54 (0.4%)    1 (0.2%)  core::slice::iter::Iter<T>::make_slice
     53 (0.4%)    1 (0.2%)  <alloc::collections::vec_deque::VecDeque<T,A> as core::ops::drop::Drop>::drop
     52 (0.4%)    4 (0.7%)  alloc::raw_vec::RawVec<T,A>::capacity
     52 (0.4%)    1 (0.2%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     50 (0.4%)    1 (0.2%)  alloc::collections::vec_deque::VecDeque<T,A>::push_front
     50 (0.4%)    1 (0.2%)  core::fmt::Arguments::new_v1
     49 (0.4%)    1 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     49 (0.4%)    1 (0.2%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
     47 (0.4%)    5 (0.9%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::next
     46 (0.4%)    1 (0.2%)  alloc::collections::vec_deque::VecDeque<T,A>::handle_capacity_increase
     44 (0.4%)    7 (1.2%)  core::ptr::unique::Unique<T>::cast
     44 (0.4%)    4 (0.7%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     43 (0.3%)    1 (0.2%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     43 (0.3%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
     43 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::fmt::Display+core::marker::Send+core::marker::Sync>>
     43 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::iter::traits::iterator::Iterator+Item = predicates_core::reflection::Parameter>>
     42 (0.3%)    1 (0.2%)  <char as core::str::pattern::Pattern>::into_searcher
     42 (0.3%)    1 (0.2%)  core::iter::adapters::flatten::FlattenCompat<I,U>::new
     42 (0.3%)    1 (0.2%)  core::slice::iter::Iter<T>::pre_dec_end
