  Lines         Copies       Function name
  -----         ------       -------------
  43811 (100%)  1809 (100%)  (TOTAL)
   1742 (4.0%)     4 (0.2%)  alloc::slice::merge_sort
    973 (2.2%)     7 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    892 (2.0%)     4 (0.2%)  alloc::slice::merge
    818 (1.9%)     4 (0.2%)  alloc::slice::insert_head
    700 (1.6%)     5 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    534 (1.2%)     1 (0.1%)  <quine_mc_cluskey::Bool as core::fmt::Debug>::fmt
    522 (1.2%)     4 (0.2%)  alloc::vec::Vec<T,A>::dedup_by
    470 (1.1%)     4 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    455 (1.0%)     4 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    454 (1.0%)     8 (0.4%)  alloc::alloc::box_free
    449 (1.0%)     1 (0.1%)  <quine_mc_cluskey::Bool as core::ops::bit::BitAnd>::bitand
    449 (1.0%)     1 (0.1%)  <quine_mc_cluskey::Bool as core::ops::bit::BitOr>::bitor
    448 (1.0%)     4 (0.2%)  core::slice::<impl [T]>::reverse::revswap
    406 (0.9%)     7 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    401 (0.9%)    19 (1.1%)  core::ptr::read
    395 (0.9%)     5 (0.3%)  core::iter::traits::iterator::Iterator::fold
    372 (0.8%)    12 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    372 (0.8%)     8 (0.4%)  core::mem::replace
    368 (0.8%)     8 (0.4%)  core::option::Option<T>::map
    362 (0.8%)     1 (0.1%)  quine_mc_cluskey::simplify
    357 (0.8%)     7 (0.4%)  core::alloc::layout::Layout::array
    350 (0.8%)     9 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    348 (0.8%)     4 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    347 (0.8%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    333 (0.8%)     6 (0.3%)  alloc::vec::Vec<T,A>::push
    332 (0.8%)     1 (0.1%)  quine_mc_cluskey::essential_minterms
    324 (0.7%)     5 (0.3%)  alloc::boxed::Box<T,A>::into_unique
    284 (0.6%)     4 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    280 (0.6%)     1 (0.1%)  <quine_mc_cluskey::Bool as core::ops::bit::Not>::not
    276 (0.6%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
    270 (0.6%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    266 (0.6%)     2 (0.1%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
    252 (0.6%)     4 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    250 (0.6%)    27 (1.5%)  core::mem::manually_drop::ManuallyDrop<T>::new
