  Lines         Copies      Function name
  -----         ------      -------------
  21230 (100%)  667 (100%)  (TOTAL)
   3784 (17.8%)   4 (0.6%)  rand_chacha::guts::refill_wide_impl
    906 (4.3%)    1 (0.1%)  <rand_chacha::chacha::Array64<T> as core::default::Default>::default
    784 (3.7%)    4 (0.6%)  rand_chacha::guts::round
    702 (3.3%)   12 (1.8%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    480 (2.3%)   12 (1.8%)  core::iter::traits::iterator::Iterator::zip
    448 (2.1%)    4 (0.6%)  rand_chacha::guts::diagonalize
    448 (2.1%)    4 (0.6%)  rand_chacha::guts::undiagonalize
    390 (1.8%)    3 (0.4%)  <ppv_lite86::soft::x4<W> as core::ops::bit::BitXor>::bitxor
    384 (1.8%)    2 (0.3%)  rand_chacha::guts::init_chacha::fn_impl
    378 (1.8%)    2 (0.3%)  <ppv_lite86::x86_64::sse2::u32x4_sse2<S3,ppv_lite86::x86_64::NoS4,NI> as ppv_lite86::types::Vec4<u32>>::insert
    375 (1.8%)    9 (1.3%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::get_unchecked
    330 (1.6%)    3 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    327 (1.5%)    3 (0.4%)  <ppv_lite86::soft::x4<W> as ppv_lite86::types::Store<ppv_lite86::x86_64::vec512_storage>>::unpack
    324 (1.5%)    3 (0.4%)  ppv_lite86::soft::<impl core::convert::From<ppv_lite86::soft::x4<W>> for ppv_lite86::x86_64::vec512_storage>::from
    252 (1.2%)    9 (1.3%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::size_hint
    231 (1.1%)    3 (0.4%)  rand_core::block::BlockRng<R>::new
    210 (1.0%)    3 (0.4%)  <ppv_lite86::soft::x4<W> as ppv_lite86::types::LaneWords4>::shuffle_lane_words1230
    210 (1.0%)    3 (0.4%)  <ppv_lite86::soft::x4<W> as ppv_lite86::types::LaneWords4>::shuffle_lane_words2301
    210 (1.0%)    3 (0.4%)  <ppv_lite86::soft::x4<W> as ppv_lite86::types::LaneWords4>::shuffle_lane_words3012
    210 (1.0%)    3 (0.4%)  <ppv_lite86::soft::x4<W> as ppv_lite86::types::RotateEachWord32>::rotate_each_word_right16
