  Lines        Copies      Function name
  -----        ------      -------------
  8445 (100%)  405 (100%)  (TOTAL)
   428 (5.1%)    1 (0.2%)  rand_distr::hypergeometric::Hypergeometric::new
   321 (3.8%)    8 (2.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   203 (2.4%)    1 (0.2%)  <rand_distr::hypergeometric::SamplingMethod as core::fmt::Debug>::fmt
   198 (2.3%)    4 (1.0%)  core::result::Result<T,E>::map_err
   166 (2.0%)    2 (0.5%)  core::iter::traits::iterator::Iterator::fold
   157 (1.9%)    1 (0.2%)  alloc::alloc::Global::grow_impl
   156 (1.8%)    1 (0.2%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   154 (1.8%)    1 (0.2%)  alloc::raw_vec::finish_grow
   152 (1.8%)    2 (0.5%)  core::cmp::max_by
   147 (1.7%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::shrink
   140 (1.7%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   139 (1.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   127 (1.5%)    1 (0.2%)  rand_distr::geometric::Geometric::new
   122 (1.4%)    1 (0.2%)  alloc::vec::Vec<T,A>::extend_with
   116 (1.4%)    6 (1.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   105 (1.2%)    3 (0.7%)  core::option::Option<T>::ok_or
    93 (1.1%)    3 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    89 (1.1%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    88 (1.0%)    1 (0.2%)  alloc::vec::Vec<T,A>::into_boxed_slice
    87 (1.0%)    1 (0.2%)  rand_distr::hypergeometric::fraction_of_products_of_factorials
    86 (1.0%)    2 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    86 (1.0%)    2 (0.5%)  rand_distr::weighted_alias::pairwise_sum
    84 (1.0%)    2 (0.5%)  core::mem::replace
    84 (1.0%)    2 (0.5%)  core::slice::iter::Iter<T>::new
    84 (1.0%)    2 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
