  Lines       Copies     Function name
  -----       ------     -------------
  872 (100%)  53 (100%)  (TOTAL)
  269 (30.8%)  1 (1.9%)  <raw_window_handle::RawWindowHandle as core::fmt::Debug>::fmt
   52 (6.0%)  13 (24.5%) <&T as core::fmt::Debug>::fmt
   49 (5.6%)   1 (1.9%)  <raw_window_handle::uikit::UiKitHandle as core::fmt::Debug>::fmt
   39 (4.5%)   1 (1.9%)  <raw_window_handle::appkit::AppKitHandle as core::fmt::Debug>::fmt
   39 (4.5%)   1 (1.9%)  <raw_window_handle::unix::WaylandHandle as core::fmt::Debug>::fmt
   39 (4.5%)   1 (1.9%)  <raw_window_handle::unix::XcbHandle as core::fmt::Debug>::fmt
   39 (4.5%)   1 (1.9%)  <raw_window_handle::unix::XlibHandle as core::fmt::Debug>::fmt
   39 (4.5%)   1 (1.9%)  <raw_window_handle::windows::Win32Handle as core::fmt::Debug>::fmt
   28 (3.2%)   1 (1.9%)  <raw_window_handle::android::AndroidNdkHandle as core::fmt::Debug>::fmt
   28 (3.2%)   1 (1.9%)  <raw_window_handle::redox::OrbitalHandle as core::fmt::Debug>::fmt
   28 (3.2%)   1 (1.9%)  <raw_window_handle::web::WebHandle as core::fmt::Debug>::fmt
   28 (3.2%)   1 (1.9%)  <raw_window_handle::windows::WinRtHandle as core::fmt::Debug>::fmt
   26 (3.0%)   1 (1.9%)  core::fmt::num::<impl core::fmt::Debug for u32>::fmt
   26 (3.0%)   1 (1.9%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
   16 (1.8%)   1 (1.9%)  raw_window_handle::appkit::AppKitHandle::empty
   16 (1.8%)   1 (1.9%)  raw_window_handle::unix::WaylandHandle::empty
   16 (1.8%)   1 (1.9%)  raw_window_handle::windows::Win32Handle::empty
   14 (1.6%)   1 (1.9%)  raw_window_handle::unix::XcbHandle::empty
   14 (1.6%)   1 (1.9%)  raw_window_handle::unix::XlibHandle::empty
   13 (1.5%)   1 (1.9%)  raw_window_handle::uikit::UiKitHandle::empty
   10 (1.1%)   1 (1.9%)  <*mut T as core::fmt::Pointer>::fmt
    6 (0.7%)   1 (1.9%)  raw_window_handle::android::AndroidNdkHandle::empty
    6 (0.7%)   1 (1.9%)  raw_window_handle::redox::OrbitalHandle::empty
    6 (0.7%)   1 (1.9%)  raw_window_handle::windows::WinRtHandle::empty
    5 (0.6%)   1 (1.9%)  <*const T as core::fmt::Pointer>::fmt
    4 (0.5%)   1 (1.9%)  raw_window_handle::web::WebHandle::empty
    3 (0.3%)   1 (1.9%)  <*mut T as core::fmt::Debug>::fmt
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&*mut core::ffi::c_void>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::android::AndroidNdkHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::appkit::AppKitHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::redox::OrbitalHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::uikit::UiKitHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::unix::WaylandHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::unix::XcbHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::unix::XlibHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::web::WebHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::windows::Win32Handle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&raw_window_handle::windows::WinRtHandle>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&u32>
    1 (0.1%)   1 (1.9%)  core::ptr::drop_in_place<&u64>
    1 (0.1%)   1 (1.9%)  core::ptr::null_mut
