  Lines          Copies       Function name
  -----          ------       -------------
  136770 (100%)  4444 (100%)  (TOTAL)
    3058 (2.2%)    22 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    2150 (1.6%)    42 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1760 (1.3%)     4 (0.1%)  alloc::slice::merge_sort
    1612 (1.2%)     1 (0.0%)  <regex_syntax::hir::translate::TranslatorI as regex_syntax::ast::visitor::Visitor>::visit_class_set_item_post
    1575 (1.2%)     1 (0.0%)  <regex_syntax::hir::translate::TranslatorI as regex_syntax::ast::visitor::Visitor>::visit_post
    1455 (1.1%)     3 (0.1%)  regex_syntax::ast::visitor::HeapVisitor::visit
    1276 (0.9%)    22 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1258 (0.9%)     2 (0.0%)  <regex_syntax::error::Formatter<E> as core::fmt::Display>::fmt
    1211 (0.9%)     3 (0.1%)  regex_syntax::ast::visitor::HeapVisitor::visit_class
    1171 (0.9%)     1 (0.0%)  regex_syntax::ast::parse::ParserI<P>::parse_with_comments
    1150 (0.8%)    20 (0.5%)  alloc::vec::Vec<T,A>::push
    1124 (0.8%)    13 (0.3%)  core::iter::traits::iterator::Iterator::fold
    1122 (0.8%)    22 (0.5%)  core::alloc::layout::Layout::array
    1012 (0.7%)    18 (0.4%)  alloc::alloc::box_free
     988 (0.7%)    13 (0.3%)  core::fmt::builders::DebugList::entries
     980 (0.7%)     7 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     949 (0.7%)     8 (0.2%)  core::slice::<impl [T]>::binary_search_by
     926 (0.7%)     1 (0.0%)  regex_syntax::ast::parse::ParserI<P>::parse_escape
     908 (0.7%)     4 (0.1%)  alloc::slice::merge
     880 (0.6%)    18 (0.4%)  core::mem::replace
     866 (0.6%)    18 (0.4%)  core::option::Option<T>::map
     864 (0.6%)     8 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
     845 (0.6%)     1 (0.0%)  regex_syntax::ast::parse::ParserI<P>::parse_group
     840 (0.6%)     4 (0.1%)  alloc::slice::insert_head
     836 (0.6%)    20 (0.5%)  core::slice::iter::Iter<T>::new
     811 (0.6%)    19 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     811 (0.6%)     1 (0.0%)  regex_syntax::ast::parse::ParserI<P>::pop_group
     807 (0.6%)     2 (0.0%)  regex_syntax::hir::interval::IntervalSet<I>::difference
     806 (0.6%)    26 (0.6%)  core::ptr::metadata::from_raw_parts_mut
     802 (0.6%)    34 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     795 (0.6%)     1 (0.0%)  <regex_syntax::hir::print::Writer<W> as regex_syntax::hir::visitor::Visitor>::visit_pre
     792 (0.6%)    19 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
     784 (0.6%)     7 (0.2%)  core::slice::<impl [T]>::reverse::revswap
     766 (0.6%)    34 (0.8%)  core::ptr::read
     753 (0.6%)     1 (0.0%)  regex_syntax::ast::parse::ParserI<P>::parse_counted_repetition
     712 (0.5%)     1 (0.0%)  alloc::str::join_generic_copy
     696 (0.5%)     1 (0.0%)  regex_syntax::ast::parse::ParserI<P>::parse_unicode_class
     681 (0.5%)     8 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     665 (0.5%)     3 (0.1%)  regex_syntax::ast::visitor::HeapVisitor::induct
     638 (0.5%)    22 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     626 (0.5%)     2 (0.0%)  core::str::pattern::TwoWaySearcher::next
     620 (0.5%)    20 (0.5%)  core::ptr::metadata::from_raw_parts
     609 (0.4%)     1 (0.0%)  regex_syntax::ast::parse::ParserI<P>::parse_set_class
