  Lines         Copies      Function name
  -----         ------      -------------
  11374 (100%)  715 (100%)  (TOTAL)
    836 (7.4%)   11 (1.5%)  core::fmt::builders::DebugList::entries
    638 (5.6%)   11 (1.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    473 (4.2%)   11 (1.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    462 (4.1%)   11 (1.5%)  core::slice::iter::Iter<T>::new
    462 (4.1%)   11 (1.5%)  core::slice::iter::Iter<T>::post_inc_start
    372 (3.3%)   12 (1.7%)  core::ptr::metadata::from_raw_parts
    341 (3.0%)   11 (1.5%)  core::ptr::metadata::from_raw_parts_mut
    319 (2.8%)   11 (1.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    299 (2.6%)    6 (0.8%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    275 (2.4%)   11 (1.5%)  <[T] as core::fmt::Debug>::fmt
    220 (1.9%)    1 (0.1%)  <rls_data::Analysis as core::default::Default>::default
    192 (1.7%)   48 (6.7%)  <&T as core::fmt::Debug>::fmt
    140 (1.2%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    139 (1.2%)    1 (0.1%)  <rls_data::Def as core::fmt::Debug>::fmt
    135 (1.2%)    1 (0.1%)  rls_data::Analysis::new
    132 (1.2%)   12 (1.7%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    119 (1.0%)    1 (0.1%)  <rls_data::Analysis as core::fmt::Debug>::fmt
    119 (1.0%)    1 (0.1%)  core::ptr::drop_in_place<rls_data::Def>
    118 (1.0%)   11 (1.5%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    111 (1.0%)    1 (0.1%)  <rls_data::DefKind as core::fmt::Debug>::fmt
    110 (1.0%)   11 (1.5%)  core::ptr::const_ptr::<impl *const T>::offset
    110 (1.0%)   11 (1.5%)  core::ptr::mut_ptr::<impl *mut T>::offset
    109 (1.0%)    1 (0.1%)  <rls_data::Impl as core::fmt::Debug>::fmt
    108 (0.9%)   12 (1.7%)  alloc::vec::Vec<T,A>::as_ptr
    108 (0.9%)   12 (1.7%)  core::ptr::slice_from_raw_parts
    108 (0.9%)   12 (1.7%)  core::slice::raw::from_raw_parts
    104 (0.9%)    1 (0.1%)  core::ptr::drop_in_place<rls_data::Impl>
     99 (0.9%)   11 (1.5%)  alloc::vec::Vec<T,A>::as_mut_ptr
     99 (0.9%)   11 (1.5%)  core::ptr::slice_from_raw_parts_mut
     89 (0.8%)    1 (0.1%)  <rls_data::Import as core::fmt::Debug>::fmt
     89 (0.8%)    1 (0.1%)  <rls_data::SpanData as core::fmt::Debug>::fmt
     89 (0.8%)    1 (0.1%)  <rls_data::config::Config as core::fmt::Debug>::fmt
     89 (0.8%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     77 (0.7%)   11 (1.5%)  <alloc::vec::Vec<T,A> as core::fmt::Debug>::fmt
     77 (0.7%)   11 (1.5%)  core::slice::<impl [T]>::iter
     77 (0.7%)    1 (0.1%)  <rls_data::ImplKind as core::fmt::Debug>::fmt
     77 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::string::String]>
     77 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<[rls_data::Attribute]>
     77 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<[rls_data::Def]>
     77 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<[rls_data::ExternalCrateData]>
     77 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<[rls_data::Impl]>
     77 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<[rls_data::Import]>
     77 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<[rls_data::MacroRef]>
     77 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<[rls_data::Ref]>
