  Lines          Copies       Function name
  -----          ------       -------------
  266671 (100%)  9401 (100%)  (TOTAL)
    3238 (1.2%)    56 (0.6%)  alloc::alloc::box_free
    3087 (1.2%)    61 (0.6%)  core::mem::replace
    3032 (1.1%)   144 (1.5%)  core::ptr::read
    2933 (1.1%)    55 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2345 (0.9%)    35 (0.4%)  core::result::Result<T,E>::map_err
    2305 (0.9%)     1 (0.0%)  hyper::client::client::Client<C,B>::send_request::{{closure}}
    2044 (0.8%)     4 (0.0%)  hyper::proto::h1::io::WriteBuf<B>::buffer
    2031 (0.8%)     2 (0.0%)  <rusoto_credential::_::<impl serde::de::Deserialize for rusoto_credential::AwsCredentials>::deserialize::__Visitor as serde::de::Visitor>::visit_map
    1921 (0.7%)    35 (0.4%)  <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll
    1747 (0.7%)     1 (0.0%)  hyper::client::connect::http::ConnectingTcpRemote::connect::{{closure}}
    1659 (0.6%)     1 (0.0%)  rusoto_credential::profile::parse_credentials_file
    1602 (0.6%)     1 (0.0%)  hyper::client::connect::http::HttpConnector<R>::call_async::{{closure}}
    1594 (0.6%)    11 (0.1%)  <futures_util::future::future::map::Map<Fut,F> as core::future::future::Future>::poll
    1552 (0.6%)    28 (0.3%)  std::panicking::try
    1530 (0.6%)    71 (0.8%)  core::ops::function::FnOnce::call_once
    1509 (0.6%)    27 (0.3%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    1446 (0.5%)   150 (1.6%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    1435 (0.5%)    35 (0.4%)  core::pin::Pin<&mut T>::map_unchecked_mut
    1423 (0.5%)     1 (0.0%)  hyper::client::client::Client<C,B>::connection_for::{{closure}}
    1400 (0.5%)     8 (0.1%)  tokio::runtime::task::list::OwnedTasks<S>::bind
    1399 (0.5%)     4 (0.0%)  <serde_json::de::SeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    1328 (0.5%)     8 (0.1%)  tokio::runtime::task::harness::Harness<T,S>::drop_join_handle_slow
    1283 (0.5%)    29 (0.3%)  tokio::loom::std::unsafe_cell::UnsafeCell<T>::with_mut
    1281 (0.5%)     1 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_write
    1276 (0.5%)    22 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1276 (0.5%)     1 (0.0%)  hyper::client::pool::PoolInner<T>::put
    1260 (0.5%)     9 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1258 (0.5%)     1 (0.0%)  hyper::client::client::Client<C,B>::connect_to::{{closure}}::{{closure}}::{{closure}}
    1251 (0.5%)     9 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1190 (0.4%)    16 (0.2%)  core::result::Result<T,E>::map
    1173 (0.4%)    11 (0.1%)  futures_util::future::future::map::_::<impl futures_util::future::future::map::Map<Fut,F>>::project_replace
    1164 (0.4%)    27 (0.3%)  alloc::sync::Weak<T>::inner
    1136 (0.4%)    22 (0.2%)  core::option::Option<T>::map
    1085 (0.4%)    35 (0.4%)  core::fmt::ArgumentV1::new
    1075 (0.4%)     1 (0.0%)  hyper::client::connect::http::ConnectingTcp::connect::{{closure}}
    1015 (0.4%)     1 (0.0%)  hyper::client::client::Client<C,B>::retryably_send_request::{{closure}}
    1008 (0.4%)    17 (0.2%)  alloc::boxed::Box<T,A>::into_unique
