  Lines          Copies        Function name
  -----          ------        -------------
  689369 (100%)  13392 (100%)  (TOTAL)
   65568 (9.5%)     96 (0.7%)  rusoto_s3::generated::S3Client::sign_and_dispatch::{{closure}}
   41403 (6.0%)    124 (0.9%)  rusoto_core::proto::xml::util::deserialize_elements
   36771 (5.3%)     42 (0.3%)  rusoto_core::proto::xml::util::parse_response::{{closure}}
   27793 (4.0%)    422 (3.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   16312 (2.4%)    520 (3.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   13216 (1.9%)    236 (1.8%)  <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll
    9676 (1.4%)    236 (1.8%)  core::pin::Pin<&mut T>::map_unchecked_mut
    8370 (1.2%)    103 (0.8%)  core::result::Result<T,E>::map_err
    5997 (0.9%)    121 (0.9%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    5004 (0.7%)     36 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    4608 (0.7%)     96 (0.7%)  <rusoto_core::error::RusotoError<E> as core::convert::From<rusoto_core::client::SignAndDispatchError>>::from
    3778 (0.5%)      1 (0.0%)  <rusoto_s3::generated::S3Client as rusoto_s3::generated::S3>::put_object::{{closure}}
    3456 (0.5%)     96 (0.7%)  alloc::boxed::Box<T>::pin
    3422 (0.5%)      1 (0.0%)  <rusoto_s3::generated::S3Client as rusoto_s3::generated::S3>::write_get_object_response::{{closure}}
    3398 (0.5%)    169 (1.3%)  core::ops::function::FnOnce::call_once
    3042 (0.4%)    234 (1.7%)  core::future::from_generator
    2942 (0.4%)      1 (0.0%)  <rusoto_s3::generated::S3Client as rusoto_s3::generated::S3>::get_object::{{closure}}
    2833 (0.4%)      1 (0.0%)  <rusoto_s3::generated::S3Client as rusoto_s3::generated::S3>::copy_object::{{closure}}
    2784 (0.4%)     32 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    2668 (0.4%)     46 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2659 (0.4%)     35 (0.3%)  core::fmt::builders::DebugList::entries
    2658 (0.4%)      1 (0.0%)  <rusoto_s3::generated::S3Client as rusoto_s3::generated::S3>::head_object::{{closure}}
    2508 (0.4%)      1 (0.0%)  <rusoto_s3::generated::S3Client as rusoto_s3::generated::S3>::create_multipart_upload::{{closure}}
    2388 (0.3%)    476 (3.6%)  core::pin::Pin<P>::new_unchecked
    2160 (0.3%)     27 (0.2%)  core::option::Option<T>::get_or_insert
    2142 (0.3%)     36 (0.3%)  alloc::vec::Vec<T,A>::push
    2016 (0.3%)     32 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1989 (0.3%)     39 (0.3%)  core::alloc::layout::Layout::array
    1894 (0.3%)      1 (0.0%)  <rusoto_s3::generated::S3Client as rusoto_s3::generated::S3>::upload_part_copy::{{closure}}
    1879 (0.3%)      1 (0.0%)  <rusoto_s3::generated::S3Client as rusoto_s3::generated::S3>::upload_part::{{closure}}
    1821 (0.3%)     35 (0.3%)  core::option::Option<T>::map
    1728 (0.3%)     96 (0.7%)  rusoto_s3::generated::S3Client::sign_and_dispatch
    1705 (0.2%)     55 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    1674 (0.2%)     39 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    1664 (0.2%)     32 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    1635 (0.2%)     39 (0.3%)  core::slice::iter::Iter<T>::new
    1634 (0.2%)     39 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
