  Lines         Copies       Function name
  -----         ------       -------------
  49162 (100%)  2110 (100%)  (TOTAL)
   1217 (2.5%)    25 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    726 (1.5%)     1 (0.0%)  <rusqlite::OpenFlags as core::fmt::Debug>::fmt
    635 (1.3%)     1 (0.0%)  <rusqlite::error::Error as core::fmt::Display>::fmt
    595 (1.2%)    26 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    566 (1.2%)    10 (0.5%)  alloc::alloc::box_free
    520 (1.1%)     1 (0.0%)  rusqlite::inner_connection::InnerConnection::open_with_flags
    467 (0.9%)     1 (0.0%)  <rusqlite::error::Error as core::cmp::PartialEq>::eq
    460 (0.9%)     1 (0.0%)  <rusqlite::error::Error as core::fmt::Debug>::fmt
    456 (0.9%)    22 (1.0%)  core::ptr::read
    409 (0.8%)    10 (0.5%)  core::option::Option<T>::ok_or
    370 (0.8%)     1 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    362 (0.7%)     8 (0.4%)  core::mem::replace
    341 (0.7%)    11 (0.5%)  core::fmt::ArgumentV1::new
    320 (0.7%)     1 (0.0%)  rusqlite::statement::Statement::bind_parameter
    315 (0.6%)     1 (0.0%)  smallvec::SmallVec<A>::try_grow
    308 (0.6%)     7 (0.3%)  core::result::Result<T,E>::expect
    303 (0.6%)     3 (0.1%)  hashbrown::map::RawEntryBuilderMut<K,V,S,A>::search
    298 (0.6%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    296 (0.6%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    294 (0.6%)     7 (0.3%)  core::option::Option<T>::map
    294 (0.6%)     3 (0.1%)  hashbrown::raw::RawTable<T,A>::find
    283 (0.6%)     3 (0.1%)  alloc::collections::btree::mem::replace
    280 (0.6%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    278 (0.6%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    276 (0.6%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
    266 (0.5%)     1 (0.0%)  rusqlite::pragma::Sql::push_value
    260 (0.5%)     1 (0.0%)  rusqlite::Connection::execute_batch
    254 (0.5%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
    250 (0.5%)     1 (0.0%)  rusqlite::util::param_cache::ParamIndexCache::get_or_insert_with
    241 (0.5%)     1 (0.0%)  core::char::methods::encode_utf8_raw
    235 (0.5%)     5 (0.2%)  core::result::Result<T,E>::unwrap
    234 (0.5%)     4 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    234 (0.5%)     3 (0.1%)  core::cell::RefCell<T>::try_borrow_mut
    226 (0.5%)     6 (0.3%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
    226 (0.5%)     6 (0.3%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
    218 (0.4%)     1 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert
    215 (0.4%)     3 (0.1%)  core::result::Result<T,E>::map
    214 (0.4%)    24 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    213 (0.4%)     1 (0.0%)  core::iter::traits::iterator::Iterator::eq_by
    208 (0.4%)     2 (0.1%)  hashlink::linked_hash_map::RawEntryBuilderMut<K,V,S>::from_hash
    206 (0.4%)     1 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert
    203 (0.4%)     1 (0.0%)  rusqlite::statement::Statement::bind_parameters_named
    199 (0.4%)     1 (0.0%)  rusqlite::inner_connection::InnerConnection::prepare
    198 (0.4%)     4 (0.2%)  core::result::Result<T,E>::map_err
    197 (0.4%)     4 (0.2%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    193 (0.4%)     1 (0.0%)  hashbrown::raw::RawTable<T,A>::rehash_in_place
    184 (0.4%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    184 (0.4%)     1 (0.0%)  rusqlite::Batch::next
    181 (0.4%)     3 (0.1%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    176 (0.4%)     1 (0.0%)  alloc::sync::Arc<T>::try_allocate_for_layout
    174 (0.4%)     1 (0.0%)  hashbrown::raw::RawTable<T,A>::resize
    172 (0.3%)     2 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
