  Lines         Copies       Function name
  -----         ------       -------------
  35015 (100%)  1335 (100%)  (TOTAL)
   1247 (3.6%)     1 (0.1%)  base64::decode::decode_helper
    999 (2.9%)    21 (1.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    834 (2.4%)     6 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    789 (2.3%)     1 (0.1%)  argon2::encoding::decode_string
    765 (2.2%)    13 (1.0%)  alloc::alloc::box_free
    700 (2.0%)     5 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    661 (1.9%)     1 (0.1%)  argon2::core::fill_block
    486 (1.4%)    17 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    436 (1.2%)     1 (0.1%)  std::thread::Builder::spawn_unchecked_
    422 (1.2%)     1 (0.1%)  crossbeam_utils::thread::ScopedThreadBuilder::spawn
    420 (1.2%)     1 (0.1%)  argon2::core::fill_segment
    413 (1.2%)     1 (0.1%)  base64::decode::decode_chunk
    402 (1.1%)     4 (0.3%)  alloc::sync::Arc<T>::new
    385 (1.1%)     7 (0.5%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    348 (1.0%)     6 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    332 (0.9%)     1 (0.1%)  argon2::core::h0
    323 (0.9%)     1 (0.1%)  crossbeam_utils::thread::scope
    318 (0.9%)     3 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    306 (0.9%)     6 (0.4%)  core::alloc::layout::Layout::array
    294 (0.8%)     7 (0.5%)  alloc::sync::Weak<T>::inner
    290 (0.8%)     2 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    280 (0.8%)     6 (0.4%)  core::mem::replace
    272 (0.8%)     1 (0.1%)  argon2::encoding::decode_options
    259 (0.7%)     2 (0.1%)  alloc::vec::Vec<T,A>::extend_with
    249 (0.7%)     1 (0.1%)  argon2::context::Context::new
    246 (0.7%)     3 (0.2%)  std::sync::mutex::Mutex<T>::new
    244 (0.7%)    12 (0.9%)  core::ptr::read
    242 (0.7%)     1 (0.1%)  argon2::core::hprime
    241 (0.7%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    234 (0.7%)     3 (0.2%)  std::sync::poison::map_result
    226 (0.6%)     1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    226 (0.6%)     1 (0.1%)  argon2::core::fill_first_blocks
    217 (0.6%)     7 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    209 (0.6%)     2 (0.1%)  std::thread::Builder::spawn_unchecked_::{{closure}}
    198 (0.6%)     4 (0.3%)  core::result::Result<T,E>::map_err
    188 (0.5%)     2 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    186 (0.5%)     6 (0.4%)  core::fmt::ArgumentV1::new
    186 (0.5%)     1 (0.1%)  core::sync::atomic::atomic_compare_exchange
    175 (0.5%)     5 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
    174 (0.5%)     6 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    173 (0.5%)     1 (0.1%)  argon2::argon2::verify_raw
    173 (0.5%)     1 (0.1%)  argon2::encoding::encode_string
    168 (0.5%)     7 (0.5%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    168 (0.5%)     7 (0.5%)  core::alloc::layout::Layout::for_value_raw
    168 (0.5%)     3 (0.2%)  core::result::Result<T,E>::unwrap
