  Lines         Copies       Function name
  -----         ------       -------------
  33952 (100%)  1435 (100%)  (TOTAL)
   1488 (4.4%)    34 (2.4%)  core::option::Option<T>::map
    957 (2.8%)     3 (0.2%)  hashbrown::raw::RawTable<T>::rehash_in_place
    731 (2.2%)     1 (0.1%)  ini::Parser::parse
    695 (2.0%)     5 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    692 (2.0%)     4 (0.3%)  dlv_list::VecList<EntryData>::insert_new
    678 (2.0%)     3 (0.2%)  hashbrown::raw::RawTable<T>::resize
    512 (1.5%)     4 (0.3%)  dlv_list::VecList<EntryData>::push_back
    465 (1.4%)    11 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    449 (1.3%)     1 (0.1%)  core::array::<impl core::default::Default for [T; 32]>::default
    404 (1.2%)     1 (0.1%)  ini::Parser::parse_str_until
    369 (1.1%)     6 (0.4%)  hashbrown::raw::RawTable<T>::rehash_in_place::{{closure}}
    321 (0.9%)     3 (0.2%)  hashbrown::raw::RawTable<T>::insert
    320 (0.9%)     7 (0.5%)  core::mem::replace
    294 (0.9%)     3 (0.2%)  hashbrown::raw::RawTable<T>::find
    291 (0.9%)     5 (0.3%)  alloc::vec::Vec<T,A>::push
    290 (0.9%)     5 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    289 (0.9%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    284 (0.8%)     2 (0.1%)  hashbrown::raw::RawTable<T>::fallible_with_capacity
    272 (0.8%)     4 (0.3%)  <dlv_list::VecList<EntryData> as core::default::Default>::default
    259 (0.8%)     1 (0.1%)  ordered_multimap::list_ordered_multimap::ListOrderedMultimap<Key,Value,State>::append
    255 (0.8%)     5 (0.3%)  core::alloc::layout::Layout::array
    252 (0.7%)     3 (0.2%)  core::result::Result<T,E>::map
    244 (0.7%)    12 (0.8%)  core::ptr::read
    242 (0.7%)    11 (0.8%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    242 (0.7%)     2 (0.1%)  hashbrown::raw::RawTable<T>::new_uninitialized
    241 (0.7%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    232 (0.7%)     2 (0.1%)  hashbrown::raw::RawTable<T>::find_insert_slot
    231 (0.7%)     1 (0.1%)  ini::escape_str
    228 (0.7%)     3 (0.2%)  hashbrown::raw::RawTable<T>::reserve_rehash
    222 (0.7%)     4 (0.3%)  core::ptr::swap_nonoverlapping_one
    222 (0.7%)     3 (0.2%)  hashbrown::map::RawVacantEntryMut<K,V,S>::insert_with_hasher
    222 (0.7%)     2 (0.1%)  hashbrown::raw::calculate_layout
    218 (0.6%)     1 (0.1%)  ordered_multimap::list_ordered_multimap::ListOrderedMultimap<Key,Value,State>::insert_all
    217 (0.6%)     7 (0.5%)  core::fmt::ArgumentV1::new
    214 (0.6%)     1 (0.1%)  dlv_list::VecList<EntryData>::remove_helper
    211 (0.6%)    11 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    206 (0.6%)     2 (0.1%)  hashbrown::map::RawEntryBuilderMut<K,V,S>::search
    186 (0.5%)     6 (0.4%)  core::ptr::metadata::from_raw_parts
    186 (0.5%)     3 (0.2%)  dlv_list::VecList<EntryData>::get
    180 (0.5%)     4 (0.3%)  dlv_list::VecList<EntryData>::insert_empty
    176 (0.5%)     2 (0.1%)  <hashbrown::raw::RawIterHash<T> as core::iter::traits::iterator::Iterator>::next
    159 (0.5%)     1 (0.1%)  ordered_multimap::list_ordered_multimap::VacantEntry<Key,Value,State>::insert
    157 (0.5%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    155 (0.5%)     5 (0.3%)  core::ptr::metadata::from_raw_parts_mut
    154 (0.5%)     1 (0.1%)  alloc::raw_vec::finish_grow
    152 (0.4%)     2 (0.1%)  <hashbrown::raw::RawTable<T> as core::ops::drop::Drop>::drop
    150 (0.4%)     2 (0.1%)  <ordered_multimap::list_ordered_multimap::ListOrderedMultimap<Key,Value> as core::default::Default>::default
    149 (0.4%)     3 (0.2%)  core::result::Result<T,E>::map_err
    146 (0.4%)     2 (0.1%)  alloc::alloc::box_free
    145 (0.4%)     5 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    142 (0.4%)     2 (0.1%)  core::result::Result<T,E>::and_then
    142 (0.4%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    140 (0.4%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    136 (0.4%)     2 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
    135 (0.4%)     4 (0.3%)  core::option::Option<T>::ok_or
    132 (0.4%)     4 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    132 (0.4%)     4 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
    132 (0.4%)     2 (0.1%)  <ordered_multimap::list_ordered_multimap::Iter<Key,Value> as core::iter::traits::iterator::Iterator>::next
    131 (0.4%)     1 (0.1%)  ordered_multimap::list_ordered_multimap::ListOrderedMultimap<Key,Value,State>::entry
    124 (0.4%)     2 (0.1%)  dlv_list::VecList<EntryData>::get_mut
    123 (0.4%)     1 (0.1%)  ordered_multimap::list_ordered_multimap::OccupiedEntry<Key,Value>::append
    117 (0.3%)    13 (0.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    115 (0.3%)     1 (0.1%)  <rand_core::block::BlockRng<R> as rand_core::RngCore>::next_u64
