  Lines         Copies       Function name
  -----         ------       -------------
  32978 (100%)  1088 (100%)  (TOTAL)
   1081 (3.3%)     1 (0.1%)  rust_decimal::ops::div::div_impl
    983 (3.0%)     1 (0.1%)  rust_decimal::str::parse_str_radix_n
    811 (2.5%)     1 (0.1%)  rust_decimal::ops::rem::rem_full
    778 (2.4%)     1 (0.1%)  rust_decimal::ops::add::unaligned_add
    776 (2.4%)     8 (0.7%)  rust_decimal::str::handle_digit_64
    712 (2.2%)     1 (0.1%)  alloc::str::join_generic_copy
    652 (2.0%)     4 (0.4%)  rust_decimal::str::handle_full_128
    614 (1.9%)     1 (0.1%)  rust_decimal::decimal::Decimal::from_scientific
    594 (1.8%)     1 (0.1%)  rust_decimal::decimal::Decimal::round_sf_with_strategy
    528 (1.6%)    16 (1.5%)  rust_decimal::str::dispatch_next
    516 (1.6%)     1 (0.1%)  rust_decimal::ops::mul::mul_impl
    494 (1.5%)    11 (1.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    472 (1.4%)     1 (0.1%)  rust_decimal::ops::rem::rem_impl
    450 (1.4%)    18 (1.7%)  rust_decimal::str::non_digit_dispatch_u64
    450 (1.4%)     1 (0.1%)  rust_decimal::ops::common::Buf24::rescale
    419 (1.3%)     1 (0.1%)  rust_decimal::decimal::base2_to_decimal
    381 (1.2%)     1 (0.1%)  rust_decimal::decimal::Decimal::round_dp_with_strategy
    342 (1.0%)    18 (1.7%)  rust_decimal::str::byte_dispatch_u64
    299 (0.9%)     6 (0.6%)  core::option::Option<T>::ok_or_else
    285 (0.9%)     1 (0.1%)  rust_decimal::ops::add::add_sub_internal
    283 (0.9%)     1 (0.1%)  rust_decimal::str::to_str_internal
    278 (0.8%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    265 (0.8%)     5 (0.5%)  core::result::Result<T,E>::map_err
    241 (0.7%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    206 (0.6%)     2 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    206 (0.6%)     1 (0.1%)  rust_decimal::str::fmt_scientific_notation
    205 (0.6%)     1 (0.1%)  rust_decimal::ops::common::Buf12::find_scale
    201 (0.6%)     1 (0.1%)  rust_decimal::ops::div::<impl rust_decimal::ops::common::Buf16>::partial_divide_96
    196 (0.6%)     1 (0.1%)  rust_decimal::ops::array::rescale_internal
    191 (0.6%)     3 (0.3%)  <alloc::string::String as core::iter::traits::collect::Extend<char>>::extend
    184 (0.6%)     1 (0.1%)  rust_decimal::ops::add::aligned_add
    163 (0.5%)     4 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    163 (0.5%)     4 (0.4%)  core::slice::iter::Iter<T>::new
    163 (0.5%)     1 (0.1%)  rust_decimal::decimal::Decimal::deserialize
    161 (0.5%)     1 (0.1%)  arrayvec::char::encode_utf8
    160 (0.5%)     4 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    157 (0.5%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    155 (0.5%)     5 (0.5%)  core::fmt::ArgumentV1::new
    154 (0.5%)     1 (0.1%)  alloc::raw_vec::finish_grow
    149 (0.5%)     1 (0.1%)  rust_decimal::ops::div::unscale
    148 (0.4%)     7 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    144 (0.4%)     3 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    142 (0.4%)     2 (0.2%)  core::iter::traits::iterator::Iterator::fold
    142 (0.4%)     1 (0.1%)  rust_decimal::ops::div::<impl rust_decimal::ops::common::Buf16>::partial_divide_64
    140 (0.4%)     2 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    140 (0.4%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    137 (0.4%)     3 (0.3%)  <alloc::string::String as core::iter::traits::collect::FromIterator<&char>>::from_iter
    137 (0.4%)     1 (0.1%)  <rust_decimal::decimal::Decimal as core::fmt::Display>::fmt
    136 (0.4%)     4 (0.4%)  rust_decimal::str::handle_data
    135 (0.4%)     3 (0.3%)  <core::iter::adapters::cloned::Cloned<I> as core::iter::traits::iterator::Iterator>::fold
    134 (0.4%)     3 (0.3%)  core::option::Option<T>::map
    132 (0.4%)     3 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    132 (0.4%)     1 (0.1%)  rust_decimal::ops::add::reduce_scale
    130 (0.4%)     3 (0.3%)  core::mem::replace
    127 (0.4%)     1 (0.1%)  rust_decimal::ops::array::manage_add_by_internal
    124 (0.4%)     4 (0.4%)  core::ptr::metadata::from_raw_parts
    124 (0.4%)     4 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    120 (0.4%)     5 (0.5%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    117 (0.4%)     1 (0.1%)  rust_decimal::ops::div::unscale_from_overflow
    116 (0.4%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    114 (0.3%)     1 (0.1%)  rust_decimal::decimal::Decimal::try_from_i128_with_scale
    112 (0.3%)     1 (0.1%)  rust_decimal::decimal::Decimal::serialize
    105 (0.3%)     3 (0.3%)  core::option::Option<T>::ok_or
    104 (0.3%)     3 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    104 (0.3%)     1 (0.1%)  rust_decimal::ops::cmp::cmp_internal
    102 (0.3%)     2 (0.2%)  alloc::vec::Vec<T,A>::push
    102 (0.3%)     2 (0.2%)  core::alloc::layout::Layout::array
    101 (0.3%)     1 (0.1%)  rust_decimal::decimal::from_f64
     98 (0.3%)     1 (0.1%)  arrayvec::arrayvec::ArrayVec<T,_>::try_insert
     96 (0.3%)     1 (0.1%)  core::str::validations::next_code_point
     95 (0.3%)     1 (0.1%)  <rust_decimal::decimal::Decimal as num_traits::cast::ToPrimitive>::to_f64
     95 (0.3%)     1 (0.1%)  rust_decimal::decimal::from_f32
     94 (0.3%)     1 (0.1%)  rust_decimal::ops::add::fast_add
     93 (0.3%)     1 (0.1%)  rust_decimal::decimal::Decimal::ceil
     93 (0.3%)     1 (0.1%)  rust_decimal::decimal::Decimal::floor
     93 (0.3%)     1 (0.1%)  rust_decimal::ops::cmp::rescale
     92 (0.3%)     2 (0.2%)  arrayvec::arrayvec_impl::ArrayVecImpl::try_push
     91 (0.3%)     1 (0.1%)  rust_decimal::decimal::Decimal::normalize_assign
     91 (0.3%)     1 (0.1%)  rust_decimal::ops::array::div_by_1x
     90 (0.3%)     1 (0.1%)  rust_decimal::decimal::Decimal::trunc
     89 (0.3%)     1 (0.1%)  <rust_decimal::error::Error as core::fmt::Display>::fmt
     89 (0.3%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     88 (0.3%)     1 (0.1%)  rust_decimal::ops::array::div_by_u32
     87 (0.3%)     3 (0.3%)  <core::iter::adapters::skip::Skip<I> as core::iter::traits::iterator::Iterator>::next
     86 (0.3%)     2 (0.2%)  core::option::Option<T>::and_then
     86 (0.3%)     1 (0.1%)  <core::iter::adapters::skip::Skip<I> as core::iter::traits::iterator::Iterator>::fold
     85 (0.3%)     1 (0.1%)  rust_decimal::ops::div::<impl rust_decimal::ops::common::Buf12>::div32
     82 (0.2%)     2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     82 (0.2%)     2 (0.2%)  core::result::Result<T,E>::unwrap
     82 (0.2%)     1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
