  Lines         Copies      Function name
  -----         ------      -------------
  18220 (100%)  736 (100%)  (TOTAL)
   2210 (12.1%)  12 (1.6%)  rustc_rayon::range_inclusive::Iter<T>::bounds
    804 (4.4%)   12 (1.6%)  <rustc_rayon::iter::chain::Chain<A,B> as rustc_rayon::iter::ParallelIterator>::opt_len
    756 (4.1%)   12 (1.6%)  core::iter::traits::exact_size::ExactSizeIterator::len
    582 (3.2%)   12 (1.6%)  <core::ops::range::RangeInclusive<Idx> as core::clone::Clone>::clone
    576 (3.2%)   12 (1.6%)  <core::ops::range::RangeInclusive<T> as core::iter::range::RangeInclusiveIteratorImpl>::spec_next
    576 (3.2%)   12 (1.6%)  <core::ops::range::RangeInclusive<T> as core::iter::range::RangeInclusiveIteratorImpl>::spec_next_back
    504 (2.8%)   12 (1.6%)  core::mem::replace
    456 (2.5%)   12 (1.6%)  rustc_rayon::iter::ParallelIterator::chain
    374 (2.1%)   12 (1.6%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    352 (1.9%)    8 (1.1%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::size_hint
    312 (1.7%)    4 (0.5%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::RangeInclusive<A>>::size_hint
    272 (1.5%)    7 (1.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    241 (1.3%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    216 (1.2%)   12 (1.6%)  core::ops::range::RangeInclusive<Idx>::is_empty
    196 (1.1%)   12 (1.6%)  core::ptr::read
    157 (0.9%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.9%)   12 (1.6%)  <rustc_rayon::iter::empty::Empty<T> as rustc_rayon::iter::ParallelIterator>::opt_len
    156 (0.9%)   12 (1.6%)  <rustc_rayon::iter::once::Once<T> as rustc_rayon::iter::ParallelIterator>::opt_len
    154 (0.8%)    1 (0.1%)  alloc::raw_vec::finish_grow
    149 (0.8%)    3 (0.4%)  core::result::Result<T,E>::map_err
    144 (0.8%)   12 (1.6%)  rustc_rayon::range::<impl rustc_rayon::iter::IntoParallelIterator for core::ops::range::Range<T>>::into_par_iter
    139 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    127 (0.7%)    1 (0.1%)  <rustc_rayon::range_inclusive::Iter<i8> as rustc_rayon::iter::ParallelIterator>::opt_len
    127 (0.7%)    1 (0.1%)  <rustc_rayon::range_inclusive::Iter<u8> as rustc_rayon::iter::ParallelIterator>::opt_len
    125 (0.7%)    1 (0.1%)  <rustc_rayon::range_inclusive::Iter<i16> as rustc_rayon::iter::ParallelIterator>::opt_len
    125 (0.7%)    1 (0.1%)  <rustc_rayon::range_inclusive::Iter<i32> as rustc_rayon::iter::ParallelIterator>::opt_len
    125 (0.7%)    1 (0.1%)  <rustc_rayon::range_inclusive::Iter<u16> as rustc_rayon::iter::ParallelIterator>::opt_len
    125 (0.7%)    1 (0.1%)  <rustc_rayon::range_inclusive::Iter<u32> as rustc_rayon::iter::ParallelIterator>::opt_len
    116 (0.6%)    6 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    116 (0.6%)    1 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    116 (0.6%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    114 (0.6%)   12 (1.6%)  rustc_rayon::iter::chain::Chain<A,B>::new
    108 (0.6%)    1 (0.1%)  <rustc_rayon::str::CharIndicesProducer as rustc_rayon::iter::plumbing::UnindexedProducer>::split
    105 (0.6%)    3 (0.4%)  core::option::Option<T>::ok_or
