  Lines          Copies       Function name
  -----          ------       -------------
  135435 (100%)  4867 (100%)  (TOTAL)
    2668 (2.0%)    46 (0.9%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2235 (1.7%)    39 (0.8%)  alloc::alloc::box_free
    2224 (1.6%)    16 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1998 (1.5%)     9 (0.2%)  <F as syn::parse::Parser>::parse2
    1996 (1.5%)     1 (0.0%)  schemars_derive::derive_json_schema
    1920 (1.4%)    44 (0.9%)  core::option::Option<T>::map
    1850 (1.4%)     1 (0.0%)  schemars_derive::attr::validation::ValidationAttrs::populate
    1789 (1.3%)    37 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1614 (1.2%)    12 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    1540 (1.1%)    11 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1519 (1.1%)    49 (1.0%)  core::ptr::metadata::from_raw_parts_mut
    1488 (1.1%)     6 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    1424 (1.1%)     2 (0.0%)  alloc::str::join_generic_copy
    1334 (1.0%)    46 (0.9%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1315 (1.0%)    15 (0.3%)  core::iter::traits::iterator::Iterator::fold
    1283 (0.9%)     1 (0.0%)  schemars_derive::attr::validation::ValidationAttrs::apply_to_schema
    1248 (0.9%)     4 (0.1%)  schemars_derive::schema_exprs::expr_for_struct::{{closure}}
    1152 (0.9%)     1 (0.0%)  schemars_derive::attr::Attrs::populate
    1131 (0.8%)     3 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    1066 (0.8%)    23 (0.5%)  core::mem::replace
    1036 (0.8%)     1 (0.0%)  schemars_derive::schema_exprs::type_for_schema
     974 (0.7%)    10 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
     956 (0.7%)     1 (0.0%)  schemars_derive::schema_exprs::expr_for_adjacent_tagged_enum::{{closure}}
     876 (0.6%)     1 (0.0%)  schemars_derive::schema_exprs::field_default_expr
     867 (0.6%)    17 (0.3%)  core::alloc::layout::Layout::array
     837 (0.6%)     1 (0.0%)  schemars_derive::schema_exprs::expr_for_internal_tagged_enum::{{closure}}
     819 (0.6%)    13 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
     797 (0.6%)    39 (0.8%)  core::ptr::read
     771 (0.6%)     1 (0.0%)  schemars_derive::schema_exprs::expr_for_struct
     755 (0.6%)     7 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
