  Lines        Copies     Function name
  -----        ------     -------------
  1222 (100%)  58 (100%)  (TOTAL)
   218 (17.8%)  1 (1.7%)  <scroll::error::Error as core::fmt::Display>::fmt
   187 (15.3%)  1 (1.7%)  <scroll::error::Error as core::fmt::Debug>::fmt
   124 (10.1%)  4 (6.9%)  core::fmt::ArgumentV1::new
   107 (8.8%)   1 (1.7%)  <scroll::ctx::StrCtx as core::fmt::Debug>::fmt
    50 (4.1%)   1 (1.7%)  core::fmt::Arguments::new_v1
    39 (3.2%)   1 (1.7%)  <scroll::leb128::Sleb128 as core::fmt::Debug>::fmt
    39 (3.2%)   1 (1.7%)  <scroll::leb128::Uleb128 as core::fmt::Debug>::fmt
    38 (3.1%)   1 (1.7%)  <scroll::error::Error as std::error::Error>::description
    35 (2.9%)   8 (13.8%) <&T as core::fmt::Debug>::fmt
    31 (2.5%)   1 (1.7%)  <scroll::error::Error as std::error::Error>::cause
    31 (2.5%)   1 (1.7%)  core::ptr::metadata::from_raw_parts
    27 (2.2%)   1 (1.7%)  <scroll::endian::Endian as core::fmt::Debug>::fmt
    26 (2.1%)   1 (1.7%)  <scroll::error::Error as core::convert::From<std::io::error::Error>>::from
    26 (2.1%)   1 (1.7%)  core::fmt::num::<impl core::fmt::Debug for i64>::fmt
    26 (2.1%)   1 (1.7%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
    26 (2.1%)   1 (1.7%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
    26 (2.1%)   1 (1.7%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    23 (1.9%)   5 (8.6%)  <&T as core::fmt::Display>::fmt
    17 (1.4%)   1 (1.7%)  core::str::converts::from_utf8_unchecked
    13 (1.1%)   1 (1.7%)  scroll::ctx::StrCtx::is_empty
    13 (1.1%)   1 (1.7%)  scroll::ctx::StrCtx::len
    12 (1.0%)   1 (1.7%)  <alloc::string::String as core::ops::deref::Deref>::deref
    11 (0.9%)   1 (1.7%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    10 (0.8%)   1 (1.7%)  core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
     9 (0.7%)   1 (1.7%)  alloc::vec::Vec<T,A>::as_ptr
     9 (0.7%)   1 (1.7%)  core::ptr::slice_from_raw_parts
     9 (0.7%)   1 (1.7%)  core::slice::raw::from_raw_parts
     7 (0.6%)   1 (1.7%)  <alloc::string::String as core::fmt::Debug>::fmt
     7 (0.6%)   1 (1.7%)  <alloc::string::String as core::fmt::Display>::fmt
     5 (0.4%)   1 (1.7%)  alloc::raw_vec::RawVec<T,A>::ptr
     5 (0.4%)   1 (1.7%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     2 (0.2%)   1 (1.7%)  <scroll::leb128::Sleb128 as core::convert::AsRef<i64>>::as_ref
     2 (0.2%)   1 (1.7%)  <scroll::leb128::Uleb128 as core::convert::AsRef<u64>>::as_ref
     2 (0.2%)   1 (1.7%)  core::ptr::const_ptr::<impl *const T>::cast
     1 (0.1%)   1 (1.7%)  core::ptr::drop_in_place<&&str>
     1 (0.1%)   1 (1.7%)  core::ptr::drop_in_place<&alloc::string::String>
     1 (0.1%)   1 (1.7%)  core::ptr::drop_in_place<&i64>
     1 (0.1%)   1 (1.7%)  core::ptr::drop_in_place<&std::io::error::Error>
     1 (0.1%)   1 (1.7%)  core::ptr::drop_in_place<&u64>
     1 (0.1%)   1 (1.7%)  core::ptr::drop_in_place<&u8>
     1 (0.1%)   1 (1.7%)  core::ptr::drop_in_place<&usize>
     1 (0.1%)   1 (1.7%)  core::ptr::null_mut
     1 (0.1%)   1 (1.7%)  core::ptr::unique::Unique<T>::as_ptr
     1 (0.1%)   1 (1.7%)  core::slice::raw::debug_check_data_len
