  Lines         Copies       Function name
  -----         ------       -------------
  81014 (100%)  2277 (100%)  (TOTAL)
   2828 (3.5%)     7 (0.3%)  serde_hjson::util::StringReader<Iter>::parse_whitespace
   2685 (3.3%)     5 (0.2%)  serde_hjson::util::ParseNumber<Iter>::parse
   2528 (3.1%)     4 (0.2%)  serde_hjson::de::Deserializer<Iter>::parse_tfnns
   2448 (3.0%)     4 (0.2%)  serde_hjson::de::Deserializer<Iter>::parse_value
   2020 (2.5%)     5 (0.2%)  serde_hjson::util::ParseNumber<Iter>::try_parse
   2020 (2.5%)     4 (0.2%)  serde_hjson::de::Deserializer<Iter>::parse_ml_string
   1506 (1.9%)     2 (0.1%)  serde_hjson::de::Deserializer<Iter>::parse_string
   1392 (1.7%)    24 (1.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
   1281 (1.6%)     7 (0.3%)  serde_hjson::util::StringReader<Iter>::next_char
   1196 (1.5%)     4 (0.2%)  serde_hjson::de::Deserializer<Iter>::parse_keyname
   1145 (1.4%)     5 (0.2%)  serde_hjson::util::ParseNumber<Iter>::try_exponent
   1120 (1.4%)     7 (0.3%)  serde_hjson::util::StringReader<Iter>::peek_next
   1110 (1.4%)     5 (0.2%)  serde_hjson::util::ParseNumber<Iter>::try_decimal
   1102 (1.4%)     2 (0.1%)  <serde_hjson::de::MapVisitor<Iter> as serde::de::MapVisitor>::visit_key
   1020 (1.3%)     2 (0.1%)  <serde_hjson::de::SeqVisitor<Iter> as serde::de::SeqVisitor>::visit
    793 (1.0%)     1 (0.0%)  serde_hjson::ser::ml_str
    744 (0.9%)    24 (1.1%)  core::ptr::metadata::from_raw_parts_mut
    696 (0.9%)    24 (1.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    663 (0.8%)    11 (0.5%)  alloc::alloc::box_free
    626 (0.8%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next
    595 (0.7%)     7 (0.3%)  serde_hjson::util::StringReader<Iter>::eat_line
    568 (0.7%)    10 (0.4%)  core::result::Result<T,E>::map_err
    566 (0.7%)     2 (0.1%)  <linked_hash_map::serde::LinkedHashMapVisitor<K,V> as serde::de::Visitor>::visit_map
    556 (0.7%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    545 (0.7%)    12 (0.5%)  core::mem::replace
    514 (0.6%)     2 (0.1%)  serde_hjson::de::Deserializer<Iter>::decode_hex_escape
    504 (0.6%)     7 (0.3%)  serde_hjson::util::StringReader<Iter>::next
    502 (0.6%)     2 (0.1%)  serde::de::MapVisitor::visit
    498 (0.6%)     2 (0.1%)  <serde::de::impls::VecVisitor<T> as serde::de::Visitor>::visit_seq
    496 (0.6%)    12 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    485 (0.6%)    11 (0.5%)  core::option::Option<T>::map
    455 (0.6%)     7 (0.3%)  serde_hjson::util::StringReader<Iter>::next_char_or_null
    455 (0.6%)     7 (0.3%)  serde_hjson::util::StringReader<Iter>::peek_or_null
    440 (0.5%)     2 (0.1%)  <serde_hjson::de::MapVisitor<Iter> as serde::de::MapVisitor>::end
    436 (0.5%)     1 (0.0%)  serde_hjson::ser::escape_bytes
    420 (0.5%)     3 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    387 (0.5%)    19 (0.8%)  core::ops::function::FnOnce::call_once
    366 (0.5%)     2 (0.1%)  <serde_hjson::de::SeqVisitor<Iter> as serde::de::SeqVisitor>::end
    352 (0.4%)     1 (0.0%)  serde_hjson::de::from_iter
    350 (0.4%)     2 (0.1%)  serde_hjson::de::Deserializer<Iter>::parse_object_colon
    340 (0.4%)     1 (0.0%)  <serde_hjson::error::ErrorCode as core::fmt::Debug>::fmt
    333 (0.4%)    18 (0.8%)  core::ptr::read
    318 (0.4%)     1 (0.0%)  <serde_hjson::value::Deserializer as serde::de::Deserializer>::deserialize
    314 (0.4%)     1 (0.0%)  serde_hjson::ser::quote_str
    310 (0.4%)    10 (0.4%)  core::fmt::ArgumentV1::new
    310 (0.4%)     2 (0.1%)  <<serde_hjson::value::Value as serde::de::Deserialize>::deserialize::ValueVisitor as serde::de::Visitor>::visit_map
    300 (0.4%)     5 (0.2%)  std::sync::once::Once::call_once
    298 (0.4%)     1 (0.0%)  core::num::dec2flt::dec2flt
    292 (0.4%)     6 (0.3%)  core::result::Result<T,E>::unwrap
    292 (0.4%)     1 (0.0%)  core::num::dec2flt::lemire::compute_float
    291 (0.4%)     1 (0.0%)  core::num::dec2flt::slow::parse_long_mantissa
    289 (0.4%)     1 (0.0%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    287 (0.4%)     7 (0.3%)  serde_hjson::util::StringReader<Iter>::new
    278 (0.3%)     1 (0.0%)  linked_hash_map::LinkedHashMap<K,V,S>::insert
    272 (0.3%)     2 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    272 (0.3%)     1 (0.0%)  <serde_hjson::error::Error as core::convert::From<serde::de::value::Error>>::from
    270 (0.3%)     2 (0.1%)  <<serde_hjson::value::Value as serde::de::Deserialize>::deserialize::ValueVisitor as serde::de::Visitor>::visit_seq
    266 (0.3%)     1 (0.0%)  linked_hash_map::serde::<impl serde::ser::Serialize for linked_hash_map::LinkedHashMap<K,V,S>>::serialize
    260 (0.3%)     2 (0.1%)  <serde_hjson::de::MapVisitor<Iter> as serde::de::MapVisitor>::visit_value
    256 (0.3%)     2 (0.1%)  serde_hjson::de::Deserializer<Iter>::end
    252 (0.3%)    24 (1.1%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    241 (0.3%)     1 (0.0%)  core::char::methods::encode_utf8_raw
