  Lines         Copies       Function name
  -----         ------       -------------
  25778 (100%)  1156 (100%)  (TOTAL)
    905 (3.5%)    15 (1.3%)  core::result::Result<T,E>::map_err
    401 (1.6%)     1 (0.1%)  <serde_cbor::value::Value as core::cmp::Ord>::cmp
    388 (1.5%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    379 (1.5%)     7 (0.6%)  alloc::alloc::box_free
    369 (1.4%)     9 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    361 (1.4%)     1 (0.1%)  core::slice::rotate::ptr_rotate
    340 (1.3%)    16 (1.4%)  core::ptr::read
    330 (1.3%)     2 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    283 (1.1%)     3 (0.3%)  alloc::collections::btree::mem::replace
    282 (1.1%)     6 (0.5%)  core::mem::replace
    280 (1.1%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    268 (1.0%)     1 (0.1%)  serde::ser::Serializer::collect_seq
    262 (1.0%)     1 (0.1%)  serde::ser::Serializer::collect_map
    260 (1.0%)    12 (1.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    258 (1.0%)     6 (0.5%)  core::option::Option<T>::ok_or
    242 (0.9%)     1 (0.1%)  <serde_cbor::value::Value as core::fmt::Debug>::fmt
    241 (0.9%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    235 (0.9%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert
