  Lines         Copies       Function name
  -----         ------       -------------
  88649 (100%)  3387 (100%)  (TOTAL)
   2172 (2.5%)    38 (1.1%)  alloc::alloc::box_free
   2088 (2.4%)    36 (1.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
   2016 (2.3%)     9 (0.3%)  <F as syn::parse::Parser>::parse2
   1732 (2.0%)    38 (1.1%)  core::option::Option<T>::map
   1687 (1.9%)     1 (0.0%)  serde_with_macros::serde_as_add_attr_to_field
   1538 (1.7%)    21 (0.6%)  core::result::Result<T,E>::map_err
   1511 (1.7%)     1 (0.0%)  <serde_with_macros::serde_as_add_attr_to_field::SerdeOptions as darling_core::from_field::FromField>::from_field
   1458 (1.6%)    28 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   1390 (1.6%)    10 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   1267 (1.4%)     1 (0.0%)  <serde_with_macros::serde_as_add_attr_to_field::SerdeAsOptions as darling_core::from_field::FromField>::from_field
   1225 (1.4%)     8 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
   1147 (1.3%)    37 (1.1%)  core::ptr::metadata::from_raw_parts_mut
   1136 (1.3%)     8 (0.2%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
   1094 (1.2%)     1 (0.0%)  serde_with_macros::deserialize_fromstr
   1044 (1.2%)    36 (1.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
   1033 (1.2%)     1 (0.0%)  serde_with_macros::replace_infer_type_with_type
    980 (1.1%)    21 (0.6%)  core::mem::replace
    888 (1.0%)     9 (0.3%)  core::iter::traits::iterator::Iterator::fold
    840 (0.9%)     6 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    837 (0.9%)     8 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
    761 (0.9%)     7 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    756 (0.9%)    12 (0.4%)  core::iter::traits::exact_size::ExactSizeIterator::len
    712 (0.8%)     1 (0.0%)  alloc::str::join_generic_copy
    690 (0.8%)     6 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
    690 (0.8%)     6 (0.2%)  core::iter::traits::iterator::Iterator::advance_by
    673 (0.8%)     1 (0.0%)  <serde_with_macros::utils::DeriveOptions as darling_core::from_derive_input::FromDeriveInput>::from_derive_input
    654 (0.7%)     1 (0.0%)  serde_with_macros::apply_function_to_struct_and_enum_fields_darling
    628 (0.7%)    24 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    620 (0.7%)    31 (0.9%)  core::ptr::read
    612 (0.7%)    14 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    594 (0.7%)     8 (0.2%)  std::thread::local::LocalKey<T>::try_with
    522 (0.6%)     6 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    510 (0.6%)    10 (0.3%)  core::alloc::layout::Layout::array
    495 (0.6%)     3 (0.1%)  serde_with_macros::utils::IteratorExt::collect_error::{{closure}}
    482 (0.5%)     1 (0.0%)  serde_with_macros::serde_as
    475 (0.5%)     1 (0.0%)  serde_with_macros::apply_function_to_struct_and_enum_fields
    474 (0.5%)     9 (0.3%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
    465 (0.5%)     1 (0.0%)  <serde_with_macros::serde_as::SerdeContainerOptions as darling_core::from_meta::FromMeta>::from_list
    449 (0.5%)    71 (2.1%)  core::ptr::unique::Unique<T>::cast
    436 (0.5%)    14 (0.4%)  core::option::Option<T>::or_else
    424 (0.5%)     2 (0.1%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    420 (0.5%)     6 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
    406 (0.5%)    31 (0.9%)  core::ops::function::FnOnce::call_once
    405 (0.5%)     6 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    403 (0.5%)     1 (0.0%)  serde_with_macros::field_has_attribute
    395 (0.4%)    36 (1.1%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    384 (0.4%)     6 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    375 (0.4%)     9 (0.3%)  core::slice::iter::Iter<T>::new
    353 (0.4%)     1 (0.0%)  serde_with_macros::serialize_display
    351 (0.4%)     6 (0.2%)  alloc::vec::Vec<T,A>::push
    345 (0.4%)    10 (0.3%)  core::option::Option<T>::ok_or
    344 (0.4%)     8 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    336 (0.4%)     8 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    333 (0.4%)    37 (1.1%)  core::ptr::slice_from_raw_parts_mut
    332 (0.4%)     4 (0.1%)  core::result::Result<T,E>::map
    324 (0.4%)    36 (1.1%)  alloc::vec::Vec<T,A>::as_mut_ptr
    324 (0.4%)     6 (0.2%)  core::iter::traits::iterator::Iterator::for_each
    312 (0.4%)     6 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    306 (0.3%)     6 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    298 (0.3%)    11 (0.3%)  alloc::boxed::Box<T>::new
    294 (0.3%)     1 (0.0%)  serde_with_macros::skip_serializing_none_add_attr_to_field
    284 (0.3%)     2 (0.1%)  std::panicking::update_hook
    281 (0.3%)    31 (0.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    280 (0.3%)     8 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    279 (0.3%)     9 (0.3%)  core::ptr::metadata::from_raw_parts
    267 (0.3%)     3 (0.1%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::IntoIterator>::into_iter
    258 (0.3%)     6 (0.2%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
    257 (0.3%)     1 (0.0%)  serde_with_macros::has_type_embedded
    256 (0.3%)     4 (0.1%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
    255 (0.3%)     5 (0.1%)  darling_core::error::Error::with_span
    247 (0.3%)     4 (0.1%)  core::iter::adapters::map::map_try_fold::{{closure}}
    244 (0.3%)     1 (0.0%)  serde_with_macros::derive_deserialize_fromstr
    244 (0.3%)     1 (0.0%)  serde_with_macros::derive_serialize_display
    241 (0.3%)     1 (0.0%)  core::char::methods::encode_utf8_raw
    239 (0.3%)     3 (0.1%)  syn::punctuated::Punctuated<T,P>::push_punct
    236 (0.3%)    38 (1.1%)  core::ptr::unique::Unique<T>::as_ref
    228 (0.3%)     6 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
    221 (0.2%)    37 (1.1%)  core::ptr::mut_ptr::<impl *mut T>::is_null
    216 (0.2%)     3 (0.1%)  alloc::boxed::Box<T,A>::into_unique
    213 (0.2%)    18 (0.5%)  core::iter::adapters::map::Map<I,F>::new
    211 (0.2%)    16 (0.5%)  core::mem::manually_drop::ManuallyDrop<T>::new
    210 (0.2%)     6 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
    210 (0.2%)     5 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
    210 (0.2%)     2 (0.1%)  darling_core::error::kind::did_you_mean
    208 (0.2%)     3 (0.1%)  serde_with_macros::replace_infer_type_with_type::{{closure}}
    206 (0.2%)     2 (0.1%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    204 (0.2%)     1 (0.0%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::Extend<syn::punctuated::Pair<T,P>>>::extend
    201 (0.2%)     3 (0.1%)  darling_core::from_meta::FromMeta::from_meta
    197 (0.2%)     1 (0.0%)  serde_with_macros::apply_function_to_struct_and_enum_fields_darling::apply_on_fields
    196 (0.2%)     4 (0.1%)  syn::parse::Parser::parse
    192 (0.2%)     6 (0.2%)  core::ptr::const_ptr::<impl *const T>::offset_from
    191 (0.2%)     2 (0.1%)  syn::error::Error::new
    189 (0.2%)    17 (0.5%)  core::option::Option<T>::take
    186 (0.2%)     6 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::nth_back
    186 (0.2%)     6 (0.2%)  core::iter::traits::iterator::Iterator::nth
    186 (0.2%)     3 (0.1%)  core::iter::traits::iterator::Iterator::find_map::check::{{closure}}
    186 (0.2%)     3 (0.1%)  syn::punctuated::Punctuated<T,P>::push_value
    184 (0.2%)     2 (0.1%)  proc_macro::bridge::client::run_client
    180 (0.2%)    36 (1.1%)  alloc::raw_vec::RawVec<T,A>::ptr
    175 (0.2%)     2 (0.1%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    174 (0.2%)    71 (2.1%)  core::ptr::unique::Unique<T>::as_ptr
    172 (0.2%)     4 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
