  Lines         Copies      Function name
  -----         ------      -------------
  24924 (100%)  338 (100%)  (TOTAL)
   9403 (37.7%)   1 (0.3%)  sha2::sha512::soft::sha512_digest_block_u64
   3592 (14.4%)   1 (0.3%)  sha2::sha256::soft::sha256_digest_block_u32
   1970 (7.9%)    1 (0.3%)  sha2::sha256::x86::digest_blocks
   1057 (4.2%)    1 (0.3%)  sha2::sha512::x86::load_data_avx2
    425 (1.7%)    1 (0.3%)  sha2::sha512::x86::load_data_avx
    362 (1.5%)    1 (0.3%)  sha2::sha512::x86::sha512_update_x_avx
    362 (1.5%)    1 (0.3%)  sha2::sha512::x86::sha512_update_x_avx2
    243 (1.0%)    1 (0.3%)  sha2::sha256::soft::sha256msg1::sigma0x4
    206 (0.8%)    2 (0.6%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    200 (0.8%)    1 (0.3%)  sha2::sha256::soft::sha256_digest_round_x2
    197 (0.8%)    1 (0.3%)  sha2::sha512::x86::rounds_0_63_avx2
    184 (0.7%)    1 (0.3%)  sha2::sha512::x86::sha512_compress_x86_64_avx2
    183 (0.7%)    1 (0.3%)  sha2::sha256::soft::schedule
    167 (0.7%)    1 (0.3%)  sha2::sha256::soft::compress
    167 (0.7%)    1 (0.3%)  sha2::sha512::soft::compress
    156 (0.6%)    1 (0.3%)  sha2::sha512::x86::rounds_0_63_avx
    138 (0.6%)    2 (0.6%)  core::core_arch::x86::ssse3::_mm_alignr_epi8
    135 (0.5%)    1 (0.3%)  core::core_arch::x86::avx2::_mm256_alignr_epi8
    132 (0.5%)    2 (0.6%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
    126 (0.5%)    3 (0.9%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    125 (0.5%)    3 (0.9%)  core::slice::iter::Iter<T>::new
    125 (0.5%)    1 (0.3%)  sha2::sha512::soft::sha512_digest_round
    124 (0.5%)    3 (0.9%)  core::slice::iter::Iter<T>::post_inc_start
    122 (0.5%)    2 (0.6%)  core::result::Result<T,E>::map
    116 (0.5%)    2 (0.6%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    109 (0.4%)    1 (0.3%)  sha2::sha512::x86::sha_round
    105 (0.4%)    1 (0.3%)  sha2::sha256::x86::shani_cpuid::init_get
    103 (0.4%)    1 (0.3%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
    102 (0.4%)    2 (0.6%)  core::result::Result<T,E>::unwrap
    101 (0.4%)    1 (0.3%)  sha2::sha256::soft::sha256msg1
     93 (0.4%)    3 (0.9%)  core::ptr::metadata::from_raw_parts
     90 (0.4%)    2 (0.6%)  core::iter::traits::iterator::Iterator::zip
     88 (0.4%)    2 (0.6%)  core::core_arch::x86::avx::_mm256_insertf128_si256
     87 (0.3%)    1 (0.3%)  sha2::sha512::x86::avx2_cpuid::init_get
     84 (0.3%)    2 (0.6%)  core::mem::replace
     82 (0.3%)    2 (0.6%)  core::core_arch::x86::avx2::_mm256_extracti128_si256
     82 (0.3%)    2 (0.6%)  core::slice::iter::IterMut<T>::new
     82 (0.3%)    1 (0.3%)  sha2::sha512::soft::sha512_schedule_x2
     80 (0.3%)    5 (1.5%)  core::core_arch::x86::avx2::_mm256_srli_epi64
     80 (0.3%)    5 (1.5%)  core::core_arch::x86::sse2::_mm_srli_epi64
     80 (0.3%)    1 (0.3%)  sha2::sha256::soft::sha256msg2
     76 (0.3%)    1 (0.3%)  core::cmp::min_by
     72 (0.3%)    3 (0.9%)  core::core_arch::x86::sse2::_mm_shuffle_epi32
     70 (0.3%)    1 (0.3%)  sha2::sha512::x86::accumulate_state
     67 (0.3%)    1 (0.3%)  sha2::sha512::x86::sha512_compress_x86_64_avx
     65 (0.3%)    1 (0.3%)  core::core_arch::simd::i8x32::new
     64 (0.3%)    4 (1.2%)  core::core_arch::x86::avx2::_mm256_slli_epi64
     64 (0.3%)    4 (1.2%)  core::core_arch::x86::sse2::_mm_slli_epi64
     60 (0.2%)    2 (0.6%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     59 (0.2%)    1 (0.3%)  sha2::sha512::x86::rounds_64_79
     56 (0.2%)    1 (0.3%)  sha2::sha256::soft::add
     52 (0.2%)    1 (0.3%)  sha2::sha256::soft::or
     52 (0.2%)    1 (0.3%)  sha2::sha256::soft::xor
     50 (0.2%)    5 (1.5%)  core::ptr::const_ptr::<impl *const T>::offset
     50 (0.2%)    5 (1.5%)  core::ptr::mut_ptr::<impl *mut T>::offset
     50 (0.2%)    1 (0.3%)  core::fmt::Arguments::new_v1
     48 (0.2%)    1 (0.3%)  sha2::sha256::x86::schedule
     46 (0.2%)    1 (0.3%)  core::core_arch::x86::cpuid::__cpuid_count
     46 (0.2%)    1 (0.3%)  core::iter::adapters::step_by::StepBy<I>::new
     44 (0.2%)    1 (0.3%)  sha2::sha512::x86::process_second_block
     40 (0.2%)    1 (0.3%)  sha2::sha256::soft::sha256load
     40 (0.2%)    1 (0.3%)  sha2::sha512::soft::add
     39 (0.2%)    1 (0.3%)  core::core_arch::x86::sha::_mm_sha256rnds2_epu32
     38 (0.2%)    1 (0.3%)  core::slice::iter::ChunksExact<T>::new
     38 (0.2%)    1 (0.3%)  sha2::sha256::soft::shl
     38 (0.2%)    1 (0.3%)  sha2::sha256::soft::shr
     36 (0.1%)    1 (0.3%)  core::core_arch::x86::avx::_mm256_set_m128i
     36 (0.1%)    1 (0.3%)  core::sync::atomic::atomic_load
     35 (0.1%)    1 (0.3%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::size_hint
     35 (0.1%)    1 (0.3%)  core::core_arch::x86::sse2::_mm_add_epi32
     34 (0.1%)    2 (0.6%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
     34 (0.1%)    2 (0.6%)  core::ptr::read
     34 (0.1%)    1 (0.3%)  core::core_arch::x86::avx2::_mm256_add_epi64
     34 (0.1%)    1 (0.3%)  core::core_arch::x86::avx2::_mm256_xor_si256
     34 (0.1%)    1 (0.3%)  core::core_arch::x86::sse2::_mm_add_epi64
     34 (0.1%)    1 (0.3%)  core::num::<impl usize>::overflowing_add
     33 (0.1%)    1 (0.3%)  core::core_arch::simd::i8x16::new
