  Lines        Copies      Function name
  -----        ------      -------------
  7143 (100%)  370 (100%)  (TOTAL)
   280 (3.9%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   272 (3.8%)    7 (1.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   233 (3.3%)    2 (0.5%)  shared_library::dynamic_library::dl::check_for_errors_in
   157 (2.2%)    1 (0.3%)  alloc::alloc::Global::grow_impl
   154 (2.2%)    1 (0.3%)  alloc::raw_vec::finish_grow
   150 (2.1%)    1 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
   149 (2.1%)    3 (0.8%)  core::result::Result<T,E>::map_err
   139 (1.9%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   118 (1.7%)    2 (0.5%)  core::mem::replace
   116 (1.6%)    6 (1.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   116 (1.6%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
   114 (1.6%)    2 (0.5%)  alloc::alloc::box_free
   112 (1.6%)    1 (0.3%)  <T as std::ffi::c_str::CString::new::SpecNewImpl>::spec_new_impl
   105 (1.5%)    3 (0.8%)  core::option::Option<T>::ok_or
   102 (1.4%)    2 (0.5%)  core::alloc::layout::Layout::array
    99 (1.4%)    1 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    93 (1.3%)    2 (0.5%)  core::result::Result<T,E>::unwrap
    89 (1.2%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    86 (1.2%)    1 (0.3%)  <shared_library::LoadingError as core::fmt::Debug>::fmt
    80 (1.1%)    1 (0.3%)  shared_library::dynamic_library::DynamicLibrary::create_path
    78 (1.1%)    1 (0.3%)  std::sync::poison::map_result
    77 (1.1%)    1 (0.3%)  core::ptr::drop_in_place<[std::path::PathBuf]>
