  Lines         Copies       Function name
  -----         ------       -------------
  25577 (100%)  1191 (100%)  (TOTAL)
    794 (3.1%)     2 (0.2%)  alloc::collections::btree::node::BalancingContext<K,V>::do_merge
    486 (1.9%)     1 (0.1%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::clone::Clone>::clone::clone_subtree
    421 (1.6%)     9 (0.8%)  core::mem::replace
    417 (1.6%)    20 (1.7%)  core::ptr::read
    386 (1.5%)     1 (0.1%)  alloc::collections::btree::node::BalancingContext<K,V>::bulk_steal_right
    377 (1.5%)     1 (0.1%)  alloc::collections::btree::node::BalancingContext<K,V>::bulk_steal_left
    327 (1.3%)     1 (0.1%)  alloc::collections::btree::remove::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::KV>>::remove_leaf_kv
    306 (1.2%)     6 (0.5%)  alloc::alloc::box_free
    298 (1.2%)     2 (0.2%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::next_kv
    296 (1.2%)     4 (0.3%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    293 (1.1%)     6 (0.5%)  core::option::Option<T>::map
    289 (1.1%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    283 (1.1%)     3 (0.3%)  alloc::collections::btree::mem::replace
    276 (1.1%)     6 (0.5%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::right_kv
    276 (1.1%)     1 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::choose_parent_kv
    262 (1.0%)     6 (0.5%)  core::option::Option<T>::ok_or
