  Lines       Copies     Function name
  -----       ------     -------------
  502 (100%)  22 (100%)  (TOTAL)
  114 (22.7%)  1 (4.5%)  <signature::error::Error as core::fmt::Debug>::fmt
   88 (17.5%)  1 (4.5%)  <signature::error::Error as core::fmt::Display>::fmt
   50 (10.0%)  1 (4.5%)  core::fmt::Arguments::new_v1
   49 (9.8%)   1 (4.5%)  core::option::Option<T>::map
   31 (6.2%)   1 (4.5%)  core::fmt::ArgumentV1::new
   30 (6.0%)   1 (4.5%)  signature::error::Error::from_source
   23 (4.6%)   1 (4.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   18 (3.6%)   1 (4.5%)  <signature::error::Error as core::default::Default>::default
   17 (3.4%)   1 (4.5%)  core::option::Option<T>::as_ref
   10 (2.0%)   1 (4.5%)  <alloc::boxed::Box<T,A> as core::fmt::Display>::fmt
   10 (2.0%)   1 (4.5%)  <core::option::Option<T> as core::default::Default>::default
    9 (1.8%)   1 (4.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    9 (1.8%)   1 (4.5%)  <signature::error::Error as std::error::Error>::source
    7 (1.4%)   1 (4.5%)  <T as core::convert::Into<U>>::into
    7 (1.4%)   1 (4.5%)  <alloc::boxed::Box<T,A> as core::convert::AsRef<T>>::as_ref
    7 (1.4%)   1 (4.5%)  <signature::error::Error as core::convert::From<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>>::from
    7 (1.4%)   1 (4.5%)  <signature::error::Error as std::error::Error>::source::{{closure}}
    7 (1.4%)   1 (4.5%)  signature::error::Error::new
    4 (0.8%)   2 (9.1%)  <T as core::convert::From<T>>::from
    4 (0.8%)   1 (4.5%)  <&T as core::fmt::Display>::fmt
    1 (0.2%)   1 (4.5%)  <() as core::default::Default>::default
