  Lines         Copies      Function name
  -----         ------      -------------
  13182 (100%)  707 (100%)  (TOTAL)
    570 (4.3%)   12 (1.7%)  core::mem::replace
    456 (3.5%)    5 (0.7%)  alloc::sync::Arc<T>::new
    369 (2.8%)    5 (0.7%)  std::thread::local::LocalKey<T>::try_with
    328 (2.5%)    6 (0.8%)  alloc::alloc::box_free
    320 (2.4%)    9 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    299 (2.3%)   15 (2.1%)  core::ptr::read
    260 (2.0%)    7 (1.0%)  core::cell::Cell<T>::replace
    260 (2.0%)    4 (0.6%)  arc_swap::debt::list::LocalNode::with::{{closure}}
    214 (1.6%)    1 (0.1%)  arc_swap::debt::helping::Slots::help
    186 (1.4%)    1 (0.1%)  core::sync::atomic::atomic_compare_exchange
    181 (1.4%)    3 (0.4%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    165 (1.3%)    5 (0.7%)  core::option::Option<T>::ok_or
    163 (1.2%)    4 (0.6%)  core::result::Result<T,E>::expect
    162 (1.2%)    4 (0.6%)  core::sync::atomic::atomic_load
    157 (1.2%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    154 (1.2%)    1 (0.1%)  alloc::raw_vec::finish_grow
    152 (1.2%)    2 (0.3%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    149 (1.1%)    3 (0.4%)  core::result::Result<T,E>::map_err
    147 (1.1%)    9 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    146 (1.1%)    3 (0.4%)  alloc::sync::Weak<T>::inner
    144 (1.1%)    1 (0.1%)  <slog::OwnedKVListNode<T> as slog::KV>::serialize
    140 (1.1%)    2 (0.3%)  slog::Logger<D>::root
    140 (1.1%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    139 (1.1%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    134 (1.0%)    1 (0.1%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::next
    130 (1.0%)   15 (2.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    128 (1.0%)    2 (0.3%)  arc_swap::debt::list::LocalNode::with
    116 (0.9%)    2 (0.3%)  std::thread::local::fast::Key<T>::get
    116 (0.9%)    2 (0.3%)  std::thread::local::fast::Key<T>::try_initialize
    108 (0.8%)    1 (0.1%)  arc_swap::debt::Debt::pay_all::{{closure}}::{{closure}}
    101 (0.8%)    1 (0.1%)  arc_swap::debt::fast::Slots::get_debt
     97 (0.7%)    6 (0.8%)  alloc::boxed::Box<T,A>::leak
     95 (0.7%)    1 (0.1%)  arc_swap::strategy::hybrid::HybridProtection<T>::attempt
     90 (0.7%)    1 (0.1%)  arc_swap::debt::list::Node::traverse
     89 (0.7%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     84 (0.6%)    1 (0.1%)  <arc_swap::strategy::hybrid::HybridProtection<T> as arc_swap::strategy::sealed::Protected<T>>::into_inner
     81 (0.6%)   13 (1.8%)  core::ptr::write
     81 (0.6%)    1 (0.1%)  slog_scope::logger::{{closure}}
     80 (0.6%)    1 (0.1%)  arc_swap::strategy::hybrid::HybridProtection<T>::fallback
     78 (0.6%)    1 (0.1%)  core::cell::RefCell<T>::try_borrow
     78 (0.6%)    1 (0.1%)  core::cell::RefCell<T>::try_borrow_mut
     76 (0.6%)    3 (0.4%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     76 (0.6%)    2 (0.3%)  std::thread::local::fast::destroy_value
     76 (0.6%)    1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     76 (0.6%)    1 (0.1%)  core::cmp::max_by
     75 (0.6%)    2 (0.3%)  core::sync::atomic::atomic_swap
     72 (0.5%)    3 (0.4%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
     72 (0.5%)    3 (0.4%)  core::alloc::layout::Layout::for_value_raw
     72 (0.5%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     69 (0.5%)    5 (0.7%)  core::cell::Cell<T>::set
     69 (0.5%)    2 (0.3%)  core::result::Result<T,E>::unwrap_or_else
     68 (0.5%)    2 (0.3%)  core::sync::atomic::atomic_store
     67 (0.5%)    5 (0.7%)  core::ops::function::FnOnce::call_once
     67 (0.5%)    3 (0.4%)  alloc::sync::Arc<T>::drop_slow
     66 (0.5%)    2 (0.3%)  std::thread::local::fast::Key<T>::try_register_dtor
     62 (0.5%)    4 (0.6%)  core::mem::align_of_val_raw
     62 (0.5%)    2 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     61 (0.5%)    1 (0.1%)  arc_swap::debt::Debt::pay_all::{{closure}}
     61 (0.5%)    1 (0.1%)  slog::OwnedKVList::root
     60 (0.5%)    5 (0.7%)  core::option::Option<T>::take
     60 (0.5%)    1 (0.1%)  std::sync::once::Once::call_once
     59 (0.4%)   15 (2.1%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     58 (0.4%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
     54 (0.4%)    8 (1.1%)  core::mem::manually_drop::ManuallyDrop<T>::new
     53 (0.4%)   11 (1.6%)  core::mem::drop
     53 (0.4%)    3 (0.4%)  core::mem::size_of_val_raw
     52 (0.4%)    1 (0.1%)  <arc_swap::ArcSwapAny<T,S> as core::convert::From<T>>::from
     51 (0.4%)    3 (0.4%)  alloc::sync::Arc<T>::get_mut_unchecked
     51 (0.4%)    1 (0.1%)  alloc::vec::Vec<T,A>::push
     51 (0.4%)    1 (0.1%)  core::alloc::layout::Layout::array
     50 (0.4%)    1 (0.1%)  <slog::Logger<D> as core::clone::Clone>::clone
     50 (0.4%)    1 (0.1%)  core::fmt::Arguments::new_v1
     47 (0.4%)   15 (2.1%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     47 (0.4%)    7 (1.0%)  core::cell::UnsafeCell<T>::new
     46 (0.3%)    1 (0.1%)  <arc_swap::strategy::hybrid::HybridStrategy<Cfg> as arc_swap::strategy::sealed::InnerStrategy<T>>::load::{{closure}}
     46 (0.3%)    1 (0.1%)  arc_swap::ArcSwapAny<T,S>::with_strategy
     45 (0.3%)    1 (0.1%)  core::cell::RefCell<T>::new
     44 (0.3%)    7 (1.0%)  alloc::sync::Arc<T>::from_inner
     44 (0.3%)    7 (1.0%)  core::ptr::unique::Unique<T>::cast
     44 (0.3%)    5 (0.7%)  core::cell::Cell<T>::new
     44 (0.3%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     44 (0.3%)    1 (0.1%)  arc_swap::debt::Debt::pay_all
     43 (0.3%)    1 (0.1%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     43 (0.3%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     43 (0.3%)    1 (0.1%)  core::option::Option<T>::unwrap_or_else
     43 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
     43 (0.3%)    1 (0.1%)  std::panicking::begin_panic::{{closure}}
     42 (0.3%)    1 (0.1%)  core::slice::iter::Iter<T>::post_inc_start
     42 (0.3%)    1 (0.1%)  slog_scope::set_global_logger
     41 (0.3%)    3 (0.4%)  core::option::Option<T>::unwrap
     41 (0.3%)    1 (0.1%)  std::panicking::begin_panic
     39 (0.3%)    1 (0.1%)  alloc::raw_vec::handle_reserve
     39 (0.3%)    1 (0.1%)  core::iter::adapters::chain::Chain<A,B>::new
