  Lines         Copies      Function name
  -----         ------      -------------
  10637 (100%)  553 (100%)  (TOTAL)
    651 (6.1%)   21 (3.8%)  core::fmt::ArgumentV1::new
    356 (3.3%)    8 (1.4%)  core::mem::replace
    310 (2.9%)    1 (0.2%)  <slog_stdlog::LazyLogString as core::fmt::Display>::fmt
    241 (2.3%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    210 (2.0%)    7 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    186 (1.7%)    1 (0.2%)  core::sync::atomic::atomic_compare_exchange
    186 (1.7%)    1 (0.2%)  std::io::Write::write_all
    181 (1.7%)    3 (0.5%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    161 (1.5%)    9 (1.6%)  core::ptr::read
    155 (1.5%)    5 (0.9%)  core::cell::Cell<T>::replace
    152 (1.4%)    2 (0.4%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    151 (1.4%)    2 (0.4%)  std::thread::local::LocalKey<T>::try_with
    148 (1.4%)    1 (0.2%)  slog_scope::with_logger::{{closure}}
    146 (1.4%)    3 (0.5%)  alloc::sync::Weak<T>::inner
    140 (1.3%)    2 (0.4%)  core::result::Result<T,E>::map_err
    140 (1.3%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    128 (1.2%)    4 (0.7%)  core::option::Option<T>::ok_or
    125 (1.2%)    1 (0.2%)  <slog_stdlog::StdLog as slog::Drain>::log
    124 (1.2%)    7 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    124 (1.2%)    2 (0.4%)  alloc::alloc::box_free
    124 (1.2%)    1 (0.2%)  <slog_stdlog::KSV<W> as slog::Serializer>::emit_arguments
    116 (1.1%)    2 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    116 (1.1%)    2 (0.4%)  arc_swap::debt::list::LocalNode::with::{{closure}}
    116 (1.1%)    2 (0.4%)  std::thread::local::fast::Key<T>::get
    116 (1.1%)    2 (0.4%)  std::thread::local::fast::Key<T>::try_initialize
    114 (1.1%)    1 (0.2%)  std::io::Write::write_fmt
    101 (0.9%)    1 (0.2%)  arc_swap::debt::fast::Slots::get_debt
     96 (0.9%)    1 (0.2%)  <std::io::Write::write_fmt::Adapter<T> as core::fmt::Write>::write_str
     95 (0.9%)    1 (0.2%)  arc_swap::strategy::hybrid::HybridProtection<T>::attempt
     89 (0.8%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     84 (0.8%)    1 (0.2%)  <arc_swap::strategy::hybrid::HybridProtection<T> as arc_swap::strategy::sealed::Protected<T>>::into_inner
     80 (0.8%)    2 (0.4%)  core::result::Result<T,E>::expect
     80 (0.8%)    1 (0.2%)  arc_swap::strategy::hybrid::HybridProtection<T>::fallback
     78 (0.7%)    2 (0.4%)  core::sync::atomic::atomic_load
     78 (0.7%)    1 (0.2%)  core::cell::RefCell<T>::try_borrow
     76 (0.7%)    3 (0.5%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     76 (0.7%)    2 (0.4%)  std::thread::local::fast::destroy_value
     72 (0.7%)    3 (0.5%)  core::alloc::layout::Layout::for_value_raw
     67 (0.6%)    3 (0.5%)  alloc::sync::Arc<T>::drop_slow
     66 (0.6%)    2 (0.4%)  std::thread::local::fast::Key<T>::try_register_dtor
     62 (0.6%)    4 (0.7%)  core::mem::align_of_val_raw
     62 (0.6%)    2 (0.4%)  core::ptr::metadata::from_raw_parts
     62 (0.6%)    2 (0.4%)  core::ptr::metadata::from_raw_parts_mut
