  Lines        Copies      Function name
  -----        ------      -------------
  5082 (100%)  226 (100%)  (TOTAL)
   321 (6.3%)    8 (3.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   241 (4.7%)    1 (0.4%)  core::char::methods::encode_utf8_raw
   198 (3.9%)    4 (1.8%)  core::result::Result<T,E>::map_err
   185 (3.6%)    1 (0.4%)  slug::_slugify
   157 (3.1%)    1 (0.4%)  alloc::alloc::Global::grow_impl
   156 (3.1%)    1 (0.4%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   154 (3.0%)    1 (0.4%)  alloc::raw_vec::finish_grow
   147 (2.9%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::shrink
   140 (2.8%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   139 (2.7%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   116 (2.3%)    6 (2.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   105 (2.1%)    3 (1.3%)  core::option::Option<T>::ok_or
   101 (2.0%)    1 (0.4%)  core::str::validations::next_code_point_reverse
    99 (1.9%)    1 (0.4%)  deunicode::deunicode_char
    96 (1.9%)    1 (0.4%)  core::str::validations::next_code_point
    89 (1.8%)    1 (0.4%)  alloc::alloc::Global::alloc_impl
    76 (1.5%)    2 (0.9%)  core::option::Option<T>::map
    76 (1.5%)    1 (0.4%)  core::cmp::max_by
    62 (1.2%)    2 (0.9%)  core::fmt::ArgumentV1::new
    62 (1.2%)    2 (0.9%)  core::ptr::metadata::from_raw_parts
    58 (1.1%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    57 (1.1%)    1 (0.4%)  core::slice::<impl [T]>::ends_with
    56 (1.1%)    1 (0.4%)  alloc::string::String::pop
    55 (1.1%)    1 (0.4%)  slug::_slugify::{{closure}}
    51 (1.0%)    1 (0.4%)  alloc::vec::Vec<T,A>::push
    51 (1.0%)    1 (0.4%)  core::alloc::layout::Layout::array
    50 (1.0%)    1 (0.4%)  core::fmt::Arguments::new_v1
    49 (1.0%)    1 (0.4%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
    47 (0.9%)    1 (0.4%)  core::option::Option<T>::unwrap_unchecked
    43 (0.8%)    1 (0.4%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    43 (0.8%)    1 (0.4%)  core::option::Option<T>::unwrap_or
    40 (0.8%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
    40 (0.8%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    40 (0.8%)    1 (0.4%)  core::str::<impl str>::is_char_boundary
    39 (0.8%)    1 (0.4%)  alloc::raw_vec::handle_reserve
    39 (0.8%)    1 (0.4%)  core::slice::iter::Iter<T>::new
    38 (0.7%)    1 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    36 (0.7%)    2 (0.9%)  alloc::raw_vec::finish_grow::{{closure}}
    35 (0.7%)    2 (0.9%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    35 (0.7%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
    35 (0.7%)    1 (0.4%)  core::slice::iter::Iter<T>::pre_dec_end
    34 (0.7%)    1 (0.4%)  core::num::<impl usize>::overflowing_add
    34 (0.7%)    1 (0.4%)  core::num::<impl usize>::overflowing_mul
    32 (0.6%)    1 (0.4%)  core::num::<impl usize>::checked_add
    32 (0.6%)    1 (0.4%)  core::num::<impl usize>::checked_mul
    31 (0.6%)    1 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    29 (0.6%)    1 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    29 (0.6%)    1 (0.4%)  alloc::raw_vec::alloc_guard
    28 (0.6%)    1 (0.4%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    25 (0.5%)    2 (0.9%)  <usize as core::slice::index::SliceIndex<[T]>>::get
    22 (0.4%)    1 (0.4%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    20 (0.4%)    2 (0.9%)  core::ptr::const_ptr::<impl *const T>::offset
    20 (0.4%)    1 (0.4%)  <[A] as core::slice::cmp::SlicePartialEq<B>>::equal
