  Lines          Copies       Function name
  -----          ------       -------------
  217834 (100%)  7863 (100%)  (TOTAL)
    4761 (2.2%)     1 (0.0%)  snafu_derive::field_container
    4008 (1.8%)    65 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    3925 (1.8%)    81 (1.0%)  core::option::Option<T>::map
    3780 (1.7%)    27 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    3422 (1.6%)    59 (0.8%)  alloc::raw_vec::RawVec<T,A>::current_memory
    3356 (1.5%)    27 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    3172 (1.5%)    36 (0.5%)  core::iter::traits::iterator::Iterator::fold
    3016 (1.4%)     8 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    2919 (1.3%)    21 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    2589 (1.2%)    47 (0.6%)  alloc::alloc::box_free
    2108 (1.0%)    68 (0.9%)  core::ptr::metadata::from_raw_parts_mut
    2057 (0.9%)    40 (0.5%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    2050 (0.9%)     8 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    2044 (0.9%)    42 (0.5%)  core::mem::replace
    2008 (0.9%)    20 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    1998 (0.9%)     1 (0.0%)  snafu_derive::TupleStructInfo::generate_snafu
    1987 (0.9%)    90 (1.1%)  core::ptr::read
    1711 (0.8%)    59 (0.8%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1683 (0.8%)    33 (0.4%)  core::alloc::layout::Layout::array
    1566 (0.7%)    18 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    1489 (0.7%)     5 (0.1%)  snafu_derive::parse::MaybeArg<T>::parse_with
    1469 (0.7%)     1 (0.0%)  snafu_derive::parse_snafu_enum
    1441 (0.7%)    11 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_exact
    1426 (0.7%)     9 (0.1%)  syn::token::printing::delim
    1386 (0.6%)    22 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1378 (0.6%)    51 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1353 (0.6%)    11 (0.1%)  syn::parse::ParseBuffer::step
    1344 (0.6%)    21 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    1301 (0.6%)     1 (0.0%)  snafu_derive::parse_snafu_tuple_struct
    1278 (0.6%)    26 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    1276 (0.6%)    11 (0.1%)  snafu_derive::AtMostOne<T,U>::finish_with_location
    1264 (0.6%)     4 (0.1%)  alloc::collections::btree::append::<impl alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Owned,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::bulk_push
    1260 (0.6%)    15 (0.2%)  core::option::Option<T>::map_or
    1225 (0.6%)     8 (0.1%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::fold
    1177 (0.5%)    11 (0.1%)  alloc::collections::vec_deque::ring_slices::RingSlices::ring_slices
    1176 (0.5%)    21 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    1160 (0.5%)     1 (0.0%)  snafu_derive::NamedStructInfo::generate_snafu
    1138 (0.5%)    18 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    1112 (0.5%)    11 (0.1%)  snafu_derive::AtMostOne<T,U>::add
    1073 (0.5%)    13 (0.2%)  core::result::Result<T,E>::map
     994 (0.5%)    91 (1.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     988 (0.5%)    19 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     985 (0.5%)     1 (0.0%)  <snafu_derive::shared::display::DisplayMatchArm as quote::to_tokens::ToTokens>::to_tokens
     969 (0.4%)    19 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     950 (0.4%)     1 (0.0%)  <snafu_derive::shared::error::Error as quote::to_tokens::ToTokens>::to_tokens
     945 (0.4%)    27 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
     885 (0.4%)     6 (0.1%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::size_hint
     867 (0.4%)     1 (0.0%)  snafu_derive::shared::context_selector::ContextSelector::generate_leaf
     832 (0.4%)     5 (0.1%)  syn::error::Error::new_spanned
     814 (0.4%)    19 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     795 (0.4%)    19 (0.2%)  core::slice::iter::Iter<T>::new
     794 (0.4%)    19 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
     772 (0.4%)     1 (0.0%)  snafu_derive::shared::context_selector::ContextSelector::generate_whatever
     754 (0.3%)     1 (0.0%)  snafu_derive::shared::context_selector::ContextSelector::generate_into_error
     735 (0.3%)    21 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     722 (0.3%)    19 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
     712 (0.3%)     1 (0.0%)  alloc::str::join_generic_copy
     710 (0.3%)     1 (0.0%)  <snafu_derive::parse::SourceArg as syn::parse::Parse>::parse
     682 (0.3%)    22 (0.3%)  core::ptr::metadata::from_raw_parts
     673 (0.3%)     7 (0.1%)  alloc::collections::btree::mem::replace
     666 (0.3%)     3 (0.0%)  <F as syn::parse::Parser>::parse2
     664 (0.3%)     7 (0.1%)  snafu_derive::AtMostOne<T,U>::finish
     638 (0.3%)    12 (0.2%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     637 (0.3%)     1 (0.0%)  snafu_derive::parse_snafu_named_struct
     633 (0.3%)    50 (0.6%)  core::iter::adapters::map::Map<I,F>::new
     627 (0.3%)   101 (1.3%)  core::ptr::unique::Unique<T>::cast
     624 (0.3%)     6 (0.1%)  core::option::Option<T>::map_or_else
     623 (0.3%)    57 (0.7%)  core::mem::manually_drop::ManuallyDrop<T>::new
     612 (0.3%)    68 (0.9%)  core::ptr::slice_from_raw_parts_mut
     608 (0.3%)    19 (0.2%)  core::ptr::const_ptr::<impl *const T>::offset_from
     594 (0.3%)    11 (0.1%)  alloc::collections::vec_deque::VecDeque<T,A>::with_capacity_in
     594 (0.3%)    10 (0.1%)  alloc::vec::Vec<T,A>::push
     592 (0.3%)     1 (0.0%)  snafu_derive::parse::<impl core::convert::From<snafu_derive::parse::Attribute> for snafu_derive::SnafuAttribute>::from
     583 (0.3%)    11 (0.1%)  <alloc::collections::vec_deque::VecDeque<T,A> as core::ops::drop::Drop>::drop
     576 (0.3%)     9 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     568 (0.3%)     4 (0.1%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
     561 (0.3%)    11 (0.1%)  snafu_derive::AtMostOne<T,U>::new
     560 (0.3%)    26 (0.3%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
     555 (0.3%)     3 (0.0%)  syn::punctuated::Punctuated<T,P>::parse_terminated_with
     550 (0.3%)    11 (0.1%)  alloc::collections::vec_deque::VecDeque<T,A>::push_back
     547 (0.3%)     1 (0.0%)  <snafu_derive::shared::display::Display as quote::to_tokens::ToTokens>::to_tokens
     546 (0.3%)    21 (0.3%)  quote::to_tokens::ToTokens::to_token_stream
     540 (0.2%)    12 (0.2%)  snafu_derive::field_container::{{closure}}
     526 (0.2%)     1 (0.0%)  <snafu_derive::shared::error_compat::ErrorCompat as quote::to_tokens::ToTokens>::to_tokens
     524 (0.2%)    48 (0.6%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     520 (0.2%)     1 (0.0%)  snafu_derive::shared::context_selector::ContextSelector::generate_type
     511 (0.2%)    12 (0.2%)  core::option::Option<T>::ok_or
     506 (0.2%)    48 (0.6%)  core::ops::function::FnOnce::call_once
     506 (0.2%)    11 (0.1%)  alloc::collections::vec_deque::VecDeque<T,A>::handle_capacity_increase
     505 (0.2%)    21 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     479 (0.2%)     1 (0.0%)  <snafu_derive::shared::error_compat::ErrorCompatBacktraceMatchArm as quote::to_tokens::ToTokens>::to_tokens
     471 (0.2%)     1 (0.0%)  <snafu_derive::ContextSelector as quote::to_tokens::ToTokens>::to_tokens
     471 (0.2%)     1 (0.0%)  <snafu_derive::parse::ContextArg as syn::parse::Parse>::parse
