  Lines         Copies       Function name
  -----         ------       -------------
  45006 (100%)  2019 (100%)  (TOTAL)
   4519 (10.0%)    1 (0.0%)  stdweb_derive::derive_reference_type
   1596 (3.5%)    28 (1.4%)  alloc::alloc::box_free
   1334 (3.0%)    23 (1.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
    834 (1.9%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    744 (1.7%)    24 (1.2%)  core::ptr::metadata::from_raw_parts_mut
    712 (1.6%)     1 (0.0%)  alloc::str::join_generic_copy
    667 (1.5%)    23 (1.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    613 (1.4%)    15 (0.7%)  core::option::Option<T>::map
    600 (1.3%)    13 (0.6%)  core::mem::replace
    574 (1.3%)    14 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    568 (1.3%)     4 (0.2%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    560 (1.2%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    539 (1.2%)     2 (0.1%)  stdweb_derive::derive_reference_type::{{closure}}
    378 (0.8%)     6 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    363 (0.8%)     3 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    357 (0.8%)    18 (0.9%)  core::ptr::read
    345 (0.8%)     3 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
    345 (0.8%)     3 (0.1%)  core::iter::traits::iterator::Iterator::advance_by
    333 (0.7%)     8 (0.4%)  core::slice::iter::Iter<T>::new
    317 (0.7%)    50 (2.5%)  core::ptr::unique::Unique<T>::cast
    310 (0.7%)    10 (0.5%)  core::ptr::metadata::from_raw_parts
    306 (0.7%)     6 (0.3%)  core::alloc::layout::Layout::array
    301 (0.7%)     7 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    297 (0.7%)     4 (0.2%)  std::thread::local::LocalKey<T>::try_with
    296 (0.7%)     5 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    294 (0.7%)     7 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
