  Lines          Copies       Function name
  -----          ------       -------------
  219796 (100%)  4575 (100%)  (TOTAL)
    8439 (3.8%)   293 (6.4%)  <&T as core::fmt::Debug>::fmt
    2926 (1.3%)     1 (0.0%)  miniz_oxide::inflate::core::decompress
    2783 (1.3%)     5 (0.1%)  alloc::slice::merge_sort
    1980 (0.9%)     1 (0.0%)  addr2line::ResDwarf<R>::parse
    1857 (0.8%)     3 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    1737 (0.8%)     1 (0.0%)  miniz_oxide::deflate::core::compress_inner
    1607 (0.7%)     1 (0.0%)  gimli::read::unit::parse_attribute
    1577 (0.7%)     1 (0.0%)  core::num::flt2dec::strategy::dragon::format_shortest
    1380 (0.6%)     1 (0.0%)  std::backtrace_rs::symbolize::gimli::resolve
    1336 (0.6%)    10 (0.2%)  core::num::from_str_radix
    1303 (0.6%)     1 (0.0%)  core::num::flt2dec::strategy::dragon::format_exact
    1189 (0.5%)     3 (0.1%)  addr2line::lazy::LazyCell<T>::borrow_with
    1176 (0.5%)     1 (0.0%)  miniz_oxide::deflate::core::compress_block
    1113 (0.5%)     1 (0.0%)  miniz_oxide::deflate::core::HuffmanOxide::optimize_table
    1084 (0.5%)    16 (0.3%)  alloc::raw_vec::RawVec<T,A>::reserve_for_push
    1075 (0.5%)     1 (0.0%)  std::sys::unix::process::process_inner::<impl std::sys::unix::process::process_common::Command>::spawn
    1019 (0.5%)     5 (0.1%)  std::io::default_read_to_end
     982 (0.4%)    15 (0.3%)  core::array::<impl core::fmt::Debug for [T; N]>::fmt
     951 (0.4%)     1 (0.0%)  gimli::read::line::DebugLine<R>::program
     936 (0.4%)     1 (0.0%)  core::slice::sort::recurse
     935 (0.4%)     2 (0.0%)  alloc::collections::btree::remove::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::KV>>::remove_leaf_kv
     902 (0.4%)     1 (0.0%)  gimli::read::unit::Attribute<R>::value
     850 (0.4%)     3 (0.1%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::ops::drop::Drop>::drop
     849 (0.4%)     1 (0.0%)  gimli::read::line::parse_attribute
     796 (0.4%)     1 (0.0%)  miniz_oxide::deflate::core::flush_block
     771 (0.4%)     6 (0.1%)  rustc_demangle::v0::Printer::print_sep_list
     719 (0.3%)     1 (0.0%)  addr2line::function::Function<R>::parse_children
     716 (0.3%)     2 (0.0%)  alloc::collections::btree::node::BalancingContext<K,V>::merge_tracking_child_edge
     711 (0.3%)     2 (0.0%)  alloc::collections::btree::remove::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::remove_kv_tracking
     699 (0.3%)     1 (0.0%)  gimli::read::line::LineRows<R,Program,Offset>::next_row
     689 (0.3%)     7 (0.2%)  core::fmt::Write::write_char
     686 (0.3%)     1 (0.0%)  memchr::memmem::Searcher::find_tw
     676 (0.3%)     2 (0.0%)  alloc::collections::btree::node::BalancingContext<K,V>::merge_tracking_parent
     661 (0.3%)     1 (0.0%)  <rustc_demangle::legacy::Demangle as core::fmt::Display>::fmt
     656 (0.3%)     4 (0.1%)  std::io::Write::write_all_vectored
     647 (0.3%)     3 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert_fit
     638 (0.3%)     2 (0.0%)  alloc::collections::btree::node::BalancingContext<K,V>::bulk_steal_right
     609 (0.3%)     1 (0.0%)  addr2line::function::Functions<R>::parse
     604 (0.3%)    23 (0.5%)  core::fmt::builders::DebugList::entries
     591 (0.3%)     1 (0.0%)  std::net::parser::Parser::read_number
     587 (0.3%)     1 (0.0%)  gimli::read::rnglists::RngListIter<R>::next
     582 (0.3%)     1 (0.0%)  <core::core_arch::simd::i8x64 as core::fmt::Debug>::fmt
     582 (0.3%)     1 (0.0%)  <core::core_arch::simd::u8x64 as core::fmt::Debug>::fmt
     574 (0.3%)     1 (0.0%)  rustc_demangle::v0::Printer::print_path
     571 (0.3%)     4 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     564 (0.3%)     1 (0.0%)  addr2line::Context<R>::find_frames
     559 (0.3%)     1 (0.0%)  <std::net::ip::Ipv6Addr as core::fmt::Display>::fmt
     556 (0.3%)    14 (0.3%)  std::sys::unix::cvt_r
     550 (0.3%)    11 (0.2%)  core::ptr::drop_in_place<std::io::error::Error>
     549 (0.2%)     1 (0.0%)  std::backtrace_rs::symbolize::gimli::elf::<impl std::backtrace_rs::symbolize::gimli::Mapping>::new_debug
     523 (0.2%)     4 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
     523 (0.2%)     1 (0.0%)  rustc_demangle::v0::Printer::print_const
     519 (0.2%)     8 (0.2%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
     514 (0.2%)     2 (0.0%)  addr2line::RangeAttributes<R>::for_each_range
     502 (0.2%)     2 (0.0%)  alloc::collections::btree::node::BalancingContext<K,V>::bulk_steal_left
     480 (0.2%)     1 (0.0%)  <memchr::memmem::FindRevIter as core::iter::traits::iterator::Iterator>::next
     472 (0.2%)     2 (0.0%)  core::num::flt2dec::to_exact_fixed_str
     470 (0.2%)     1 (0.0%)  miniz_oxide::inflate::core::init_tree
     467 (0.2%)     1 (0.0%)  <std::error::Report as core::fmt::Display>::fmt
     457 (0.2%)     1 (0.0%)  std::sync::once::Once::call_inner
     456 (0.2%)     1 (0.0%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::try_fold
     454 (0.2%)    12 (0.3%)  <&mut W as core::fmt::Write>::write_char
