  Lines        Copies      Function name
  -----        ------      -------------
  7081 (100%)  363 (100%)  (TOTAL)
   340 (4.8%)    1 (0.3%)  string_cache::dynamic_set::Set::insert
   321 (4.5%)    8 (2.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   291 (4.1%)    5 (1.4%)  alloc::alloc::box_free
   280 (4.0%)    2 (0.6%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   228 (3.2%)    5 (1.4%)  core::mem::replace
   198 (2.8%)    4 (1.1%)  core::result::Result<T,E>::map_err
   157 (2.2%)    1 (0.3%)  alloc::alloc::Global::grow_impl
   156 (2.2%)    1 (0.3%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   154 (2.2%)    1 (0.3%)  alloc::raw_vec::finish_grow
   147 (2.1%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::shrink
   144 (2.0%)    2 (0.6%)  alloc::boxed::Box<T,A>::into_unique
   142 (2.0%)    4 (1.1%)  alloc::boxed::Box<T,A>::from_raw_in
   139 (2.0%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   126 (1.8%)    7 (1.9%)  core::ptr::read
   122 (1.7%)    1 (0.3%)  alloc::vec::Vec<T,A>::extend_with
   116 (1.6%)    6 (1.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   116 (1.6%)    2 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
   105 (1.5%)    3 (0.8%)  core::option::Option<T>::ok_or
   102 (1.4%)    2 (0.6%)  core::alloc::layout::Layout::array
    93 (1.3%)    3 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    89 (1.3%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    88 (1.2%)    2 (0.6%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    88 (1.2%)    1 (0.3%)  alloc::vec::Vec<T,A>::into_boxed_slice
    84 (1.2%)    1 (0.3%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    77 (1.1%)    1 (0.3%)  core::ptr::drop_in_place<[core::option::Option<alloc::boxed::Box<string_cache::dynamic_set::Entry>>; 4096]>
    76 (1.1%)    1 (0.3%)  core::cmp::max_by
    70 (1.0%)    2 (0.6%)  alloc::raw_vec::RawVec<T,A>::new_in
    64 (0.9%)    5 (1.4%)  core::mem::manually_drop::ManuallyDrop<T>::new
    60 (0.8%)    1 (0.3%)  std::sync::once::Once::call_once
    59 (0.8%)    3 (0.8%)  core::ops::function::FnOnce::call_once
    59 (0.8%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::into_box
    58 (0.8%)    2 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    56 (0.8%)    1 (0.3%)  string_cache::dynamic_set::Set::remove
    52 (0.7%)    6 (1.7%)  core::ptr::unique::Unique<T>::new_unchecked
    50 (0.7%)    1 (0.3%)  core::fmt::Arguments::new_v1
    49 (0.7%)    1 (0.3%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    47 (0.7%)    7 (1.9%)  core::ptr::unique::Unique<T>::cast
    44 (0.6%)    7 (1.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    44 (0.6%)    2 (0.6%)  alloc::boxed::Box<T,A>::leak
    44 (0.6%)    1 (0.3%)  <string_cache::dynamic_set::DYNAMIC_SET as core::ops::deref::Deref>::deref::__static_ref_initialize
    43 (0.6%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    41 (0.6%)    5 (1.4%)  core::ptr::unique::Unique<T>::as_ref
    41 (0.6%)    1 (0.3%)  core::cell::Cell<T>::replace
    39 (0.6%)    1 (0.3%)  alloc::raw_vec::handle_reserve
    36 (0.5%)    2 (0.6%)  alloc::raw_vec::finish_grow::{{closure}}
    36 (0.5%)    1 (0.3%)  core::sync::atomic::atomic_load
    35 (0.5%)    1 (0.3%)  <alloc::borrow::Cow<B> as core::ops::deref::Deref>::deref
    34 (0.5%)    1 (0.3%)  core::num::<impl usize>::overflowing_add
    34 (0.5%)    1 (0.3%)  core::num::<impl usize>::overflowing_mul
    34 (0.5%)    1 (0.3%)  lazy_static::lazy::Lazy<T>::get::{{closure}}
    33 (0.5%)    3 (0.8%)  core::option::Option<T>::take
    32 (0.5%)    1 (0.3%)  core::num::<impl usize>::checked_add
    32 (0.5%)    1 (0.3%)  core::num::<impl usize>::checked_mul
    31 (0.4%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<[core::option::Option<alloc::boxed::Box<string_cache::dynamic_set::Entry>>; 4096]>>
    31 (0.4%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<string_cache::dynamic_set::Entry>>
    31 (0.4%)    1 (0.3%)  core::ptr::metadata::from_raw_parts
    30 (0.4%)    7 (1.9%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    30 (0.4%)    1 (0.3%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
