  Lines         Copies       Function name
  -----         ------       -------------
  41716 (100%)  1760 (100%)  (TOTAL)
   2116 (5.1%)     1 (0.1%)  string_cache_codegen::AtomType::to_tokens
   1668 (4.0%)    12 (0.7%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   1400 (3.4%)    10 (0.6%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    812 (1.9%)    14 (0.8%)  alloc::raw_vec::RawVec<T,A>::current_memory
    664 (1.6%)     1 (0.1%)  phf_generator::try_generate_hash
    626 (1.5%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next
    622 (1.5%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next_back
    612 (1.5%)    12 (0.7%)  core::alloc::layout::Layout::array
    585 (1.4%)     7 (0.4%)  core::iter::traits::iterator::Iterator::fold
    571 (1.4%)     7 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    571 (1.4%)     7 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    570 (1.4%)    13 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    441 (1.1%)     1 (0.1%)  alloc::slice::merge_sort
    434 (1.0%)    14 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    406 (1.0%)    14 (0.8%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    386 (0.9%)     3 (0.2%)  alloc::vec::Vec<T,A>::extend_with
    365 (0.9%)     6 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    356 (0.9%)     8 (0.5%)  core::mem::replace
    354 (0.8%)     6 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    350 (0.8%)    10 (0.6%)  alloc::raw_vec::RawVec<T,A>::new_in
    341 (0.8%)    11 (0.6%)  core::ptr::metadata::from_raw_parts
    335 (0.8%)     8 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    331 (0.8%)     8 (0.5%)  core::slice::iter::Iter<T>::new
    328 (0.8%)     8 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    311 (0.7%)     6 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    289 (0.7%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    289 (0.7%)     1 (0.1%)  <siphasher::sip128::Sip13Rounds as siphasher::sip128::Sip>::d_rounds
    282 (0.7%)    14 (0.8%)  core::ptr::read
    255 (0.6%)     5 (0.3%)  alloc::vec::Vec<T,A>::push
    243 (0.6%)    11 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    241 (0.6%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    230 (0.6%)     1 (0.1%)  alloc::slice::merge_sort::collapse
    228 (0.5%)     1 (0.1%)  core::array::<impl core::default::Default for [T; _]>::default
    227 (0.5%)     1 (0.1%)  alloc::slice::merge
    224 (0.5%)     6 (0.3%)  string_cache_codegen::AtomType::to_tokens::{{closure}}
    211 (0.5%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    211 (0.5%)     1 (0.1%)  alloc::slice::insert_head
    204 (0.5%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::ReverseSearcher>::next_back
    197 (0.5%)     3 (0.2%)  alloc::alloc::box_free
    196 (0.5%)     3 (0.2%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    191 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    188 (0.5%)     1 (0.1%)  std::io::buffered::bufwriter::BufWriter<W>::flush_buf
    187 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    186 (0.4%)     1 (0.1%)  std::io::Write::write_all
    184 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    181 (0.4%)     4 (0.2%)  core::result::Result<T,E>::map_err
    174 (0.4%)     4 (0.2%)  core::option::Option<T>::map
    174 (0.4%)     2 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    167 (0.4%)     1 (0.1%)  string_cache_codegen::AtomType::write_to
    165 (0.4%)     5 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    165 (0.4%)     5 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
