  Lines         Copies       Function name
  -----         ------       -------------
  53981 (100%)  1988 (100%)  (TOTAL)
   3276 (6.1%)     1 (0.1%)  term::terminfo::parm::expand
   1943 (3.6%)     1 (0.1%)  term::terminfo::parser::compiled::parse
   1180 (2.2%)    24 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    799 (1.5%)     1 (0.1%)  term::terminfo::parm::format
    793 (1.5%)    11 (0.6%)  core::result::Result<T,E>::map
    695 (1.3%)     5 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    686 (1.3%)     1 (0.1%)  term::terminfo::searcher::get_dbpath_for_term
    572 (1.1%)     1 (0.1%)  core::array::<impl core::default::Default for [T; _]>::default
    530 (1.0%)     6 (0.3%)  term::terminfo::parser::compiled::parse::{{closure}}
    530 (1.0%)     4 (0.2%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold::{{closure}}
    496 (0.9%)    18 (0.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    456 (0.8%)     5 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
    450 (0.8%)    10 (0.5%)  core::mem::replace
    420 (0.8%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    414 (0.8%)     4 (0.2%)  core::iter::adapters::process_results
    379 (0.7%)     3 (0.2%)  hashbrown::map::HashMap<K,V,S,A>::insert
    374 (0.7%)     6 (0.3%)  alloc::alloc::box_free
    372 (0.7%)     2 (0.1%)  std::io::Write::write_all
    362 (0.7%)     1 (0.1%)  term::terminfo::TermInfo::from_name
    342 (0.6%)     2 (0.1%)  std::io::Write::write_all_vectored
    341 (0.6%)     1 (0.1%)  std::io::default_read_to_end
    333 (0.6%)     6 (0.3%)  core::result::Result<T,E>::map_err
    326 (0.6%)    13 (0.7%)  core::ops::function::FnOnce::call_once
    317 (0.6%)     6 (0.3%)  core::option::Option<T>::map
    316 (0.6%)     3 (0.2%)  hashbrown::raw::RawTable<T,A>::insert
    306 (0.6%)     5 (0.3%)  hashbrown::raw::RawTable<T,A>::find
    296 (0.5%)     3 (0.2%)  core::fmt::builders::DebugMap::entries
    292 (0.5%)    15 (0.8%)  core::ptr::read
    291 (0.5%)     7 (0.4%)  core::slice::iter::Iter<T>::new
    290 (0.5%)     5 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    289 (0.5%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    284 (0.5%)     2 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    283 (0.5%)     3 (0.2%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::Extend<(K,V)>>::extend
    282 (0.5%)     4 (0.2%)  core::option::Option<T>::map_or
    267 (0.5%)     1 (0.1%)  term::terminfo::TermInfo::reset
    259 (0.5%)     3 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    255 (0.5%)     6 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    255 (0.5%)     5 (0.3%)  core::alloc::layout::Layout::array
    251 (0.5%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    248 (0.5%)     6 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    241 (0.4%)     1 (0.1%)  <std::io::Take<T> as std::io::Read>::read_buf
    241 (0.4%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    228 (0.4%)     2 (0.1%)  std::io::Write::write_fmt
    228 (0.4%)     1 (0.1%)  term::terminfo::TermInfo::apply_cap
    226 (0.4%)     1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    217 (0.4%)     7 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    212 (0.4%)     2 (0.1%)  core::iter::adapters::filter_map::filter_map_try_fold::{{closure}}
    207 (0.4%)     3 (0.2%)  hashbrown::raw::RawTable<T,A>::drop_elements
    204 (0.4%)     3 (0.2%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
    203 (0.4%)     1 (0.1%)  <std::io::buffered::bufreader::BufReader<R> as std::io::Read>::read_buf
    200 (0.4%)     1 (0.1%)  std::io::default_read_exact
    196 (0.4%)     4 (0.2%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::size_hint
    192 (0.4%)     2 (0.1%)  <std::io::Write::write_fmt::Adapter<T> as core::fmt::Write>::write_str
    191 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    189 (0.4%)     3 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    188 (0.3%)     4 (0.2%)  core::option::Option<T>::and_then
    187 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    184 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    182 (0.3%)     2 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    182 (0.3%)     1 (0.1%)  <std::io::buffered::bufreader::BufReader<R> as std::io::Read>::read_to_string
    181 (0.3%)     4 (0.2%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold
    180 (0.3%)     3 (0.2%)  hashbrown::raw::RawTable<T,A>::reserve_rehash
    171 (0.3%)     3 (0.2%)  <hashbrown::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
    171 (0.3%)     3 (0.2%)  alloc::vec::Vec<T,A>::push
    169 (0.3%)     1 (0.1%)  <term::Attr as core::fmt::Debug>::fmt
    167 (0.3%)     1 (0.1%)  std::io::Read::read_buf_exact
    166 (0.3%)     4 (0.2%)  core::iter::traits::iterator::Iterator::for_each
    163 (0.3%)     3 (0.2%)  <std::collections::hash::map::HashMap<K,V,S> as core::iter::traits::collect::FromIterator<(K,V)>>::from_iter
    161 (0.3%)     1 (0.1%)  <std::io::buffered::bufreader::BufReader<R> as std::io::Read>::read_vectored
    159 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    157 (0.3%)     2 (0.1%)  core::cell::RefCell<T>::try_borrow_mut
    157 (0.3%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.3%)     3 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    155 (0.3%)     5 (0.3%)  core::fmt::ArgumentV1::new
    154 (0.3%)     1 (0.1%)  alloc::raw_vec::finish_grow
    153 (0.3%)     3 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    152 (0.3%)     2 (0.1%)  core::cmp::min_by
    151 (0.3%)     2 (0.1%)  core::fmt::builders::DebugList::entries
    150 (0.3%)     1 (0.1%)  <std::io::buffered::bufreader::BufReader<R> as std::io::Read>::read
    146 (0.3%)     1 (0.1%)  <term::terminfo::parm::States as core::cmp::PartialEq>::eq
    145 (0.3%)     5 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    144 (0.3%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
    144 (0.3%)     2 (0.1%)  alloc::boxed::Box<T,A>::into_unique
    142 (0.3%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    140 (0.3%)    14 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::offset
    140 (0.3%)     5 (0.3%)  alloc::boxed::Box<T>::new
    140 (0.3%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    138 (0.3%)     2 (0.1%)  <term::terminfo::TerminfoTerminal<T> as term::Terminal>::bg
    138 (0.3%)     2 (0.1%)  <term::terminfo::TerminfoTerminal<T> as term::Terminal>::fg
    138 (0.3%)     2 (0.1%)  term::terminfo::TerminfoTerminal<T>::new_with_terminfo
    137 (0.3%)     3 (0.2%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::fold
    135 (0.3%)     5 (0.3%)  hashbrown::raw::RawTable<T,A>::find::{{closure}}
    135 (0.3%)     4 (0.2%)  core::option::Option<T>::ok_or
    132 (0.2%)     1 (0.1%)  std::io::append_to_string
    131 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_resize
    130 (0.2%)     1 (0.1%)  <std::io::Bytes<R> as core::iter::traits::iterator::Iterator>::next
    129 (0.2%)     3 (0.2%)  core::result::Result<T,E>::expect
    129 (0.2%)     1 (0.1%)  <term::terminfo::parm::Error as core::fmt::Debug>::fmt
    128 (0.2%)     2 (0.1%)  core::iter::adapters::map::map_try_fold::{{closure}}
    126 (0.2%)    16 (0.8%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    126 (0.2%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::any
    126 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    125 (0.2%)     2 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    125 (0.2%)     1 (0.1%)  std::io::IoSlice::advance_slices
    124 (0.2%)     1 (0.1%)  <term::Error as core::cmp::PartialEq>::eq
    124 (0.2%)     1 (0.1%)  <term::Error as core::fmt::Debug>::fmt
    118 (0.2%)     3 (0.2%)  hashbrown::raw::Bucket<T>::write
    118 (0.2%)     2 (0.1%)  std::io::default_write_vectored
    117 (0.2%)     3 (0.2%)  core::result::Result<T,E>::ok
    117 (0.2%)     1 (0.1%)  <std::io::buffered::bufreader::BufReader<R> as std::io::BufRead>::fill_buf
    117 (0.2%)     1 (0.1%)  std::io::impls::<impl std::io::Read for &[u8]>::read_vectored
    116 (0.2%)     3 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    116 (0.2%)     1 (0.1%)  core::slice::<impl [T]>::binary_search_by
    116 (0.2%)     1 (0.1%)  term::terminfo::TermInfo::_from_path
    114 (0.2%)     3 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
    112 (0.2%)     2 (0.1%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    111 (0.2%)     3 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
    111 (0.2%)     3 (0.2%)  hashbrown::map::HashMap<K,V,S>::with_hasher
    110 (0.2%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    109 (0.2%)     1 (0.1%)  alloc::string::String::from_utf8
    108 (0.2%)     2 (0.1%)  <term::terminfo::TerminfoTerminal<T> as term::Terminal>::supports_attr
    108 (0.2%)     1 (0.1%)  core::hash::sip::u8to64_le
    108 (0.2%)     1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    106 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place
    105 (0.2%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
    104 (0.2%)     1 (0.1%)  <term::terminfo::Error as core::fmt::Debug>::fmt
    104 (0.2%)     1 (0.1%)  term::terminfo::cap_for_attr
    103 (0.2%)     1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
    101 (0.2%)     1 (0.1%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::size_hint
    100 (0.2%)    19 (1.0%)  core::ptr::write
    100 (0.2%)    10 (0.5%)  core::ptr::const_ptr::<impl *const T>::offset
     99 (0.2%)     9 (0.5%)  core::iter::traits::iterator::Iterator::collect
     99 (0.2%)     3 (0.2%)  hashbrown::raw::RawTable<T,A>::get_mut
     99 (0.2%)     3 (0.2%)  hashbrown::raw::RawTable<T,A>::reserve
     99 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place::{{closure}}
     98 (0.2%)     2 (0.1%)  term::terminfo::TerminfoTerminal<T>::new
     97 (0.2%)     3 (0.2%)  core::cell::Cell<T>::replace
     97 (0.2%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
     96 (0.2%)     3 (0.2%)  core::ptr::const_ptr::<impl *const T>::offset_from
     96 (0.2%)     3 (0.2%)  hashbrown::raw::Bucket<T>::next_n
     96 (0.2%)     2 (0.1%)  <term::terminfo::TerminfoTerminal<T> as term::Terminal>::attr
     96 (0.2%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find_map
     96 (0.2%)     1 (0.1%)  core::str::validations::next_code_point
     94 (0.2%)    25 (1.3%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     93 (0.2%)     3 (0.2%)  core::ptr::metadata::from_raw_parts
     93 (0.2%)     2 (0.1%)  core::hash::BuildHasher::hash_one
     92 (0.2%)     8 (0.4%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
     92 (0.2%)     1 (0.1%)  <term::terminfo::parm::Flags as core::cmp::PartialEq>::eq
     92 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_insert_slot
     90 (0.2%)     7 (0.4%)  core::mem::manually_drop::ManuallyDrop<T>::new
     90 (0.2%)     3 (0.2%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::next
     90 (0.2%)     3 (0.2%)  std::path::PathBuf::push
     90 (0.2%)     1 (0.1%)  core::iter::adapters::filter::filter_try_fold::{{closure}}
     89 (0.2%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     88 (0.2%)     2 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     88 (0.2%)     1 (0.1%)  <term::terminfo::Error as core::fmt::Display>::fmt
     87 (0.2%)     3 (0.2%)  hashbrown::raw::RawTable<T,A>::iter
     87 (0.2%)     1 (0.1%)  <term::terminfo::parm::Error as core::cmp::PartialEq>::eq
     86 (0.2%)     1 (0.1%)  <std::io::Take<T> as std::io::Read>::read
     84 (0.2%)     7 (0.4%)  core::any::TypeId::of
     84 (0.2%)     3 (0.2%)  <std::collections::hash::map::HashMap<K,V,S> as core::fmt::Debug>::fmt
     84 (0.2%)     2 (0.1%)  core::slice::iter::IterMut<T>::new
     83 (0.2%)     1 (0.1%)  core::iter::traits::iterator::Iterator::fold
     82 (0.2%)     3 (0.2%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     82 (0.2%)     2 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     82 (0.2%)     1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     81 (0.2%)     3 (0.2%)  hashbrown::raw::Bucket<T>::from_base_index
