  Lines         Copies      Function name
  -----         ------      -------------
  21293 (100%)  854 (100%)  (TOTAL)
    741 (3.5%)   13 (1.5%)  alloc::alloc::box_free
    495 (2.3%)    9 (1.1%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    460 (2.2%)    1 (0.1%)  <std::sync::mpsc::Sender<T> as core::clone::Clone>::clone
    427 (2.0%)    1 (0.1%)  std::thread::Builder::spawn_unchecked_
    392 (1.8%)    4 (0.5%)  alloc::sync::Arc<T>::new
    390 (1.8%)    1 (0.1%)  threadpool::Builder::build
    378 (1.8%)    9 (1.1%)  alloc::sync::Weak<T>::inner
    372 (1.7%)    2 (0.2%)  core::sync::atomic::atomic_compare_exchange
    356 (1.7%)    7 (0.8%)  core::mem::replace
    340 (1.6%)    1 (0.1%)  std::sync::mpsc::stream::Packet<T>::abort_selection
    332 (1.6%)    1 (0.1%)  std::sync::mpsc::shared::Packet<T>::try_recv
    323 (1.5%)    1 (0.1%)  std::sync::mpsc::sync::Packet<T>::drop_port
    307 (1.4%)    1 (0.1%)  std::sync::mpsc::stream::Packet<T>::try_recv
    293 (1.4%)    1 (0.1%)  std::sync::mpsc::Receiver<T>::recv
    285 (1.3%)    1 (0.1%)  std::sync::mpsc::sync::Packet<T>::wakeup_senders
    274 (1.3%)    1 (0.1%)  std::sync::mpsc::stream::Packet<T>::recv
    254 (1.2%)    1 (0.1%)  std::sync::mpsc::sync::Packet<T>::recv
    245 (1.2%)   12 (1.4%)  core::ptr::read
    234 (1.1%)    3 (0.4%)  std::sync::poison::map_result
    233 (1.1%)    5 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    216 (1.0%)    9 (1.1%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    216 (1.0%)    9 (1.1%)  core::alloc::layout::Layout::for_value_raw
    204 (1.0%)    1 (0.1%)  std::sync::mpsc::shared::Packet<T>::inherit_blocker
    203 (1.0%)    1 (0.1%)  threadpool::spawn_in_pool::{{closure}}
    194 (0.9%)    1 (0.1%)  threadpool::spawn_in_pool
    193 (0.9%)    2 (0.2%)  std::thread::Builder::spawn_unchecked_::{{closure}}
    193 (0.9%)    1 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::try_recv
    192 (0.9%)    5 (0.6%)  core::sync::atomic::atomic_load
    188 (0.9%)    1 (0.1%)  std::sync::mpsc::shared::Packet<T>::recv
    177 (0.8%)    1 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::recv
    171 (0.8%)    3 (0.4%)  core::result::Result<T,E>::map_err
    169 (0.8%)    1 (0.1%)  std::sync::mpsc::sync::wait_timeout_receiver
    166 (0.8%)    1 (0.1%)  std::sync::mpsc::shared::Packet<T>::abort_selection
    166 (0.8%)    1 (0.1%)  std::sync::mpsc::spsc_queue::Queue<T,ProducerAddition,ConsumerAddition>::pop
    164 (0.8%)    5 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    159 (0.7%)    3 (0.4%)  core::result::Result<T,E>::expect
    157 (0.7%)    2 (0.2%)  std::sync::mutex::Mutex<T>::new
    157 (0.7%)    1 (0.1%)  std::sync::mpsc::shared::Packet<T>::new
    156 (0.7%)    3 (0.4%)  core::result::Result<T,E>::unwrap
    156 (0.7%)    1 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::abort_selection
    150 (0.7%)    1 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::upgrade
    148 (0.7%)    3 (0.4%)  core::ptr::swap_nonoverlapping_one
    139 (0.7%)    1 (0.1%)  std::sync::mpsc::stream::Packet<T>::decrement
