  Lines         Copies       Function name
  -----         ------       -------------
  38826 (100%)  1580 (100%)  (TOTAL)
   1400 (3.6%)    10 (0.6%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   1368 (3.5%)     8 (0.5%)  tiff::decoder::rev_hpredict_nsamp
   1251 (3.2%)     9 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   1036 (2.7%)    18 (1.1%)  alloc::alloc::box_free
    976 (2.5%)     8 (0.5%)  alloc::vec::Vec<T,A>::extend_with
    914 (2.4%)    21 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    904 (2.3%)    12 (0.8%)  core::fmt::builders::DebugList::entries
    672 (1.7%)     8 (0.5%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    658 (1.7%)     1 (0.1%)  tiff::decoder::ifd::Value::into_u32_vec
    641 (1.7%)     1 (0.1%)  tiff::decoder::ifd::Value::into_i32_vec
    638 (1.6%)    11 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
    595 (1.5%)     1 (0.1%)  tiff::decoder::rev_hpredict
    589 (1.5%)    19 (1.2%)  core::fmt::ArgumentV1::new
    576 (1.5%)     8 (0.5%)  alloc::boxed::Box<T,A>::into_unique
    550 (1.4%)     1 (0.1%)  tiff::decoder::ifd::Value::into_u64_vec
    543 (1.4%)    22 (1.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    510 (1.3%)    10 (0.6%)  core::alloc::layout::Layout::array
    507 (1.3%)     1 (0.1%)  tiff::decoder::ifd::Value::into_i64_vec
    492 (1.3%)    12 (0.8%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    492 (1.3%)    12 (0.8%)  core::slice::iter::Iter<T>::new
    484 (1.2%)    12 (0.8%)  core::slice::iter::Iter<T>::post_inc_start
    484 (1.2%)     1 (0.1%)  <tiff::error::TiffFormatError as core::fmt::Display>::fmt
    476 (1.2%)     1 (0.1%)  <tiff::decoder::ifd::Value as core::fmt::Debug>::fmt
    408 (1.1%)     8 (0.5%)  alloc::vec::Vec<T,A>::push
    400 (1.0%)     8 (0.5%)  alloc::slice::hack::into_vec
    372 (1.0%)    12 (0.8%)  core::ptr::metadata::from_raw_parts
    370 (1.0%)    10 (0.6%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
    355 (0.9%)     1 (0.1%)  <tiff::error::TiffUnsupportedError as core::fmt::Display>::fmt
    353 (0.9%)     1 (0.1%)  <tiff::error::TiffFormatError as core::fmt::Debug>::fmt
    352 (0.9%)     8 (0.5%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    350 (0.9%)    10 (0.6%)  alloc::raw_vec::RawVec<T,A>::new_in
    347 (0.9%)     1 (0.1%)  tiff::decoder::ifd::Value::into_u8_vec
    346 (0.9%)     1 (0.1%)  tiff::decoder::ifd::Value::into_f32_vec
    346 (0.9%)     1 (0.1%)  tiff::decoder::ifd::Value::into_u16_vec
    345 (0.9%)     1 (0.1%)  tiff::decoder::ifd::Value::into_f64_vec
    341 (0.9%)    11 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    319 (0.8%)    11 (0.7%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    315 (0.8%)     9 (0.6%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    309 (0.8%)     1 (0.1%)  <tiff::tags::Tag as core::fmt::Debug>::fmt
    300 (0.8%)    12 (0.8%)  <[T] as core::fmt::Debug>::fmt
    269 (0.7%)     2 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    268 (0.7%)     1 (0.1%)  <tiff::decoder::DecodingResult as core::fmt::Debug>::fmt
    252 (0.6%)     1 (0.1%)  <tiff::error::TiffUnsupportedError as core::fmt::Debug>::fmt
    226 (0.6%)     1 (0.1%)  tiff::decoder::DecodingResult::as_buffer
    220 (0.6%)    10 (0.6%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    196 (0.5%)     1 (0.1%)  tiff::decoder::DecodingBuffer::subrange
    190 (0.5%)    29 (1.8%)  core::ptr::unique::Unique<T>::cast
    179 (0.5%)     1 (0.1%)  tiff::decoder::ifd::Value::into_u32
    176 (0.5%)     8 (0.5%)  alloc::boxed::Box<T,A>::leak
    175 (0.5%)     2 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    169 (0.4%)     1 (0.1%)  <tiff::ColorType as core::fmt::Debug>::fmt
    167 (0.4%)    41 (2.6%)  <&T as core::fmt::Debug>::fmt
    160 (0.4%)     1 (0.1%)  tiff::decoder::ifd::Value::into_u16
