  Lines          Copies       Function name
  -----          ------       -------------
  108810 (100%)  1021 (100%)  (TOTAL)
    9395 (8.6%)     1 (0.1%)  time_macros::format_description::modifier::Modifiers::parse
    4504 (4.1%)     1 (0.1%)  <time_macros::format_description::component::Component as time_macros::to_tokens::ToTokens>::into_token_stream
    3472 (3.2%)     1 (0.1%)  <time_macros::format_description::modifier::Year as time_macros::to_tokens::ToTokens>::into_token_stream
    3061 (2.8%)     1 (0.1%)  <time_macros::format_description::modifier::Weekday as time_macros::to_tokens::ToTokens>::into_token_stream
    3060 (2.8%)     1 (0.1%)  <time_macros::format_description::modifier::Month as time_macros::to_tokens::ToTokens>::into_token_stream
    2790 (2.6%)     1 (0.1%)  <time_macros::datetime::DateTime as time_macros::to_tokens::ToTokens>::into_token_stream
    2635 (2.4%)     1 (0.1%)  <time_macros::format_description::modifier::Hour as time_macros::to_tokens::ToTokens>::into_token_stream
    2635 (2.4%)     1 (0.1%)  <time_macros::format_description::modifier::OffsetHour as time_macros::to_tokens::ToTokens>::into_token_stream
    2635 (2.4%)     1 (0.1%)  <time_macros::format_description::modifier::Period as time_macros::to_tokens::ToTokens>::into_token_stream
    2635 (2.4%)     1 (0.1%)  <time_macros::format_description::modifier::WeekNumber as time_macros::to_tokens::ToTokens>::into_token_stream
    2295 (2.1%)     1 (0.1%)  <time_macros::time::Time as time_macros::to_tokens::ToTokens>::into_token_stream
    2285 (2.1%)     1 (0.1%)  time_macros::format_description
    2227 (2.0%)     1 (0.1%)  <time_macros::format_description::modifier::Day as time_macros::to_tokens::ToTokens>::into_token_stream
    2227 (2.0%)     1 (0.1%)  <time_macros::format_description::modifier::Minute as time_macros::to_tokens::ToTokens>::into_token_stream
    2227 (2.0%)     1 (0.1%)  <time_macros::format_description::modifier::OffsetMinute as time_macros::to_tokens::ToTokens>::into_token_stream
    2227 (2.0%)     1 (0.1%)  <time_macros::format_description::modifier::OffsetSecond as time_macros::to_tokens::ToTokens>::into_token_stream
    2227 (2.0%)     1 (0.1%)  <time_macros::format_description::modifier::Ordinal as time_macros::to_tokens::ToTokens>::into_token_stream
    2227 (2.0%)     1 (0.1%)  <time_macros::format_description::modifier::Second as time_macros::to_tokens::ToTokens>::into_token_stream
    2227 (2.0%)     1 (0.1%)  <time_macros::format_description::modifier::Subsecond as time_macros::to_tokens::ToTokens>::into_token_stream
    2192 (2.0%)     5 (0.5%)  time_macros::helpers::consume_number
    2191 (2.0%)     1 (0.1%)  <time_macros::offset::Offset as time_macros::to_tokens::ToTokens>::into_token_stream
