  Lines          Copies       Function name
  -----          ------       -------------
  136566 (100%)  4111 (100%)  (TOTAL)
    2822 (2.1%)     3 (0.1%)  tiny_http::response::Response<R>::raw_print
    2728 (2.0%)     8 (0.2%)  std::io::default_read_to_end
    2244 (1.6%)    12 (0.3%)  time::formatting::format_number_pad_zero
    1851 (1.4%)    33 (0.8%)  alloc::alloc::box_free
    1719 (1.3%)     2 (0.0%)  tiny_http::request::new_request
    1336 (1.0%)    27 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1336 (1.0%)     8 (0.2%)  std::io::Read::read_buf_exact
    1334 (1.0%)     2 (0.0%)  tiny_http::response::write_message_header
    1320 (1.0%)    24 (0.6%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    1300 (1.0%)     3 (0.1%)  std::sync::mpsc::Sender<T>::send
    1292 (0.9%)     4 (0.1%)  std::sync::mpsc::sync::Packet<T>::drop_port
    1250 (0.9%)    20 (0.5%)  core::result::Result<T,E>::map_err
    1240 (0.9%)     1 (0.0%)  time::formatting::format_component
    1239 (0.9%)    24 (0.6%)  core::mem::replace
    1200 (0.9%)     6 (0.1%)  std::io::default_read_exact
    1182 (0.9%)    12 (0.3%)  alloc::sync::Arc<T>::new
    1062 (0.8%)     2 (0.0%)  <chunked_transfer::decoder::Decoder<R> as std::io::Read>::read
    1056 (0.8%)     8 (0.2%)  std::io::append_to_string
    1027 (0.8%)    45 (1.1%)  core::ptr::read
    1020 (0.7%)     3 (0.1%)  std::sync::mpsc::stream::Packet<T>::abort_selection
    1008 (0.7%)    24 (0.6%)  alloc::sync::Weak<T>::inner
    1008 (0.7%)     2 (0.0%)  chunked_transfer::decoder::Decoder<R>::read_chunk_size
    1007 (0.7%)     3 (0.1%)  std::sync::mpsc::shared::Packet<T>::try_recv
     984 (0.7%)     4 (0.1%)  std::io::copy::stack_buffer_copy
     937 (0.7%)     3 (0.1%)  std::sync::mpsc::stream::Packet<T>::try_recv
     935 (0.7%)     5 (0.1%)  time::formatting::format_number_pad_space
     934 (0.7%)    20 (0.5%)  core::result::Result<T,E>::unwrap
     915 (0.7%)     3 (0.1%)  tiny_http::response::Response<R>::new
     909 (0.7%)     3 (0.1%)  std::sync::mpsc::Receiver<T>::recv
     875 (0.6%)    27 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     871 (0.6%)     1 (0.0%)  tiny_http::client::ClientConnection::read
     855 (0.6%)     3 (0.1%)  std::sync::mpsc::sync::Packet<T>::wakeup_senders
     852 (0.6%)     2 (0.0%)  std::thread::Builder::spawn_unchecked_
     843 (0.6%)     3 (0.1%)  std::sync::mpsc::stream::Packet<T>::recv
     840 (0.6%)     6 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     811 (0.6%)     1 (0.0%)  <tiny_http::client::ClientConnection as core::iter::traits::iterator::Iterator>::next
     804 (0.6%)    16 (0.4%)  core::option::Option<T>::map
     795 (0.6%)     3 (0.1%)  tiny_http::response::Response<R>::add_header
     792 (0.6%)    11 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
     744 (0.5%)     4 (0.1%)  std::io::Write::write_all
     744 (0.5%)     3 (0.1%)  std::sync::mpsc::sync::Packet<T>::recv
     736 (0.5%)    14 (0.3%)  core::ptr::swap_nonoverlapping_one
     677 (0.5%)     4 (0.1%)  std::sync::mpsc::spsc_queue::Queue<T,ProducerAddition,ConsumerAddition>::pop
     666 (0.5%)     6 (0.1%)  std::io::default_read_buf
     648 (0.5%)     9 (0.2%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::find
     638 (0.5%)    11 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
     632 (0.5%)     2 (0.0%)  chunked_transfer::encoder::Encoder<W>::send
     626 (0.5%)     2 (0.0%)  core::str::pattern::TwoWaySearcher::next
     624 (0.5%)     8 (0.2%)  std::sync::poison::map_result
     600 (0.4%)     8 (0.2%)  core::option::Option<T>::map_or
     598 (0.4%)     3 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::try_recv
     586 (0.4%)     3 (0.1%)  std::sync::mpsc::shared::Packet<T>::send
     583 (0.4%)    16 (0.4%)  core::result::Result<T,E>::ok
     576 (0.4%)    24 (0.6%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     576 (0.4%)    24 (0.6%)  core::alloc::layout::Layout::for_value_raw
     556 (0.4%)     4 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
     540 (0.4%)     3 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::recv
     532 (0.4%)     3 (0.1%)  std::sync::mpsc::shared::Packet<T>::recv
     523 (0.4%)     1 (0.0%)  tiny_http::Server::from_listener::{{closure}}
     514 (0.4%)    10 (0.2%)  core::option::Option<T>::and_then
     508 (0.4%)     4 (0.1%)  <std::sync::mpsc::shared::Packet<T> as core::ops::drop::Drop>::drop
     508 (0.4%)     3 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::send
     507 (0.4%)     3 (0.1%)  std::sync::mpsc::sync::wait_timeout_receiver
     498 (0.4%)     3 (0.1%)  std::sync::mpsc::shared::Packet<T>::abort_selection
     492 (0.4%)     9 (0.2%)  core::result::Result<T,E>::and_then
     468 (0.3%)     8 (0.2%)  alloc::boxed::Box<T,A>::into_unique
     468 (0.3%)     3 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::abort_selection
     465 (0.3%)    45 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     464 (0.3%)     4 (0.1%)  <std::sync::mpsc::sync::Packet<T> as core::ops::drop::Drop>::drop
     460 (0.3%)     1 (0.0%)  <std::sync::mpsc::Sender<T> as core::clone::Clone>::clone
     459 (0.3%)     3 (0.1%)  std::sync::mpsc::spsc_queue::Queue<T,ProducerAddition,ConsumerAddition>::with_additions
     450 (0.3%)     3 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::upgrade
     450 (0.3%)     1 (0.0%)  tiny_http::util::task_pool::TaskPool::add_thread::{{closure}}
     448 (0.3%)     4 (0.1%)  std::sync::mpsc::mpsc_queue::Queue<T>::pop
     444 (0.3%)    11 (0.3%)  core::sync::atomic::atomic_load
     441 (0.3%)     4 (0.1%)  <tiny_http::util::fused_reader::FusedReader<R> as std::io::Read>::read
     441 (0.3%)     4 (0.1%)  <tiny_http::util::fused_reader::FusedReader<R> as std::io::Read>::read_vectored
     441 (0.3%)     1 (0.0%)  alloc::slice::merge_sort
     437 (0.3%)     4 (0.1%)  std::sync::mpsc::stream::Packet<T>::drop_port
     434 (0.3%)    14 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     417 (0.3%)     3 (0.1%)  std::sync::mpsc::stream::Packet<T>::decrement
     414 (0.3%)     3 (0.1%)  std::sync::mpsc::shared::Packet<T>::decrement
     411 (0.3%)     1 (0.0%)  time::formatting::formattable::<impl time::formatting::formattable::sealed::Sealed for time::format_description::FormatItem>::format_into
     407 (0.3%)     1 (0.0%)  tiny_http::Server::from_listener
     406 (0.3%)     4 (0.1%)  std::sync::mpsc::shared::Packet<T>::drop_port
     402 (0.3%)     3 (0.1%)  std::sync::mpsc::sync::wait
     400 (0.3%)     2 (0.0%)  <chunked_transfer::encoder::Encoder<W> as std::io::Write>::write
     396 (0.3%)     3 (0.1%)  std::sync::mpsc::stream::Packet<T>::do_send
     392 (0.3%)     4 (0.1%)  std::thread::Builder::spawn_unchecked_::{{closure}}
     389 (0.3%)    14 (0.3%)  alloc::boxed::Box<T>::new
     382 (0.3%)     4 (0.1%)  ascii::ascii_string::AsciiString::from_ascii
