  Lines        Copies      Function name
  -----        ------      -------------
  7529 (100%)  457 (100%)  (TOTAL)
   322 (4.3%)    8 (1.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   228 (3.0%)    5 (1.1%)  core::mem::replace
   169 (2.2%)    7 (1.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   157 (2.1%)    1 (0.2%)  alloc::alloc::Global::grow_impl
   154 (2.0%)    1 (0.2%)  alloc::raw_vec::finish_grow
   152 (2.0%)    2 (0.4%)  core::cmp::min_by
   149 (2.0%)    3 (0.7%)  core::result::Result<T,E>::map_err
   140 (1.9%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   139 (1.8%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   122 (1.6%)    6 (1.3%)  core::ptr::read
   116 (1.5%)    2 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
   116 (1.5%)    1 (0.2%)  std::io::cursor::slice_write_vectored
   105 (1.4%)    3 (0.7%)  core::option::Option<T>::ok_or
   102 (1.4%)    2 (0.4%)  core::alloc::layout::Layout::array
    93 (1.2%)    3 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    89 (1.2%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    87 (1.2%)    1 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    83 (1.1%)    1 (0.2%)  core::iter::traits::iterator::Iterator::fold
    83 (1.1%)    1 (0.2%)  std::io::cursor::slice_write
    81 (1.1%)    2 (0.4%)  core::slice::iter::Iter<T>::new
    76 (1.0%)    1 (0.2%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
    76 (1.0%)    1 (0.2%)  core::cmp::max_by
    73 (1.0%)    1 (0.2%)  alloc::alloc::box_free
    72 (1.0%)    1 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    70 (0.9%)    2 (0.4%)  tokio::future::ready::ok
    68 (0.9%)    2 (0.4%)  core::cell::Cell<T>::replace
    64 (0.9%)    1 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    59 (0.8%)    1 (0.2%)  <&[u8] as tokio::io::async_read::AsyncRead>::poll_read
    58 (0.8%)    1 (0.2%)  std::io::impls::<impl std::io::Write for alloc::vec::Vec<u8,A>>::write_vectored
    58 (0.8%)    1 (0.2%)  std::thread::local::fast::Key<T>::get
    58 (0.8%)    1 (0.2%)  std::thread::local::fast::Key<T>::try_initialize
    56 (0.7%)    1 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
    54 (0.7%)    1 (0.2%)  core::slice::iter::Iter<T>::make_slice
    52 (0.7%)    1 (0.2%)  tokio::io::read_buf::ReadBuf::put_slice
    50 (0.7%)    1 (0.2%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    50 (0.7%)    1 (0.2%)  std::io::impls::<impl std::io::Write for &mut [u8]>::write
    49 (0.7%)    1 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    44 (0.6%)    1 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    43 (0.6%)    6 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    43 (0.6%)    6 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    43 (0.6%)    1 (0.2%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    43 (0.6%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    43 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
    43 (0.6%)    1 (0.2%)  std::panicking::begin_panic::{{closure}}
    43 (0.6%)    1 (0.2%)  tokio::net::addr::<impl tokio::net::addr::sealed::ToSocketAddrsPriv for (std::net::ip::IpAddr,u16)>::to_socket_addrs
    42 (0.6%)    1 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
