  Lines         Copies      Function name
  -----         ------      -------------
  15518 (100%)  864 (100%)  (TOTAL)
    741 (4.8%)   13 (1.5%)  alloc::alloc::box_free
    551 (3.6%)   12 (1.4%)  core::mem::replace
    440 (2.8%)    8 (0.9%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    336 (2.2%)    8 (0.9%)  alloc::sync::Weak<T>::inner
    303 (2.0%)    3 (0.3%)  alloc::sync::Arc<T>::new
    282 (1.8%)   14 (1.6%)  core::ptr::read
    273 (1.8%)    1 (0.1%)  tokio_current_thread::scheduler::Scheduler<U>::new
    270 (1.7%)    3 (0.3%)  crossbeam_channel::counter::Receiver<C>::release
    270 (1.7%)    3 (0.3%)  crossbeam_channel::counter::Sender<C>::release
    265 (1.7%)    1 (0.1%)  tokio_current_thread::CurrentThread<P>::new_with_park
    231 (1.5%)    3 (0.3%)  std::thread::local::LocalKey<T>::try_with
    192 (1.2%)    8 (0.9%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    192 (1.2%)    8 (0.9%)  core::alloc::layout::Layout::for_value_raw
    186 (1.2%)    1 (0.1%)  core::sync::atomic::atomic_compare_exchange
    186 (1.2%)    1 (0.1%)  core::sync::atomic::atomic_compare_exchange_weak
    171 (1.1%)    1 (0.1%)  tokio_current_thread::scheduler::Scheduler<U>::schedule
    163 (1.1%)    5 (0.6%)  core::cell::Cell<T>::replace
    160 (1.0%)    1 (0.1%)  tokio_current_thread::scheduler::Inner<U>::dequeue
    136 (0.9%)    2 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    132 (0.9%)    1 (0.1%)  crossbeam_channel::flavors::list::Channel<T>::new
    130 (0.8%)    1 (0.1%)  crossbeam_channel::counter::new
    128 (0.8%)    1 (0.1%)  crossbeam_channel::waker::Waker::notify
    126 (0.8%)    2 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    120 (0.8%)    3 (0.3%)  core::result::Result<T,E>::expect
    120 (0.8%)    3 (0.3%)  core::sync::atomic::atomic_load
    120 (0.8%)    1 (0.1%)  core::slice::index::range
    117 (0.8%)    8 (0.9%)  alloc::sync::Arc<T>::drop_slow
    116 (0.7%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    115 (0.7%)    2 (0.2%)  std::thread::local::fast::Key<T>::try_initialize
    114 (0.7%)    2 (0.2%)  std::thread::local::fast::Key<T>::get
    112 (0.7%)    4 (0.5%)  alloc::boxed::Box<T,A>::from_raw_in
    111 (0.7%)    1 (0.1%)  <crossbeam_channel::flavors::list::Channel<T> as core::ops::drop::Drop>::drop
    105 (0.7%)    3 (0.3%)  core::sync::atomic::atomic_swap
    103 (0.7%)    1 (0.1%)  <alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop
    102 (0.7%)    1 (0.1%)  <crossbeam_channel::flavors::array::Channel<T> as core::ops::drop::Drop>::drop
    101 (0.7%)   14 (1.6%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     98 (0.6%)   15 (1.7%)  core::ptr::unique::Unique<T>::cast
     93 (0.6%)    3 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     92 (0.6%)   22 (2.5%)  core::mem::drop
     89 (0.6%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     86 (0.6%)   12 (1.4%)  core::ptr::write
     86 (0.6%)    3 (0.3%)  core::option::Option<T>::ok_or
     82 (0.5%)    5 (0.6%)  alloc::boxed::Box<T,A>::leak
     81 (0.5%)   14 (1.6%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     81 (0.5%)    9 (1.0%)  core::mem::align_of_val_raw
     80 (0.5%)   13 (1.5%)  core::ptr::unique::Unique<T>::as_ref
     80 (0.5%)   11 (1.3%)  core::cell::UnsafeCell<T>::new
     77 (0.5%)    1 (0.1%)  core::ptr::drop_in_place<[crossbeam_channel::flavors::array::Slot<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future+Output = ()+core::marker::Send>>>]>
     77 (0.5%)    1 (0.1%)  core::ptr::drop_in_place<[crossbeam_channel::waker::Entry]>
     77 (0.5%)    1 (0.1%)  tokio_current_thread::TaskExecutor::spawn_local::{{closure}}
     76 (0.5%)    2 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     76 (0.5%)    1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     76 (0.5%)    1 (0.1%)  alloc::sync::Arc<T>::downgrade
     76 (0.5%)    1 (0.1%)  crossbeam_channel::channel::unbounded
     76 (0.5%)    1 (0.1%)  tokio_current_thread::scheduler::clone_inner
     73 (0.5%)    1 (0.1%)  crossbeam_channel::waker::Waker::disconnect
     72 (0.5%)    8 (0.9%)  core::mem::size_of_val_raw
     72 (0.5%)    1 (0.1%)  crossbeam_channel::flavors::array::Channel<T>::len
     72 (0.5%)    1 (0.1%)  tokio_current_thread::scheduler::List<U>::pop_front
     69 (0.4%)    1 (0.1%)  crossbeam_utils::backoff::Backoff::snooze
     68 (0.4%)    3 (0.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     68 (0.4%)    2 (0.2%)  core::sync::atomic::atomic_store
     66 (0.4%)    2 (0.2%)  std::thread::local::fast::Key<T>::try_register_dtor
     65 (0.4%)    2 (0.2%)  std::thread::local::fast::destroy_value
     65 (0.4%)    1 (0.1%)  alloc::vec::Vec<T,A>::drain
     64 (0.4%)    4 (0.5%)  core::option::Option<T>::take
     64 (0.4%)    1 (0.1%)  crossbeam_channel::utils::Spinlock<T>::new
     60 (0.4%)    2 (0.2%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     60 (0.4%)    2 (0.2%)  core::option::Option<T>::unwrap_or_else
     60 (0.4%)    1 (0.1%)  crossbeam_channel::waker::SyncWaker::disconnect
     58 (0.4%)    2 (0.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     57 (0.4%)    1 (0.1%)  crossbeam_channel::waker::SyncWaker::new
     56 (0.4%)    2 (0.2%)  alloc::boxed::Box<T>::new
     56 (0.4%)    1 (0.1%)  core::slice::iter::Iter<T>::make_slice
     56 (0.4%)    1 (0.1%)  crossbeam_channel::flavors::zero::Channel<T>::disconnect
     56 (0.4%)    1 (0.1%)  tokio_current_thread::scheduler::release_node
     55 (0.4%)    1 (0.1%)  <tokio_current_thread::CurrentThread as tokio_executor::executor::Executor>::spawn
     55 (0.4%)    1 (0.1%)  tokio_current_thread::scheduler::ptr2arc
     53 (0.3%)    1 (0.1%)  <tokio_current_thread::Borrow<U> as tokio_current_thread::SpawnLocal>::spawn_local
     52 (0.3%)    2 (0.2%)  crossbeam_channel::utils::Spinlock<T>::lock
     52 (0.3%)    1 (0.1%)  core::result::Result<T,E>::map
     50 (0.3%)    4 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     50 (0.3%)    1 (0.1%)  core::fmt::Arguments::new_v1
     50 (0.3%)    1 (0.1%)  core::result::Result<T,E>::map_err
     48 (0.3%)    8 (0.9%)  core::ptr::non_null::NonNull<T>::cast
     45 (0.3%)    1 (0.1%)  core::option::Option<T>::map
     45 (0.3%)    1 (0.1%)  tokio_current_thread::scheduler::wake_by_ref_inner
     44 (0.3%)    4 (0.5%)  core::cell::Cell<T>::new
     44 (0.3%)    1 (0.1%)  <<alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     44 (0.3%)    1 (0.1%)  crossbeam_channel::waker::Waker::new
     43 (0.3%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     43 (0.3%)    1 (0.1%)  <tokio_current_thread::RunTimeoutError as core::fmt::Display>::fmt
     43 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
     43 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::future::future::Future+Output = ()+core::marker::Send>>
     43 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::future::future::Future+Output = ()>>
     43 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<crossbeam_channel::flavors::array::Channel<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future+Output = ()+core::marker::Send>>>>
     43 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<crossbeam_channel::waker::Waker>
     43 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<tokio_current_thread::scheduler::Inner<tokio_executor::park::UnparkThread>>
     43 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<tokio_current_thread::scheduler::Node<tokio_executor::park::UnparkThread>>
     43 (0.3%)    1 (0.1%)  crossbeam_channel::context::Context::try_select
     43 (0.3%)    1 (0.1%)  std::panicking::begin_panic::{{closure}}
     42 (0.3%)   16 (1.9%)  core::ptr::unique::Unique<T>::as_ptr
     42 (0.3%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     42 (0.3%)    1 (0.1%)  core::slice::iter::Iter<T>::new
     42 (0.3%)    1 (0.1%)  core::slice::iter::Iter<T>::post_inc_start
     42 (0.3%)    1 (0.1%)  tokio_current_thread::CURRENT::__init
     41 (0.3%)    7 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
     41 (0.3%)    1 (0.1%)  std::panicking::begin_panic
     40 (0.3%)    8 (0.9%)  alloc::sync::Arc<T>::get_mut_unchecked
     40 (0.3%)    1 (0.1%)  <tokio_current_thread::scheduler::Inner<U> as core::ops::drop::Drop>::drop
     40 (0.3%)    1 (0.1%)  tokio_current_thread::scheduler::List<U>::push_back
     37 (0.2%)    1 (0.1%)  tokio_current_thread::scheduler::wake_inner
     36 (0.2%)    2 (0.2%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
     35 (0.2%)    6 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     35 (0.2%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     35 (0.2%)    1 (0.1%)  alloc::sync::Arc<T>::into_raw
     35 (0.2%)    1 (0.1%)  tokio_current_thread::scheduler::arc2ptr
     34 (0.2%)   14 (1.6%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     34 (0.2%)    2 (0.2%)  core::option::Option<T>::as_ref
     34 (0.2%)    1 (0.1%)  <tokio_current_thread::CurrentRunner::set_spawn::Reset as core::ops::drop::Drop>::drop
     34 (0.2%)    1 (0.1%)  core::num::<impl usize>::overflowing_add
     34 (0.2%)    1 (0.1%)  std::sys_common::backtrace::__rust_end_short_backtrace
     32 (0.2%)    8 (0.9%)  alloc::rc::is_dangling
     32 (0.2%)    8 (0.9%)  core::ptr::non_null::NonNull<T>::as_ref
     32 (0.2%)    1 (0.1%)  <crossbeam_channel::select::Selected as core::convert::From<usize>>::from
     32 (0.2%)    1 (0.1%)  core::num::<impl usize>::checked_add
     32 (0.2%)    1 (0.1%)  core::ptr::const_ptr::<impl *const T>::offset_from
     31 (0.2%)    1 (0.1%)  core::fmt::ArgumentV1::new
