  Lines          Copies       Function name
  -----          ------       -------------
  119304 (100%)  3671 (100%)  (TOTAL)
    3076 (2.6%)     1 (0.0%)  tokio_postgres::prepare::get_type::{{closure}}
    3024 (2.5%)    62 (1.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2672 (2.2%)     1 (0.0%)  tokio_postgres::prepare::prepare::{{closure}}
    2653 (2.2%)     1 (0.0%)  tokio_postgres::error::DbError::parse
    2138 (1.8%)     1 (0.0%)  postgres_protocol::message::backend::Message::parse
    2059 (1.7%)    10 (0.3%)  postgres_protocol::message::frontend::write_body
    1990 (1.7%)     7 (0.2%)  postgres_protocol::message::frontend::write_counted
    1648 (1.4%)    26 (0.7%)  core::result::Result<T,E>::map_err
    1537 (1.3%)     1 (0.0%)  tokio_postgres::prepare::get_composite_fields::{{closure}}
    1529 (1.3%)    11 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1398 (1.2%)    27 (0.7%)  <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll
    1333 (1.1%)     1 (0.0%)  <tokio_postgres::error::sqlstate::Inner as core::fmt::Debug>::fmt
    1315 (1.1%)     1 (0.0%)  tokio_postgres::error::sqlstate::SqlState::code
    1293 (1.1%)    47 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1217 (1.0%)    21 (0.6%)  alloc::alloc::box_free
    1107 (0.9%)    27 (0.7%)  core::pin::Pin<&mut T>::map_unchecked_mut
     919 (0.8%)     2 (0.1%)  postgres_protocol::message::frontend::bind::{{closure}}
     873 (0.7%)     1 (0.0%)  tokio_postgres::query::query::{{closure}}
     849 (0.7%)     1 (0.0%)  <tokio_postgres::binary_copy::BinaryCopyOutStream as futures_core::stream::Stream>::poll_next
     829 (0.7%)    17 (0.5%)  core::mem::replace
     806 (0.7%)     1 (0.0%)  <tokio_postgres::error::sqlstate::Inner as core::clone::Clone>::clone
     768 (0.6%)     1 (0.0%)  <tokio_postgres::simple_query::SimpleQueryStream as futures_core::stream::Stream>::poll_next
     765 (0.6%)     1 (0.0%)  tokio_postgres::prepare::get_enum_variants::{{closure}}
     703 (0.6%)     1 (0.0%)  tokio_postgres::simple_query::batch_execute::{{closure}}
     700 (0.6%)     5 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     698 (0.6%)     8 (0.2%)  tokio_postgres::client::InnerClient::with_buf
     674 (0.6%)     1 (0.0%)  tokio_postgres::prepare::typeinfo_enum_statement::{{closure}}
     674 (0.6%)     1 (0.0%)  tokio_postgres::prepare::typeinfo_statement::{{closure}}
     640 (0.5%)     1 (0.0%)  tokio_postgres::config::Config::param
     638 (0.5%)    11 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
     628 (0.5%)    13 (0.4%)  core::option::Option<T>::map
     588 (0.5%)     6 (0.2%)  alloc::sync::Arc<T>::new
     575 (0.5%)     1 (0.0%)  tokio_postgres::transaction::Transaction::_savepoint::{{closure}}
