  Lines          Copies       Function name
  -----          ------       -------------
  105616 (100%)  3417 (100%)  (TOTAL)
    2061 (2.0%)     3 (0.1%)  <<toml::value::Value as serde::de::Deserialize>::deserialize::ValueVisitor as serde::de::Visitor>::visit_map
    1907 (1.8%)    41 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1846 (1.7%)     2 (0.1%)  <toml::de::MapVisitor as serde::de::MapAccess>::next_key_seed
    1684 (1.6%)    10 (0.3%)  toml::ser::Serializer::display
    1367 (1.3%)    23 (0.7%)  core::result::Result<T,E>::map_err
    1325 (1.3%)     1 (0.0%)  <toml::de::Error as core::fmt::Display>::fmt
    1271 (1.2%)    19 (0.6%)  core::result::Result<T,E>::map
    1254 (1.2%)     1 (0.0%)  <toml::datetime::Datetime as core::str::traits::FromStr>::from_str
    1251 (1.2%)     9 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1109 (1.1%)    14 (0.4%)  core::iter::traits::iterator::Iterator::fold
    1085 (1.0%)     1 (0.0%)  toml::de::Deserializer::datetime
     979 (0.9%)    20 (0.6%)  core::option::Option<T>::map
     940 (0.9%)     9 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
     888 (0.8%)     2 (0.1%)  <toml::de::ValueDeserializer as serde::de::Deserializer>::deserialize_any
     836 (0.8%)     1 (0.0%)  toml::de::Deserializer::float
     805 (0.8%)     2 (0.1%)  <toml::de::MapVisitor as serde::de::MapAccess>::next_value_seed
     783 (0.7%)    43 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     775 (0.7%)    25 (0.7%)  core::fmt::ArgumentV1::new
     752 (0.7%)     8 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     740 (0.7%)     1 (0.0%)  toml::de::Deserializer::tables
     712 (0.7%)     1 (0.0%)  alloc::str::join_generic_copy
     688 (0.7%)     1 (0.0%)  toml::de::Deserializer::inline_table
     677 (0.6%)     1 (0.0%)  toml::de::Deserializer::number
     666 (0.6%)    14 (0.4%)  core::mem::replace
     626 (0.6%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next
     619 (0.6%)    29 (0.8%)  core::ptr::read
     584 (0.6%)     8 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     566 (0.5%)     1 (0.0%)  toml::de::Deserializer::value
     552 (0.5%)     4 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
     544 (0.5%)     2 (0.1%)  serde::ser::Serializer::collect_seq
     537 (0.5%)     1 (0.0%)  <toml::value::Value as serde::ser::Serialize>::serialize
     522 (0.5%)     9 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
     512 (0.5%)     1 (0.0%)  toml::de::Deserializer::array
     508 (0.5%)     4 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
     504 (0.5%)     1 (0.0%)  toml::tokens::Tokenizer::read_string
     496 (0.5%)    12 (0.4%)  core::iter::traits::iterator::Iterator::for_each
     492 (0.5%)     1 (0.0%)  toml::tokens::Tokenizer::basic_string::{{closure}}
     478 (0.5%)     8 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
