  Lines          Copies       Function name
  -----          ------       -------------
  383993 (100%)  9693 (100%)  (TOTAL)
    6602 (1.7%)     2 (0.0%)  <tonic::transport::service::reconnect::Reconnect<M,Target> as tower_service::Service<Request>>::poll_ready
    4204 (1.1%)     1 (0.0%)  h2::proto::connection::DynConnection<B>::recv_frame
    3545 (0.9%)    61 (0.6%)  alloc::alloc::box_free
    3520 (0.9%)     2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_write
    3484 (0.9%)     4 (0.0%)  hyper::proto::h1::io::WriteBuf<B>::buffer
    3448 (0.9%)    68 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    3432 (0.9%)     2 (0.0%)  hyper::client::conn::Builder::handshake::{{closure}}
    3414 (0.9%)     1 (0.0%)  h2::proto::streams::prioritize::Prioritize::pop_frame
    3288 (0.9%)    51 (0.5%)  core::result::Result<T,E>::map_err
    3274 (0.9%)     2 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::parse
    3230 (0.8%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_read_body
    3218 (0.8%)     1 (0.0%)  hyper::client::connect::http::ConnectingTcpRemote::connect::{{closure}}
    3074 (0.8%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::require_empty_read
    3016 (0.8%)    58 (0.6%)  core::mem::replace
    2919 (0.8%)     1 (0.0%)  h2::codec::framed_write::Encoder<B>::buffer
    2870 (0.7%)     1 (0.0%)  <hyper::proto::h2::client::ClientTask<B> as core::future::future::Future>::poll
    2846 (0.7%)     2 (0.0%)  h2::codec::framed_write::FramedWrite<T,B>::flush
    2808 (0.7%)     2 (0.0%)  <h2::codec::framed_read::FramedRead<T> as futures_core::stream::Stream>::poll_next
    2642 (0.7%)     2 (0.0%)  h2::proto::streams::store::Queue<N>::push
    2558 (0.7%)     2 (0.0%)  hyper::proto::h2::client::conn_task::{{closure}}
    2516 (0.7%)   117 (1.2%)  core::ptr::read
    2450 (0.6%)     2 (0.0%)  h2::proto::connection::Connection<T,P,B>::poll
    2420 (0.6%)     1 (0.0%)  <tower::buffer::worker::Worker<T,Request> as core::future::future::Future>::poll
    2390 (0.6%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_read_head
    2280 (0.6%)     2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_read
    2270 (0.6%)     2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_read_head
    2234 (0.6%)     2 (0.0%)  hyper::proto::h1::decode::Decoder::decode
    2222 (0.6%)     2 (0.0%)  h2::proto::streams::prioritize::Prioritize::poll_complete
    2178 (0.6%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::maybe_notify
    2176 (0.6%)    43 (0.4%)  core::option::Option<T>::map
    2132 (0.6%)    48 (0.5%)  tokio::loom::std::unsafe_cell::UnsafeCell<T>::with_mut
    2094 (0.5%)     2 (0.0%)  <hyper::client::service::Connect<C,B,T> as tower_service::Service<T>>::call::{{closure}}::{{closure}}
    2082 (0.5%)     1 (0.0%)  hyper::client::connect::http::HttpConnector<R>::call_async::{{closure}}
    2077 (0.5%)    67 (0.7%)  core::fmt::ArgumentV1::new
    2069 (0.5%)     2 (0.0%)  hyper::proto::h2::client::handshake::{{closure}}
    1982 (0.5%)     2 (0.0%)  h2::proto::settings::Settings::poll_send
    1967 (0.5%)    35 (0.4%)  std::panicking::try
    1934 (0.5%)     2 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::poll_flush
    1924 (0.5%)     2 (0.0%)  hyper::proto::h1::decode::ChunkedState::read_size
    1904 (0.5%)     2 (0.0%)  hyper::proto::h1::decode::ChunkedState::read_size_lf
    1856 (0.5%)     1 (0.0%)  <hyper::proto::h2::PipeToSendStream<S> as core::future::future::Future>::poll
    1792 (0.5%)    32 (0.3%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    1755 (0.5%)     4 (0.0%)  <hyper::proto::h2::client::ClientTask<B> as core::future::future::Future>::poll::{{closure}}
    1751 (0.5%)    18 (0.2%)  core::task::poll::Poll<core::result::Result<T,E>>::map_err
    1728 (0.5%)     2 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::poll_flush_flattened
    1688 (0.4%)     2 (0.0%)  h2::proto::settings::Settings::recv_settings
    1682 (0.4%)     1 (0.0%)  h2::proto::connection::DynConnection<B>::handle_poll2_result
    1636 (0.4%)     2 (0.0%)  h2::client::bind_connection::{{closure}}
    1636 (0.4%)     1 (0.0%)  tower::buffer::worker::Worker<T,Request>::poll_next_msg
    1585 (0.4%)     2 (0.0%)  h2::client::Connection<T,B>::handshake2::{{closure}}
    1580 (0.4%)    30 (0.3%)  <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll
    1549 (0.4%)     1 (0.0%)  h2::proto::streams::send::Send::send_reset
    1456 (0.4%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_shutdown
    1450 (0.4%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::on_read_head_error
    1448 (0.4%)     6 (0.1%)  hyper::proto::h2::client::handshake::{{closure}}::{{closure}}
    1384 (0.4%)    32 (0.3%)  alloc::sync::Weak<T>::inner
    1354 (0.4%)     2 (0.0%)  h2::proto::connection::Connection<T,P,B>::poll_ready
    1336 (0.3%)     2 (0.0%)  <tonic::transport::service::reconnect::Reconnect<M,Target> as tower_service::Service<Request>>::call
    1262 (0.3%)     1 (0.0%)  h2::proto::streams::streams::Inner::recv_headers
    1247 (0.3%)     1 (0.0%)  base64::decode::decode_helper
    1230 (0.3%)    30 (0.3%)  core::pin::Pin<&mut T>::map_unchecked_mut
    1225 (0.3%)     7 (0.1%)  tokio::runtime::task::list::OwnedTasks<S>::bind
    1222 (0.3%)   123 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    1210 (0.3%)     2 (0.0%)  hyper::proto::h1::decode::ChunkedState::read_body
    1210 (0.3%)     1 (0.0%)  h2::proto::streams::streams::Inner::recv_data
    1188 (0.3%)     2 (0.0%)  <tokio_util::codec::framed_impl::FramedImpl<T,U,R> as futures_core::stream::Stream>::poll_next
    1175 (0.3%)     2 (0.0%)  <hyper::client::service::Connect<C,B,T> as tower_service::Service<T>>::call::{{closure}}
    1165 (0.3%)    74 (0.8%)  core::ops::function::FnOnce::call_once
    1162 (0.3%)     7 (0.1%)  tokio::runtime::task::harness::Harness<T,S>::drop_join_handle_slow
    1153 (0.3%)     1 (0.0%)  h2::proto::streams::streams::Inner::recv_push_promise
    1132 (0.3%)     2 (0.0%)  hyper::proto::h1::decode::ChunkedState::read_size_lws
    1126 (0.3%)    49 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1125 (0.3%)     4 (0.0%)  <futures_util::future::select::Select<A,B> as core::future::future::Future>::poll
    1121 (0.3%)    13 (0.1%)  h2::proto::streams::counts::Counts::transition
    1100 (0.3%)     2 (0.0%)  hyper::proto::h1::decode::ChunkedState::read_extension
    1095 (0.3%)     1 (0.0%)  h2::proto::streams::prioritize::Prioritize::send_data
    1084 (0.3%)     4 (0.0%)  h2::codec::framed_write::write
    1080 (0.3%)    18 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    1075 (0.3%)     1 (0.0%)  hyper::client::connect::http::ConnectingTcp::connect::{{closure}}
    1060 (0.3%)     2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_loop
    1057 (0.3%)     1 (0.0%)  hyper::proto::h1::encode::Encoder::encode_and_end
    1050 (0.3%)     1 (0.0%)  hyper::proto::h1::encode::Encoder::encode
    1049 (0.3%)   197 (2.0%)  core::pin::Pin<P>::new_unchecked
    1048 (0.3%)     2 (0.0%)  <tonic::transport::service::add_origin::AddOrigin<T> as tower_service::Service<http::request::Request<ReqBody>>>::call
    1044 (0.3%)    18 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1026 (0.3%)     1 (0.0%)  <hyper::proto::h1::dispatch::Client<B> as hyper::proto::h1::dispatch::Dispatch>::poll_msg
    1022 (0.3%)     2 (0.0%)  hyper::proto::h1::decode::ChunkedState::read_trailer
    1015 (0.3%)     7 (0.1%)  tokio::runtime::task::harness::poll_future
    1002 (0.3%)     2 (0.0%)  h2::proto::connection::Connection<T,P,B>::poll2
     994 (0.3%)     7 (0.1%)  tokio::runtime::basic_scheduler::Spawner::spawn
     989 (0.3%)     7 (0.1%)  <futures_util::future::future::map::Map<Fut,F> as core::future::future::Future>::poll
     984 (0.3%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_flush
     980 (0.3%)    10 (0.1%)  alloc::sync::Arc<T>::new
     980 (0.3%)     7 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     980 (0.3%)     2 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::poll_read_from_io
     978 (0.3%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::mid_message_detect_eof
     968 (0.3%)     1 (0.0%)  h2::proto::streams::streams::Inner::recv_headers::{{closure}}
     943 (0.2%)     1 (0.0%)  h2::proto::streams::streams::Inner::recv_reset
     898 (0.2%)     2 (0.0%)  h2::proto::connection::Connection<T,P,B>::new
     872 (0.2%)     1 (0.0%)  <hyper::proto::h1::dispatch::Client<B> as hyper::proto::h1::dispatch::Dispatch>::recv_msg
     870 (0.2%)     1 (0.0%)  <hyper_timeout::TimeoutConnector<T> as tower_service::Service<http::uri::Uri>>::call::{{closure}}
     856 (0.2%)     2 (0.0%)  <tower::limit::rate::service::RateLimit<S> as tower_service::Service<Request>>::poll_ready
     842 (0.2%)     1 (0.0%)  h2::proto::streams::prioritize::Prioritize::reclaim_frame_inner
     840 (0.2%)    23 (0.2%)  alloc::boxed::Box<T>::pin
     834 (0.2%)     6 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
     809 (0.2%)    96 (1.0%)  core::mem::manually_drop::ManuallyDrop<T>::new
     801 (0.2%)     1 (0.0%)  hyper::proto::h1::role::parse_headers
     800 (0.2%)     5 (0.1%)  <tower::util::either::Either<A,B> as tower_service::Service<Request>>::poll_ready
     793 (0.2%)   107 (1.1%)  <T as core::convert::Into<U>>::into
     792 (0.2%)     2 (0.0%)  h2::proto::streams::recv::Recv::send_stream_window_updates::{{closure}}
     776 (0.2%)    32 (0.3%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     768 (0.2%)    32 (0.3%)  core::alloc::layout::Layout::for_value_raw
     762 (0.2%)     3 (0.0%)  <tower::util::either::Either<A,B> as core::future::future::Future>::poll
     755 (0.2%)     2 (0.0%)  <hyper::client::conn::Connection<T,B> as core::future::future::Future>::poll
     752 (0.2%)     2 (0.0%)  h2::proto::streams::streams::Inner::poll_complete
     746 (0.2%)     7 (0.1%)  futures_util::future::future::map::_::<impl futures_util::future::future::map::Map<Fut,F>>::project_replace
     743 (0.2%)     5 (0.1%)  h2::proto::streams::store::Store::try_for_each
