  Lines         Copies       Function name
  -----         ------       -------------
  50854 (100%)  1788 (100%)  (TOTAL)
   3149 (6.2%)     1 (0.1%)  tonic_build::server::generate
   1745 (3.4%)     1 (0.1%)  tonic_build::client::generate
   1624 (3.2%)    28 (1.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
   1316 (2.6%)    24 (1.3%)  alloc::alloc::box_free
   1171 (2.3%)     1 (0.1%)  tonic_build::server::generate_streaming
   1167 (2.3%)     1 (0.1%)  tonic_build::server::generate_server_streaming
   1110 (2.2%)     1 (0.1%)  tonic_build::server::generate_trait_methods
   1031 (2.0%)     1 (0.1%)  tonic_build::server::generate_client_streaming
   1027 (2.0%)     1 (0.1%)  tonic_build::server::generate_unary
    868 (1.7%)    28 (1.6%)  core::ptr::metadata::from_raw_parts_mut
    812 (1.6%)    28 (1.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    682 (1.3%)     1 (0.1%)  tonic_build::server::generate_methods
    654 (1.3%)     1 (0.1%)  tonic_build::client::generate_streaming
    653 (1.3%)     1 (0.1%)  tonic_build::client::generate_server_streaming
    648 (1.3%)     1 (0.1%)  tonic_build::client::generate_client_streaming
    647 (1.3%)     1 (0.1%)  tonic_build::client::generate_unary
    620 (1.2%)     2 (0.1%)  <F as syn::parse::Parser>::parse2
    556 (1.1%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    504 (1.0%)    11 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    423 (0.8%)     1 (0.1%)  tonic_build::fmt
    420 (0.8%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    377 (0.7%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    345 (0.7%)     1 (0.1%)  tonic_build::client::generate_connect
    323 (0.6%)    52 (2.9%)  core::ptr::unique::Unique<T>::cast
    315 (0.6%)     7 (0.4%)  core::result::Result<T,E>::unwrap
    307 (0.6%)     1 (0.1%)  <tonic_build::prost::ServiceGenerator as prost_build::ServiceGenerator>::finalize
    305 (0.6%)    28 (1.6%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    298 (0.6%)     7 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    291 (0.6%)     7 (0.4%)  core::slice::iter::Iter<T>::new
    290 (0.6%)     7 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    290 (0.6%)     2 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    279 (0.5%)     9 (0.5%)  core::fmt::ArgumentV1::new
    279 (0.5%)     1 (0.1%)  tonic_build::client::generate_methods
    270 (0.5%)     2 (0.1%)  <proc_macro2::imp::TokenStream as core::iter::traits::collect::Extend<proc_macro2::TokenTree>>::extend
    252 (0.5%)    28 (1.6%)  alloc::vec::Vec<T,A>::as_mut_ptr
    252 (0.5%)    28 (1.6%)  core::ptr::slice_from_raw_parts_mut
    250 (0.5%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    248 (0.5%)    12 (0.7%)  core::ptr::read
    241 (0.5%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    232 (0.5%)     5 (0.3%)  core::mem::replace
    232 (0.5%)     4 (0.2%)  core::result::Result<T,E>::map_err
    232 (0.5%)     1 (0.1%)  tonic_build::prost::<impl tonic_build::Method for prost_build::ast::Method>::request_response_name::{{closure}}
    226 (0.4%)     1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    220 (0.4%)    10 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    217 (0.4%)     7 (0.4%)  core::ptr::metadata::from_raw_parts
    210 (0.4%)     1 (0.1%)  tonic_build::prost::configure
    207 (0.4%)     1 (0.1%)  tonic_build::server::generate_trait
    204 (0.4%)     4 (0.2%)  core::alloc::layout::Layout::array
    194 (0.4%)     1 (0.1%)  tonic_build::generate_doc_comment
    191 (0.4%)     1 (0.1%)  tonic_build::match_name
    188 (0.4%)     2 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    185 (0.4%)     5 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    184 (0.4%)     2 (0.1%)  syn::parse::Parser::parse_str
    178 (0.4%)     2 (0.1%)  core::iter::traits::iterator::Iterator::fold
    169 (0.3%)     1 (0.1%)  <tonic_build::prost::Builder as core::fmt::Debug>::fmt
    167 (0.3%)    28 (1.6%)  core::ptr::mut_ptr::<impl *mut T>::is_null
    164 (0.3%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    157 (0.3%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.3%)     4 (0.2%)  core::option::Option<T>::ok_or
    154 (0.3%)     1 (0.1%)  alloc::raw_vec::finish_grow
    152 (0.3%)     2 (0.1%)  core::fmt::builders::DebugList::entries
    150 (0.3%)     2 (0.1%)  tonic_build::generate_attributes::{{closure}}
    149 (0.3%)     1 (0.1%)  core::ptr::drop_in_place<std::sys::unix::process::process_common::Command>
    149 (0.3%)     1 (0.1%)  core::ptr::drop_in_place<tonic_build::prost::Builder>
    146 (0.3%)     1 (0.1%)  tonic_build::prost::<impl tonic_build::Method for prost_build::ast::Method>::request_response_name
    143 (0.3%)     1 (0.1%)  syn::error::Error::new
    140 (0.3%)    28 (1.6%)  alloc::raw_vec::RawVec<T,A>::ptr
    138 (0.3%)    24 (1.3%)  core::ptr::unique::Unique<T>::as_ref
    138 (0.3%)     5 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    136 (0.3%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    128 (0.3%)     3 (0.2%)  core::option::Option<T>::map
    126 (0.2%)     2 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
    126 (0.2%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    125 (0.2%)     1 (0.1%)  tonic_build::server::generate_transport
    123 (0.2%)     2 (0.1%)  alloc::vec::Vec<T,A>::push
    119 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<prost_build::ast::Method>
    117 (0.2%)    52 (2.9%)  core::ptr::unique::Unique<T>::as_ptr
    117 (0.2%)    13 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    112 (0.2%)     4 (0.2%)  <proc_macro2::TokenStream as quote::ext::TokenStreamExt>::append
    110 (0.2%)     2 (0.1%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    110 (0.2%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    105 (0.2%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    105 (0.2%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
    104 (0.2%)     2 (0.1%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    104 (0.2%)     1 (0.1%)  alloc::collections::btree::mem::replace
    102 (0.2%)     2 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    100 (0.2%)    10 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
     99 (0.2%)     1 (0.1%)  <tonic_build::prost::ServiceGenerator as prost_build::ServiceGenerator>::generate
     99 (0.2%)     1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     98 (0.2%)     2 (0.1%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     98 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
     96 (0.2%)     1 (0.1%)  core::str::validations::next_code_point
     94 (0.2%)     2 (0.1%)  core::option::Option<T>::unwrap_unchecked
     89 (0.2%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     89 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<prost_build::ast::Service>
     87 (0.2%)     1 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     86 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
     84 (0.2%)     2 (0.1%)  alloc::sync::Weak<T>::inner
     82 (0.2%)     2 (0.1%)  core::iter::traits::iterator::Iterator::for_each
     82 (0.2%)     1 (0.1%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::iter::traits::collect::IntoIterator>::into_iter
     82 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
     82 (0.2%)     1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
