  Lines        Copies      Function name
  -----        ------      -------------
  6876 (100%)  321 (100%)  (TOTAL)
   376 (5.5%)    9 (2.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   305 (4.4%)    1 (0.3%)  tower_retry::budget::Budget::new
   198 (2.9%)    4 (1.2%)  core::result::Result<T,E>::map_err
   191 (2.8%)    1 (0.3%)  tower_retry::budget::Bucket::expire
   177 (2.6%)    3 (0.9%)  alloc::alloc::box_free
   162 (2.4%)    1 (0.3%)  <std::sync::mutex::Mutex<T> as core::fmt::Debug>::fmt
   157 (2.3%)    1 (0.3%)  alloc::alloc::Global::grow_impl
   156 (2.3%)    1 (0.3%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   154 (2.2%)    1 (0.3%)  alloc::raw_vec::finish_grow
   147 (2.1%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::shrink
   140 (2.0%)    7 (2.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   140 (2.0%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   139 (2.0%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   108 (1.6%)    3 (0.9%)  core::sync::atomic::atomic_load
   105 (1.5%)    3 (0.9%)  core::option::Option<T>::ok_or
    93 (1.4%)    3 (0.9%)  core::ptr::metadata::from_raw_parts_mut
    89 (1.3%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    88 (1.3%)    1 (0.3%)  alloc::vec::Vec<T,A>::into_boxed_slice
    85 (1.2%)    1 (0.3%)  std::sync::mutex::Mutex<T>::new
    83 (1.2%)    1 (0.3%)  core::iter::traits::iterator::Iterator::fold
    78 (1.1%)    1 (0.3%)  std::sync::poison::map_result
    76 (1.1%)    2 (0.6%)  alloc::boxed::Box<T,A>::from_raw_in
    76 (1.1%)    1 (0.3%)  core::cmp::max_by
    76 (1.1%)    1 (0.3%)  core::fmt::builders::DebugList::entries
    74 (1.1%)    1 (0.3%)  std::sync::mutex::Mutex<T>::try_lock
    72 (1.0%)    1 (0.3%)  alloc::boxed::Box<T,A>::into_unique
    71 (1.0%)    1 (0.3%)  alloc::vec::Vec<T,A>::push
    69 (1.0%)    1 (0.3%)  <tower_retry::budget::Bucket as core::fmt::Debug>::fmt
    62 (0.9%)    2 (0.6%)  core::sync::atomic::atomic_store
    60 (0.9%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::into_box
    58 (0.8%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    56 (0.8%)    1 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    56 (0.8%)    1 (0.3%)  core::result::Result<T,E>::expect
    52 (0.8%)    3 (0.9%)  core::ptr::read
    51 (0.7%)    1 (0.3%)  core::alloc::layout::Layout::array
    50 (0.7%)    1 (0.3%)  core::fmt::Arguments::new_v1
    46 (0.7%)    1 (0.3%)  <core::time::Duration as core::cmp::PartialOrd>::partial_cmp
    44 (0.6%)    1 (0.3%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    43 (0.6%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    43 (0.6%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    42 (0.6%)    1 (0.3%)  core::mem::replace
    42 (0.6%)    1 (0.3%)  core::slice::iter::Iter<T>::new
    42 (0.6%)    1 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    41 (0.6%)    1 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    40 (0.6%)    1 (0.3%)  std::sync::poison::Flag::borrow
