  Lines        Copies      Function name
  -----        ------      -------------
  5804 (100%)  338 (100%)  (TOTAL)
   651 (11.2%)   8 (2.4%)  tracing_core::dispatcher::get_default::{{closure}}
   297 (5.1%)    4 (1.2%)  std::thread::local::LocalKey<T>::try_with
   220 (3.8%)    5 (1.5%)  core::mem::replace
   192 (3.3%)    4 (1.2%)  tracing_core::dispatcher::get_default
   166 (2.9%)    1 (0.3%)  <tracing::span::Span as core::fmt::Debug>::fmt
   132 (2.3%)    4 (1.2%)  core::result::Result<T,E>::unwrap_or_else
   113 (1.9%)    3 (0.9%)  core::option::Option<T>::map
   112 (1.9%)    1 (0.3%)  tracing_core::dispatcher::Entered::current
    93 (1.6%)    3 (0.9%)  core::cell::Cell<T>::replace
    89 (1.5%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    86 (1.5%)    1 (0.3%)  alloc::sync::Arc<T>::new
    83 (1.4%)    5 (1.5%)  core::ptr::read
    78 (1.3%)    1 (0.3%)  core::cell::RefCell<T>::try_borrow_mut
    77 (1.3%)    1 (0.3%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    73 (1.3%)    1 (0.3%)  <tracing::span::Span as core::cmp::PartialEq>::eq
    71 (1.2%)    1 (0.3%)  tracing::span::Span::current::{{closure}}
    63 (1.1%)    1 (0.3%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    60 (1.0%)    1 (0.3%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    60 (1.0%)    1 (0.3%)  std::sync::once::Once::call_once
    58 (1.0%)    2 (0.6%)  core::option::Option<T>::ok_or
    58 (1.0%)    1 (0.3%)  std::thread::local::fast::Key<T>::get
    58 (1.0%)    1 (0.3%)  std::thread::local::fast::Key<T>::try_initialize
    52 (0.9%)    1 (0.3%)  alloc::sync::Weak<T>::inner
    51 (0.9%)    1 (0.3%)  alloc::alloc::box_free
    50 (0.9%)    1 (0.3%)  core::fmt::Arguments::new_v1
    47 (0.8%)   11 (3.3%)  <&T as core::fmt::Debug>::fmt
    46 (0.8%)    2 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    45 (0.8%)    1 (0.3%)  <dyn tracing_core::subscriber::Subscriber>::downcast_ref
    45 (0.8%)    1 (0.3%)  core::result::Result<T,E>::expect
    43 (0.7%)    3 (0.9%)  core::ops::function::FnOnce::call_once
    43 (0.7%)    1 (0.3%)  core::cell::RefCell<T>::new
    43 (0.7%)    1 (0.3%)  tracing::__macro_support::MacroCallsite::new
    42 (0.7%)    1 (0.3%)  tracing::span::Span::make_with
    42 (0.7%)    1 (0.3%)  tracing_core::dispatcher::CURRENT_STATE::__init
    39 (0.7%)    1 (0.3%)  <tracing::span::EnteredSpan as core::fmt::Debug>::fmt
