  Lines          Copies       Function name
  -----          ------       -------------
  125523 (100%)  5328 (100%)  (TOTAL)
    3941 (3.1%)    90 (1.7%)  core::option::Option<T>::map
    2983 (2.4%)    53 (1.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2934 (2.3%)     1 (0.0%)  tracing_attributes::gen_block
    2494 (2.0%)    43 (0.8%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2325 (1.9%)    41 (0.8%)  alloc::alloc::box_free
    1946 (1.6%)    14 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1932 (1.5%)    43 (0.8%)  core::mem::replace
    1508 (1.2%)     4 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    1364 (1.1%)    44 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    1260 (1.0%)     9 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1258 (1.0%)    32 (0.6%)  core::option::Option<T>::or_else
    1247 (1.0%)    43 (0.8%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1165 (0.9%)    10 (0.2%)  core::iter::traits::iterator::Iterator::advance_by
    1139 (0.9%)    12 (0.2%)  core::iter::traits::iterator::Iterator::fold
    1118 (0.9%)    26 (0.5%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    1097 (0.9%)     1 (0.0%)  <tracing_attributes::InstrumentArgs as syn::parse::Parse>::parse
    1092 (0.9%)    26 (0.5%)  core::slice::iter::IterMut<T>::new
    1092 (0.9%)    26 (0.5%)  core::slice::iter::IterMut<T>::post_inc_start
    1066 (0.8%)    55 (1.0%)  core::ptr::read
    1056 (0.8%)     4 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    1020 (0.8%)     1 (0.0%)  tracing_attributes::instrument
     962 (0.8%)    12 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     945 (0.8%)    15 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
     861 (0.7%)     7 (0.1%)  syn::parse::ParseBuffer::step
     845 (0.7%)     8 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
     838 (0.7%)    35 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     783 (0.6%)     9 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     765 (0.6%)    15 (0.3%)  core::alloc::layout::Layout::array
     725 (0.6%)     1 (0.0%)  tracing_attributes::InstrumentArgs::level
     720 (0.6%)    18 (0.3%)  syn::punctuated::Pair<T,P>::into_tuple
     705 (0.6%)     3 (0.1%)  tracing_attributes::gen_block::{{closure}}
     697 (0.6%)     1 (0.0%)  tracing_attributes::param_names
     673 (0.5%)     1 (0.0%)  tracing_attributes::get_async_trait_info
     660 (0.5%)     1 (0.0%)  tracing_attributes::InstrumentArgs::warnings::{{closure}}
     602 (0.5%)    58 (1.1%)  core::ops::function::FnOnce::call_once
     602 (0.5%)     8 (0.2%)  tracing_attributes::gen_block::{{closure}}::{{closure}}
     585 (0.5%)    14 (0.3%)  core::slice::iter::Iter<T>::new
     576 (0.5%)     9 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     575 (0.5%)     5 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
     572 (0.5%)    11 (0.2%)  core::iter::traits::iterator::Iterator::for_each
     568 (0.5%)     4 (0.1%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
     559 (0.4%)    13 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     546 (0.4%)    13 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
     533 (0.4%)     1 (0.0%)  <tracing_attributes::Field as syn::parse::Parse>::parse
     530 (0.4%)    10 (0.2%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     520 (0.4%)    10 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     510 (0.4%)    10 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     503 (0.4%)    80 (1.5%)  core::ptr::unique::Unique<T>::cast
     471 (0.4%)    43 (0.8%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     456 (0.4%)    56 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     455 (0.4%)    13 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     450 (0.4%)     4 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     444 (0.4%)     2 (0.0%)  <F as syn::parse::Parser>::parse2
     434 (0.3%)    14 (0.3%)  core::ptr::metadata::from_raw_parts
     432 (0.3%)    18 (0.3%)  syn::punctuated::Punctuated<T,P>::pairs_mut
     423 (0.3%)     7 (0.1%)  alloc::vec::Vec<T,A>::push
     411 (0.3%)     1 (0.0%)  <tracing_attributes::Level as syn::parse::Parse>::parse
     410 (0.3%)    41 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::offset
     405 (0.3%)     6 (0.1%)  core::iter::adapters::map::map_fold::{{closure}}
     405 (0.3%)     1 (0.0%)  <tracing_attributes::Skips as syn::parse::Parse>::parse
     396 (0.3%)    44 (0.8%)  core::ptr::slice_from_raw_parts_mut
     395 (0.3%)    36 (0.7%)  core::option::Option<T>::take
     392 (0.3%)     4 (0.1%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::adapters::fuse::FuseImpl<I>>::next
     389 (0.3%)    11 (0.2%)  core::option::Option<T>::ok_or
     387 (0.3%)    43 (0.8%)  alloc::vec::Vec<T,A>::as_mut_ptr
     380 (0.3%)    10 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
     374 (0.3%)     6 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     371 (0.3%)     5 (0.1%)  std::thread::local::LocalKey<T>::try_with
     370 (0.3%)     2 (0.0%)  syn::punctuated::Punctuated<T,P>::parse_terminated_with
     363 (0.3%)    28 (0.5%)  <core::option::Option<T> as core::iter::traits::collect::IntoIterator>::into_iter
     361 (0.3%)    21 (0.4%)  core::option::Option<T>::as_mut
     356 (0.3%)     4 (0.1%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::IntoIterator>::into_iter
     352 (0.3%)    11 (0.2%)  core::ptr::const_ptr::<impl *const T>::offset_from
     352 (0.3%)     2 (0.0%)  <tracing_attributes::StrArg<T> as syn::parse::Parse>::parse
     342 (0.3%)    36 (0.7%)  <syn::punctuated::PairsMut<T,P> as core::iter::traits::iterator::Iterator>::next::{{closure}}
     339 (0.3%)     3 (0.1%)  syn::error::Error::new
     324 (0.3%)     5 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     322 (0.3%)    60 (1.1%)  core::ptr::write
     315 (0.3%)     9 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
     299 (0.2%)     6 (0.1%)  core::result::Result<T,E>::map_err
     297 (0.2%)    27 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::deref::DerefMut>::deref_mut
     297 (0.2%)    24 (0.5%)  core::mem::manually_drop::ManuallyDrop<T>::new
     295 (0.2%)    11 (0.2%)  alloc::boxed::Box<T>::new
     290 (0.2%)    10 (0.2%)  core::iter::traits::iterator::Iterator::nth
     290 (0.2%)     1 (0.0%)  tracing_attributes::gen_function
     289 (0.2%)     1 (0.0%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
     288 (0.2%)    18 (0.3%)  <syn::punctuated::PairsMut<T,P> as core::iter::traits::iterator::Iterator>::next
     264 (0.2%)     4 (0.1%)  <proc_macro2::TokenStream as quote::ext::TokenStreamExt>::append_all
     261 (0.2%)    29 (0.5%)  core::slice::raw::from_raw_parts_mut
     257 (0.2%)    43 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     249 (0.2%)     3 (0.1%)  syn::punctuated::Punctuated<T,P>::push_punct
     248 (0.2%)    41 (0.8%)  core::ptr::unique::Unique<T>::as_ref
     241 (0.2%)    11 (0.2%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
     241 (0.2%)     1 (0.0%)  core::char::methods::encode_utf8_raw
     227 (0.2%)    44 (0.8%)  core::ptr::non_null::NonNull<T>::new_unchecked
     221 (0.2%)    17 (0.3%)  alloc::raw_vec::RawVec<T,A>::capacity
     220 (0.2%)    10 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
     215 (0.2%)    43 (0.8%)  alloc::raw_vec::RawVec<T,A>::ptr
     215 (0.2%)     5 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
     215 (0.2%)     1 (0.0%)  <tracing_attributes::Fields as syn::parse::Parse>::parse
     212 (0.2%)     1 (0.0%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
     210 (0.2%)    21 (0.4%)  core::ptr::const_ptr::<impl *const T>::offset
     210 (0.2%)     5 (0.1%)  core::slice::iter::Iter<T>::pre_dec_end
     208 (0.2%)     4 (0.1%)  core::iter::adapters::flatten::FlattenCompat<I,U>::new
     206 (0.2%)     7 (0.1%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     206 (0.2%)     2 (0.0%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
     202 (0.2%)     3 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     202 (0.2%)     2 (0.0%)  alloc::vec::Vec<T,A>::extend_desugared
     199 (0.2%)     5 (0.1%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     197 (0.2%)    58 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     196 (0.2%)     5 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     195 (0.2%)    14 (0.3%)  core::option::Option<T>::is_some
     194 (0.2%)    14 (0.3%)  core::iter::adapters::map::Map<I,F>::new
     192 (0.2%)    80 (1.5%)  core::ptr::unique::Unique<T>::as_ptr
     191 (0.2%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
     187 (0.1%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
     186 (0.1%)    11 (0.2%)  core::option::Option<T>::as_ref
     186 (0.1%)     3 (0.1%)  syn::punctuated::Punctuated<T,P>::push_value
     186 (0.1%)     1 (0.0%)  syn::punctuated::Punctuated<T,P>::parse_separated_nonempty_with
     184 (0.1%)     5 (0.1%)  core::result::Result<T,E>::expect
     184 (0.1%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
     182 (0.1%)    26 (0.5%)  core::slice::<impl [T]>::iter_mut
     175 (0.1%)     2 (0.0%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
     173 (0.1%)     5 (0.1%)  core::cell::Cell<T>::replace
     168 (0.1%)     4 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     168 (0.1%)     4 (0.1%)  syn::punctuated::Punctuated<T,P>::iter
     166 (0.1%)     1 (0.0%)  syn::gen::visit_mut::visit_expr_mut
     165 (0.1%)     1 (0.0%)  core::ptr::drop_in_place<syn::expr::Expr>
     162 (0.1%)     3 (0.1%)  <proc_macro2::imp::Ident as core::cmp::PartialEq<T>>::eq
     162 (0.1%)     1 (0.0%)  <tracing_attributes::kw::err as syn::parse::Parse>::parse::{{closure}}
     162 (0.1%)     1 (0.0%)  <tracing_attributes::kw::fields as syn::parse::Parse>::parse::{{closure}}
     162 (0.1%)     1 (0.0%)  <tracing_attributes::kw::level as syn::parse::Parse>::parse::{{closure}}
     162 (0.1%)     1 (0.0%)  <tracing_attributes::kw::name as syn::parse::Parse>::parse::{{closure}}
     162 (0.1%)     1 (0.0%)  <tracing_attributes::kw::skip as syn::parse::Parse>::parse::{{closure}}
     162 (0.1%)     1 (0.0%)  <tracing_attributes::kw::skip_all as syn::parse::Parse>::parse::{{closure}}
     162 (0.1%)     1 (0.0%)  <tracing_attributes::kw::target as syn::parse::Parse>::parse::{{closure}}
     159 (0.1%)     1 (0.0%)  hashbrown::raw::RawTableInner<A>::resize_inner
     157 (0.1%)     1 (0.0%)  alloc::alloc::Global::grow_impl
     156 (0.1%)     1 (0.0%)  syn::gen::visit_mut::visit_item_trait_mut
     155 (0.1%)     5 (0.1%)  core::fmt::ArgumentV1::new
     155 (0.1%)     5 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::nth_back
     154 (0.1%)    14 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     154 (0.1%)    14 (0.3%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     154 (0.1%)     1 (0.0%)  alloc::raw_vec::finish_grow
     153 (0.1%)    57 (1.1%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     153 (0.1%)    20 (0.4%)  core::ptr::non_null::NonNull<T>::cast
     152 (0.1%)     2 (0.0%)  core::iter::adapters::map::map_try_fold::{{closure}}
     151 (0.1%)     4 (0.1%)  core::ops::control_flow::ControlFlow<B,C>::break_value
     150 (0.1%)     5 (0.1%)  alloc::boxed::Box<T,A>::from_raw_in
     148 (0.1%)     4 (0.1%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::traits::iterator::Iterator>::size_hint
     147 (0.1%)     1 (0.0%)  syn::gen::visit_mut::visit_bin_op_mut
