  Lines          Copies       Function name
  -----          ------       -------------
  207558 (100%)  8492 (100%)  (TOTAL)
    3496 (1.7%)    60 (0.7%)  alloc::alloc::box_free
    2911 (1.4%)    25 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
    2613 (1.3%)     1 (0.0%)  trust_dns_resolver::caching_client::CachingClient<C,E>::inner_lookup::{{closure}}
    2588 (1.2%)     1 (0.0%)  <trust_dns_proto::tcp::tcp_stream::TcpStream<S> as futures_core::stream::Stream>::poll_next
    2380 (1.1%)    17 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    2267 (1.1%)    46 (0.5%)  core::mem::replace
    2202 (1.1%)     1 (0.0%)  trust_dns_proto::udp::udp_client_stream::send_serial_message::{{closure}}
    2151 (1.0%)    46 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2118 (1.0%)     2 (0.0%)  trust_dns_proto::rr::domain::name::Name::from_encoded_str
    1847 (0.9%)    33 (0.4%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    1750 (0.8%)     1 (0.0%)  <trust_dns_resolver::name_server::name_server_pool::NameServerPool<C,P> as trust_dns_proto::xfer::dns_handle::DnsHandle>::send::{{closure}}
    1740 (0.8%)    83 (1.0%)  core::ptr::read
    1682 (0.8%)    29 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1432 (0.7%)     1 (0.0%)  trust_dns_resolver::name_server::name_server_pool::parallel_conn_loop::{{closure}}
    1426 (0.7%)    33 (0.4%)  alloc::sync::Weak<T>::inner
    1375 (0.7%)    14 (0.2%)  alloc::sync::Arc<T>::new
    1362 (0.7%)     2 (0.0%)  <trust_dns_proto::xfer::dns_exchange::DnsExchangeConnectInner<F,S,TE> as core::future::future::Future>::poll
    1337 (0.6%)    12 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    1178 (0.6%)    38 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    1112 (0.5%)     8 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1078 (0.5%)     1 (0.0%)  trust_dns_resolver::name_server::name_server::NameServer<C,P>::inner_send::{{closure}}
    1058 (0.5%)    21 (0.2%)  core::iter::traits::iterator::Iterator::find_map::check::{{closure}}
    1006 (0.5%)    16 (0.2%)  core::result::Result<T,E>::map_err
     992 (0.5%)     1 (0.0%)  trust_dns_resolver::name_server::name_server::NameServer<C,P>::connected_mut_client::{{closure}}
     982 (0.5%)     2 (0.0%)  <trust_dns_proto::xfer::dns_exchange::DnsExchangeBackground<S,TE> as core::future::future::Future>::poll
     972 (0.5%)    21 (0.2%)  core::option::Option<T>::map
     945 (0.5%)     1 (0.0%)  trust_dns_resolver::hosts::read_hosts_conf
     943 (0.5%)    47 (0.6%)  core::ops::function::FnOnce::call_once
     936 (0.5%)    16 (0.2%)  alloc::boxed::Box<T,A>::into_unique
     930 (0.4%)    30 (0.4%)  core::fmt::ArgumentV1::new
     884 (0.4%)     4 (0.0%)  tokio::runtime::task::core::Cell<T,S>::new
     878 (0.4%)    44 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     878 (0.4%)     1 (0.0%)  trust_dns_resolver::error::ResolveError::from_response
     867 (0.4%)    17 (0.2%)  core::alloc::layout::Layout::array
     841 (0.4%)    29 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     840 (0.4%)    15 (0.2%)  <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll
     838 (0.4%)     1 (0.0%)  <trust_dns_proto::xfer::dns_multiplexer::DnsMultiplexer<S,MF> as trust_dns_proto::xfer::DnsRequestSender>::send_message
     800 (0.4%)    33 (0.4%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     793 (0.4%)     1 (0.0%)  <trust_dns_proto::xfer::dns_multiplexer::DnsMultiplexer<S,MF> as futures_core::stream::Stream>::poll_next
     792 (0.4%)    33 (0.4%)  core::alloc::layout::Layout::for_value_raw
     788 (0.4%)    14 (0.2%)  std::panicking::try
     787 (0.4%)    20 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     785 (0.4%)    85 (1.0%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     762 (0.4%)     1 (0.0%)  trust_dns_resolver::caching_client::CachingClient<C,E>::handle_noerror
     748 (0.4%)    84 (1.0%)  core::mem::manually_drop::ManuallyDrop<T>::new
     724 (0.3%)     9 (0.1%)  std::thread::local::LocalKey<T>::try_with
     717 (0.3%)     1 (0.0%)  trust_dns_resolver::system_conf::unix::into_resolver_config
     715 (0.3%)   127 (1.5%)  core::pin::Pin<P>::new_unchecked
     708 (0.3%)    19 (0.2%)  core::ops::control_flow::ControlFlow<B,C>::break_value
     700 (0.3%)     4 (0.0%)  tokio::runtime::task::list::OwnedTasks<S>::bind
     664 (0.3%)     5 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     664 (0.3%)     4 (0.0%)  tokio::runtime::task::harness::Harness<T,S>::drop_join_handle_slow
     648 (0.3%)     9 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     648 (0.3%)     4 (0.0%)  <futures_util::future::future::map::Map<Fut,F> as core::future::future::Future>::poll
     634 (0.3%)     2 (0.0%)  <trust_dns_proto::TokioTime as trust_dns_proto::Time>::timeout::{{closure}}
     629 (0.3%)     1 (0.0%)  core::slice::sort::partition_in_blocks
     615 (0.3%)    15 (0.2%)  core::pin::Pin<&mut T>::map_unchecked_mut
     600 (0.3%)    20 (0.2%)  alloc::boxed::Box<T,A>::from_raw_in
     599 (0.3%)    14 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     595 (0.3%)    17 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
     589 (0.3%)    19 (0.2%)  core::ptr::metadata::from_raw_parts
     585 (0.3%)    14 (0.2%)  core::slice::iter::Iter<T>::new
     584 (0.3%)    14 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
     572 (0.3%)    88 (1.0%)  core::ptr::unique::Unique<T>::cast
     560 (0.3%)    16 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     560 (0.3%)     3 (0.0%)  core::sync::atomic::atomic_compare_exchange
     546 (0.3%)     7 (0.1%)  std::sync::poison::map_result
     536 (0.3%)    33 (0.4%)  alloc::sync::Arc<T>::drop_slow
     528 (0.3%)     1 (0.0%)  trust_dns_resolver::async_resolver::AsyncResolver<C,P>::build_names
     513 (0.2%)     3 (0.0%)  futures_channel::mpsc::Receiver<T>::next_message
     510 (0.2%)     2 (0.0%)  trust_dns_resolver::caching_client::CachingClient<C,E>::handle_noerror::{{closure}}
     505 (0.2%)     1 (0.0%)  <trust_dns_proto::udp::udp_stream::NextRandomUdpSocket<S> as core::future::future::Future>::poll
     500 (0.2%)     5 (0.1%)  core::iter::traits::iterator::Iterator::fold
     494 (0.2%)     2 (0.0%)  futures_channel::mpsc::channel
     490 (0.2%)     5 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
     485 (0.2%)    11 (0.1%)  tokio::loom::std::unsafe_cell::UnsafeCell<T>::with_mut
     476 (0.2%)    13 (0.2%)  alloc::boxed::Box<T>::pin
     471 (0.2%)    12 (0.1%)  core::result::Result<T,E>::expect
     464 (0.2%)     1 (0.0%)  core::ptr::drop_in_place<trust_dns_resolver::caching_client::CachingClient<trust_dns_resolver::lookup::LookupEither<trust_dns_resolver::name_server::connection_provider::GenericConnection,trust_dns_resolver::name_server::connection_provider::GenericConnectionProvider<trust_dns_resolver::name_server::connection_provider::tokio_runtime::TokioRuntime>>,trust_dns_resolver::error::ResolveError>::inner_lookup::{{closure}}>
     449 (0.2%)     1 (0.0%)  core::array::<impl core::default::Default for [T; 32]>::default
     448 (0.2%)    28 (0.3%)  alloc::boxed::Box<T,A>::leak
     443 (0.2%)     1 (0.0%)  <trust_dns_proto::rr::record_data::RData as core::clone::Clone>::clone
     441 (0.2%)     6 (0.1%)  tokio::coop::with_budget::{{closure}}
     438 (0.2%)     4 (0.0%)  futures_util::future::future::map::_::<impl futures_util::future::future::map::Map<Fut,F>>::project_replace
     436 (0.2%)    65 (0.8%)  core::ptr::non_null::NonNull<T>::cast
     428 (0.2%)     6 (0.1%)  core::result::Result<T,E>::map
     420 (0.2%)     7 (0.1%)  hashbrown::raw::RawTable<T,A>::find
     420 (0.2%)     1 (0.0%)  tokio::runtime::basic_scheduler::CoreGuard::block_on::{{closure}}
     416 (0.2%)     4 (0.0%)  futures_channel::mpsc::queue::Queue<T>::pop
     414 (0.2%)     6 (0.1%)  hashbrown::raw::RawTable<T,A>::drop_elements
     412 (0.2%)    14 (0.2%)  alloc::boxed::Box<T>::new
     411 (0.2%)    10 (0.1%)  core::option::Option<T>::ok_or_else
     408 (0.2%)     6 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
     394 (0.2%)     8 (0.1%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     392 (0.2%)     1 (0.0%)  trust_dns_resolver::name_server::name_server_pool::NameServerPool<C,P>::try_send::{{closure}}
     390 (0.2%)     1 (0.0%)  <trust_dns_proto::xfer::retry_dns_handle::RetrySendStream<H> as futures_core::stream::Stream>::poll_next
     389 (0.2%)    57 (0.7%)  core::ptr::unique::Unique<T>::as_ref
     387 (0.2%)    27 (0.3%)  core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut
     385 (0.2%)    70 (0.8%)  core::ptr::write
     384 (0.2%)    53 (0.6%)  core::pin::Pin<P>::as_mut
     384 (0.2%)     2 (0.0%)  tokio::park::thread::CachedParkThread::block_on
     380 (0.2%)    10 (0.1%)  <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
