  Lines        Copies      Function name
  -----        ------      -------------
  5395 (100%)  201 (100%)  (TOTAL)
   693 (12.8%)   1 (0.5%)  twoway::pcmp::find_inner
   343 (6.4%)    1 (0.5%)  twoway::pcmp::find_short_pat
   301 (5.6%)    1 (0.5%)  twoway::TwoWaySearcher::next
   300 (5.6%)    1 (0.5%)  twoway::TwoWaySearcher::next_back
   254 (4.7%)    5 (2.5%)  core::option::Option<T>::map
   150 (2.8%)    1 (0.5%)  twoway::pcmp::shared_prefix_inner
   147 (2.7%)    1 (0.5%)  twoway::TwoWaySearcher::maximal_suffix
   134 (2.5%)    1 (0.5%)  twoway::TwoWaySearcher::reverse_maximal_suffix
   115 (2.1%)    1 (0.5%)  twoway::TwoWaySearcher::new
   108 (2.0%)    1 (0.5%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
   107 (2.0%)    1 (0.5%)  twoway::find_bytes
    99 (1.8%)    1 (0.5%)  <twoway::TwoWaySearcher as core::fmt::Debug>::fmt
    86 (1.6%)    1 (0.5%)  twoway::StrSearcher::new
    80 (1.5%)    1 (0.5%)  core::iter::traits::iterator::Iterator::fold
    78 (1.4%)    2 (1.0%)  core::sync::atomic::atomic_load
    76 (1.4%)    1 (0.5%)  core::cmp::max_by
    76 (1.4%)    1 (0.5%)  core::cmp::min_by
    68 (1.3%)    1 (0.5%)  <twoway::StrSearcherImpl as core::fmt::Debug>::fmt
    66 (1.2%)    1 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    65 (1.2%)    1 (0.5%)  twoway::rfind_bytes
    61 (1.1%)    1 (0.5%)  twoway::pcmp::first_start_of_match_mask
    61 (1.1%)    1 (0.5%)  twoway::pcmp::first_start_of_match_nomask
    60 (1.1%)    1 (0.5%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    59 (1.1%)    1 (0.5%)  <twoway::EmptyNeedle as core::fmt::Debug>::fmt
    50 (0.9%)    1 (0.5%)  core::fmt::Arguments::new_v1
    49 (0.9%)    1 (0.5%)  <twoway::StrSearcher as core::fmt::Debug>::fmt
    46 (0.9%)    1 (0.5%)  std_detect::detect::cache::test
    45 (0.8%)    1 (0.5%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next_back
    42 (0.8%)    1 (0.5%)  core::mem::replace
    41 (0.8%)    1 (0.5%)  twoway::pcmp::pcmpestrm_eq_each
    40 (0.7%)    1 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    39 (0.7%)    1 (0.5%)  core::slice::iter::Iter<T>::new
    38 (0.7%)    1 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    35 (0.6%)    8 (4.0%)  <&T as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.5%)  core::iter::traits::iterator::Iterator::zip
    33 (0.6%)    1 (0.5%)  core::slice::<impl [T]>::split_at_unchecked
    33 (0.6%)    1 (0.5%)  twoway::pcmp::zip
    31 (0.6%)    1 (0.5%)  core::option::Option<T>::unwrap_or_else
    31 (0.6%)    1 (0.5%)  core::ptr::metadata::from_raw_parts
    30 (0.6%)    1 (0.5%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
    29 (0.5%)    1 (0.5%)  core::option::Option<T>::unwrap_or
    28 (0.5%)    1 (0.5%)  core::core_arch::x86::sse42::_mm_cmpestrm
    28 (0.5%)    1 (0.5%)  twoway::TwoWaySearcher::crit_params
