  Lines          Copies       Function name
  -----          ------       -------------
  322798 (100%)  6896 (100%)  (TOTAL)
   62740 (19.4%)   26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_value
   15186 (4.7%)    26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_indefinite_str
   12118 (3.8%)    26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_indefinite_bytes
   10938 (3.4%)   130 (1.9%)  serde_cbor::de::Deserializer<R>::recursion_checked
    7814 (2.4%)    26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_str
    6299 (2.0%)    26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_indefinite_map::{{closure}}
    6013 (1.9%)    26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_indefinite_array::{{closure}}
    4115 (1.3%)    71 (1.0%)  core::option::Option<T>::map
    3815 (1.2%)    26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_map::{{closure}}
    3620 (1.1%)    67 (1.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    3451 (1.1%)    26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_array::{{closure}}
    3395 (1.1%)    14 (0.2%)  <serde_cbor::de::IndefiniteSeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    3198 (1.0%)    26 (0.4%)  serde_cbor::de::Deserializer<R>::parse_bytes
    2904 (0.9%)     6 (0.1%)  <vsdb::basic::mapx_ord::_::<impl serde::de::Deserialize for vsdb::basic::mapx_ord::MapxOrd<K,V>>::deserialize::__Visitor<K,V> as serde::de::Visitor>::visit_map
    2904 (0.9%)     6 (0.1%)  <vsdb::basic::mapx_ord_rawkey::_::<impl serde::de::Deserialize for vsdb::basic::mapx_ord_rawkey::MapxOrdRawKey<V>>::deserialize::__Visitor<V> as serde::de::Visitor>::visit_map
    2599 (0.8%)    36 (0.5%)  core::result::Result<T,E>::map_err
    2391 (0.7%)     2 (0.0%)  <serde::de::impls::ArrayVisitor<[T; 8]> as serde::de::Visitor>::visit_seq
    2380 (0.7%)    14 (0.2%)  <core::result::Result<T,ERR> as ruc::err::RucResult<T,E>>::c::{{closure}}
    2290 (0.7%)    25 (0.4%)  serde::de::Visitor::visit_i128
    2244 (0.7%)    12 (0.2%)  time::formatting::format_number_pad_zero
    2229 (0.7%)    80 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1927 (0.6%)    35 (0.5%)  alloc::alloc::box_free
    1920 (0.6%)    12 (0.2%)  serde_cbor::ser::StructSerializer<W>::serialize_field_inner
    1860 (0.6%)     6 (0.1%)  <serde_cbor::de::IndefiniteMapAccess<R> as serde::de::MapAccess>::next_key_seed
    1758 (0.5%)     6 (0.1%)  <serde_cbor::de::MapAccess<R> as serde::de::MapAccess>::next_key_seed
    1644 (0.5%)    78 (1.1%)  core::ptr::read
    1644 (0.5%)    32 (0.5%)  serde::de::Visitor::visit_map
    1623 (0.5%)     9 (0.1%)  serde_cbor::de::from_slice
    1597 (0.5%)    35 (0.5%)  core::mem::replace
    1589 (0.5%)    14 (0.2%)  <serde_cbor::de::SeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    1467 (0.5%)     6 (0.1%)  <vsdb::basic::mapx_ord::_::<impl serde::de::Deserialize for vsdb::basic::mapx_ord::MapxOrd<K,V>>::deserialize::__Visitor<K,V> as serde::de::Visitor>::visit_seq
    1467 (0.5%)     6 (0.1%)  <vsdb::basic::mapx_ord_rawkey::_::<impl serde::de::Deserialize for vsdb::basic::mapx_ord_rawkey::MapxOrdRawKey<V>>::deserialize::__Visitor<V> as serde::de::Visitor>::visit_seq
    1402 (0.4%)     1 (0.0%)  <vsdb::common::engines::sled_db::SledEngine as vsdb::common::engines::Engine>::new
    1296 (0.4%)    28 (0.4%)  serde::de::Visitor::visit_seq
    1279 (0.4%)    11 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    1240 (0.4%)     1 (0.0%)  time::formatting::format_component
    1215 (0.4%)    25 (0.4%)  serde::de::Visitor::visit_bool
    1200 (0.4%)    10 (0.1%)  serde_cbor::ser::to_vec
    1190 (0.4%)    25 (0.4%)  serde::de::Visitor::visit_f64
    1148 (0.4%)     7 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    1145 (0.4%)    17 (0.2%)  core::result::Result<T,E>::map
    1057 (0.3%)    22 (0.3%)  core::result::Result<T,E>::unwrap
    1046 (0.3%)    22 (0.3%)  serde::de::Visitor::visit_i64
    1044 (0.3%)    18 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1038 (0.3%)     2 (0.0%)  <vsdb::common::engines::_::<impl serde::de::Deserialize for vsdb::common::engines::InstanceCfg>::deserialize::__Visitor as serde::de::Visitor>::visit_map
    1010 (0.3%)    20 (0.3%)  serde::de::Visitor::visit_str
     996 (0.3%)     1 (0.0%)  vsdbsled::meta::open_tree
     967 (0.3%)     9 (0.1%)  vsdb::common::ende::ValueDe::decode_value
     959 (0.3%)    19 (0.3%)  serde::de::Visitor::visit_bytes
     954 (0.3%)     2 (0.0%)  <vsdb::versioned::mapx_raw::backend::_::<impl serde::de::Deserialize for vsdb::versioned::mapx_raw::backend::BasePoint>::deserialize::__Visitor as serde::de::Visitor>::visit_map
     946 (0.3%)    18 (0.3%)  core::result::Result<T,E>::unwrap_or_else
     935 (0.3%)     5 (0.1%)  time::formatting::format_number_pad_space
     907 (0.3%)     9 (0.1%)  alloc::collections::btree::mem::replace
     900 (0.3%)    20 (0.3%)  serde::de::Visitor::visit_unit
