  Lines          Copies       Function name
  -----          ------       -------------
  116895 (100%)  4814 (100%)  (TOTAL)
    2062 (1.8%)    42 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1969 (1.7%)    38 (0.8%)  core::mem::replace
    1423 (1.2%)     1 (0.0%)  tungstenite::protocol::WebSocketContext::read_message_frame
    1376 (1.2%)    25 (0.5%)  core::option::Option<T>::map
    1353 (1.2%)    23 (0.5%)  alloc::alloc::box_free
    1296 (1.1%)     1 (0.0%)  warp::filters::fs::Conditionals::check
    1281 (1.1%)     1 (0.0%)  hyper::body::to_bytes::to_bytes::{{closure}}
    1168 (1.0%)    52 (1.1%)  core::ptr::read
     998 (0.9%)    18 (0.4%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
     936 (0.8%)     1 (0.0%)  warp::filters::cors::Configured::check_request
     899 (0.8%)    29 (0.6%)  core::fmt::ArgumentV1::new
     891 (0.8%)    30 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     885 (0.8%)     3 (0.1%)  <warp::filter::and_then::State<T,F> as core::future::future::Future>::poll
     853 (0.7%)    15 (0.3%)  core::result::Result<T,E>::map_err
     825 (0.7%)     1 (0.0%)  <warp::filters::ws::WebSocket as futures_core::stream::Stream>::poll_next
     824 (0.7%)     1 (0.0%)  tungstenite::protocol::frame::frame::FrameHeader::parse_internal
     816 (0.7%)     1 (0.0%)  tokio::net::tcp::stream::TcpStream::connect::{{closure}}
     766 (0.7%)    18 (0.4%)  alloc::sync::Weak<T>::inner
     766 (0.7%)     2 (0.0%)  warp::filters::header::header2::{{closure}}
     720 (0.6%)     1 (0.0%)  multipart::server::boundary::BoundaryReader<R>::read_to_boundary
     704 (0.6%)     1 (0.0%)  multipart::server::boundary::BoundaryReader<R>::consume_boundary
     682 (0.6%)     2 (0.0%)  <warp::filter::and::State<T,TE,U> as core::future::future::Future>::poll
     682 (0.6%)     2 (0.0%)  std::io::default_read_to_end
     668 (0.6%)     2 (0.0%)  warp::filters::body::content_length_limit::{{closure}}
     659 (0.6%)     5 (0.1%)  tokio_tungstenite::WebSocketStream<S>::with_context
     633 (0.5%)     4 (0.1%)  <futures_util::future::future::map::Map<Fut,F> as core::future::future::Future>::poll
     633 (0.5%)     1 (0.0%)  <warp::filters::sse::Event as core::fmt::Display>::fmt
     626 (0.5%)     2 (0.0%)  core::str::pattern::TwoWaySearcher::next
     609 (0.5%)    53 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     598 (0.5%)    12 (0.2%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     584 (0.5%)     8 (0.2%)  std::thread::local::LocalKey<T>::try_with
     580 (0.5%)    10 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
     556 (0.5%)     4 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
     554 (0.5%)     1 (0.0%)  tokio::net::tcp::stream::TcpStream::connect_mio::{{closure}}
     549 (0.5%)     1 (0.0%)  tungstenite::protocol::WebSocketContext::write_message
     519 (0.4%)     1 (0.0%)  warp::reject::Rejections::into_response
     514 (0.4%)     1 (0.0%)  tungstenite::protocol::frame::FrameCodec::read_frame
     502 (0.4%)     2 (0.0%)  <headers::util::flat_csv::FlatCsv<Sep> as core::iter::traits::collect::FromIterator<http::header::value::HeaderValue>>::from_iter
     500 (0.4%)     2 (0.0%)  futures_channel::oneshot::Inner<T>::drop_rx
     498 (0.4%)     1 (0.0%)  warp::filters::fs::bytes_range::{{closure}}
     483 (0.4%)     3 (0.1%)  tokio_tungstenite::compat::AllowStd<S>::with_context
     472 (0.4%)     8 (0.2%)  core::result::Result<T,E>::map
     443 (0.4%)     1 (0.0%)  <warp::filters::ws::WebSocket as futures_sink::Sink<warp::filters::ws::Message>>::poll_close
     440 (0.4%)    11 (0.2%)  core::result::Result<T,E>::expect
     436 (0.4%)     4 (0.1%)  futures_util::future::future::map::_::<impl futures_util::future::future::map::Map<Fut,F>>::project_replace
     434 (0.4%)    18 (0.4%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     432 (0.4%)    18 (0.4%)  core::alloc::layout::Layout::for_value_raw
     422 (0.4%)     1 (0.0%)  tungstenite::protocol::WebSocketContext::write_pending
     420 (0.4%)     3 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     409 (0.3%)     1 (0.0%)  <warp::filters::ws::WebSocket as futures_sink::Sink<warp::filters::ws::Message>>::start_send
     409 (0.3%)     1 (0.0%)  multipart::server::field::with_headers
     408 (0.3%)     1 (0.0%)  http::header::name::StandardHeader::as_str
     397 (0.3%)     1 (0.0%)  tungstenite::protocol::frame::frame::FrameHeader::format
     396 (0.3%)     1 (0.0%)  http::header::map::remove_extra_value
     378 (0.3%)     6 (0.1%)  warp::route::with::{{closure}}
     372 (0.3%)    12 (0.2%)  core::ptr::metadata::from_raw_parts_mut
     371 (0.3%)     1 (0.0%)  <warp::filters::multipart::FormData as futures_core::stream::Stream>::poll_next
     367 (0.3%)     2 (0.0%)  <core::result::Result<T,tungstenite::error::Error> as tungstenite::protocol::CheckConnectionReset>::check_connection_reset
     364 (0.3%)     2 (0.0%)  tokio_tungstenite::compat::cvt
     345 (0.3%)     4 (0.1%)  futures_util::future::try_future::MapOk<Fut,F>::new
     344 (0.3%)     8 (0.2%)  core::option::Option<T>::and_then
     336 (0.3%)    26 (0.5%)  core::option::Option<T>::take
     333 (0.3%)     1 (0.0%)  warp::filters::body::bytes::{{closure}}::{{closure}}
     330 (0.3%)     1 (0.0%)  http::header::map::HeaderMap<T>::insert2
     329 (0.3%)     7 (0.1%)  core::option::Option<T>::ok_or_else
     324 (0.3%)     1 (0.0%)  multipart::server::field::ReadEntry::read_entry
     312 (0.3%)    26 (0.5%)  core::any::TypeId::of
     311 (0.3%)     3 (0.1%)  futures_channel::mpsc::queue::Queue<T>::pop
     310 (0.3%)    62 (1.3%)  core::pin::Pin<P>::new_unchecked
     307 (0.3%)     1 (0.0%)  http::header::map::HeaderMap<T>::entry2
     304 (0.3%)     1 (0.0%)  <headers::map_ext::ToValues as core::iter::traits::collect::Extend<http::header::value::HeaderValue>>::extend
     303 (0.3%)     1 (0.0%)  tokio::net::tcp::stream::TcpStream::connect_addr::{{closure}}
     303 (0.3%)     1 (0.0%)  warp::filters::body::body::{{closure}}::{{closure}}
     300 (0.3%)     6 (0.1%)  scoped_tls::ScopedKey<T>::with
     300 (0.3%)     1 (0.0%)  tungstenite::protocol::frame::frame::Frame::into_close
     298 (0.3%)    10 (0.2%)  alloc::boxed::Box<T>::new
     296 (0.3%)    23 (0.5%)  core::ops::function::FnOnce::call_once
     295 (0.3%)     5 (0.1%)  core::pin::Pin<P>::set
     294 (0.3%)     2 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink
     293 (0.3%)    35 (0.7%)  <T as core::convert::Into<U>>::into
     292 (0.2%)     1 (0.0%)  tungstenite::protocol::message::string_collect::StringCollector::extend
     289 (0.2%)     1 (0.0%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
