  Lines        Copies      Function name
  -----        ------      -------------
  9893 (100%)  555 (100%)  (TOTAL)
   494 (5.0%)   10 (1.8%)  core::mem::replace
   299 (3.0%)    5 (0.9%)  alloc::alloc::box_free
   296 (3.0%)    8 (1.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   285 (2.9%)    1 (0.2%)  <wasm_bindgen_futures::JsFuture as core::convert::From<js_sys::Promise>>::from
   234 (2.4%)    3 (0.5%)  core::cell::RefCell<T>::try_borrow_mut
   205 (2.1%)   11 (2.0%)  core::ptr::read
   198 (2.0%)    3 (0.5%)  alloc::rc::Rc<T>::new
   193 (2.0%)    1 (0.2%)  wasm_bindgen_futures::task::singlethread::Task::spawn
   178 (1.8%)    1 (0.2%)  <wasm_bindgen_futures::JsFuture as core::convert::From<js_sys::Promise>>::from::finish
   171 (1.7%)    7 (1.3%)  core::ops::function::FnOnce::call_once
   170 (1.7%)    4 (0.7%)  core::result::Result<T,E>::expect
   157 (1.6%)    1 (0.2%)  alloc::alloc::Global::grow_impl
   154 (1.6%)    1 (0.2%)  alloc::raw_vec::finish_grow
   149 (1.5%)    3 (0.5%)  core::result::Result<T,E>::map_err
   146 (1.5%)    1 (0.2%)  <wasm_bindgen_futures::JsFuture as core::future::future::Future>::poll
   140 (1.4%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   136 (1.4%)    1 (0.2%)  wasm_bindgen_futures::task::singlethread::Task::run
   135 (1.4%)    4 (0.7%)  core::option::Option<T>::ok_or
   135 (1.4%)    3 (0.5%)  core::cell::RefCell<T>::new
   131 (1.3%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_exact
   129 (1.3%)    1 (0.2%)  wasm_bindgen_futures::queue::Queue::new
   125 (1.3%)    7 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   124 (1.3%)    4 (0.7%)  core::cell::Cell<T>::replace
   120 (1.2%)    3 (0.5%)  <alloc::rc::Rc<T> as core::ops::drop::Drop>::drop
   107 (1.1%)    1 (0.2%)  alloc::collections::vec_deque::ring_slices::RingSlices::ring_slices
    99 (1.0%)    1 (0.2%)  wasm_bindgen::closure::Closure<T>::wrap
    98 (1.0%)    2 (0.4%)  <wasm_bindgen_futures::JsFuture as core::convert::From<js_sys::Promise>>::from::{{closure}}
    89 (0.9%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    87 (0.9%)    3 (0.5%)  alloc::boxed::Box<T>::new
    86 (0.9%)    2 (0.4%)  <T as wasm_bindgen::closure::WasmClosureFnOnce<A,R>>::into_fn_mut::{{closure}}
    84 (0.8%)    1 (0.2%)  wasm_bindgen_futures::queue::QueueState::run_all
    79 (0.8%)    6 (1.1%)  core::option::Option<T>::take
    77 (0.8%)    1 (0.2%)  core::ptr::drop_in_place<[alloc::rc::Rc<wasm_bindgen_futures::task::singlethread::Task>]>
    76 (0.8%)    1 (0.2%)  core::cmp::max_by
    76 (0.8%)    1 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    75 (0.8%)   11 (2.0%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    75 (0.8%)    3 (0.5%)  alloc::rc::RcInnerPtr::inc_strong
    75 (0.8%)    1 (0.2%)  wasm_bindgen_futures::queue::Queue::push_task
    74 (0.7%)    1 (0.2%)  <dyn core::ops::function::FnMut<(A,)>+Output = R as wasm_bindgen::closure::WasmClosure>::describe::invoke
    74 (0.7%)    1 (0.2%)  wasm_bindgen::convert::closures::invoke1_mut
    72 (0.7%)    3 (0.5%)  core::alloc::layout::Layout::for_value
    72 (0.7%)    1 (0.2%)  std::thread::local::LocalKey<T>::try_with
    65 (0.7%)   11 (2.0%)  core::ptr::write
    62 (0.6%)    2 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    58 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    58 (0.6%)    1 (0.2%)  std::thread::local::fast::Key<T>::get
    58 (0.6%)    1 (0.2%)  std::thread::local::fast::Key<T>::try_initialize
    54 (0.5%)    1 (0.2%)  alloc::collections::vec_deque::VecDeque<T,A>::with_capacity_in
    53 (0.5%)    6 (1.1%)  core::cell::UnsafeCell<T>::new
    53 (0.5%)    1 (0.2%)  <alloc::collections::vec_deque::VecDeque<T,A> as core::ops::drop::Drop>::drop
    51 (0.5%)    1 (0.2%)  core::alloc::layout::Layout::array
    50 (0.5%)   11 (2.0%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    50 (0.5%)    1 (0.2%)  core::fmt::Arguments::new_v1
    48 (0.5%)    7 (1.3%)  core::mem::manually_drop::ManuallyDrop<T>::new
