  Lines         Copies      Function name
  -----         ------      -------------
  10979 (100%)  519 (100%)  (TOTAL)
    568 (5.2%)    4 (0.8%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    297 (2.7%)    4 (0.8%)  std::thread::local::LocalKey<T>::try_with
    296 (2.7%)    8 (1.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    292 (2.7%)    6 (1.2%)  core::mem::replace
    290 (2.6%)    5 (1.0%)  alloc::raw_vec::RawVec<T,A>::current_memory
    237 (2.2%)    1 (0.2%)  wasm_bindgen_macro::__wasm_bindgen_class_marker
    237 (2.2%)    1 (0.2%)  wasm_bindgen_macro::wasm_bindgen
    212 (1.9%)    1 (0.2%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    209 (1.9%)    4 (0.8%)  core::result::Result<T,E>::map_err
    206 (1.9%)    2 (0.4%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    197 (1.8%)    3 (0.6%)  alloc::alloc::box_free
    175 (1.6%)    2 (0.4%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    157 (1.4%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    156 (1.4%)    8 (1.5%)  core::ptr::read
    155 (1.4%)    5 (1.0%)  core::ptr::metadata::from_raw_parts_mut
    154 (1.4%)    1 (0.2%)  alloc::raw_vec::finish_grow
    145 (1.3%)    5 (1.0%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    142 (1.3%)    7 (1.3%)  core::ops::function::FnOnce::call_once
    142 (1.3%)    1 (0.2%)  std::panicking::update_hook
    140 (1.3%)    9 (1.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    139 (1.3%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    135 (1.2%)    4 (0.8%)  core::option::Option<T>::ok_or
    129 (1.2%)    3 (0.6%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
