  Lines         Copies      Function name
  -----         ------      -------------
  18607 (100%)  451 (100%)  (TOTAL)
   2990 (16.1%)  20 (4.4%)  untrusted::Input::read_all
   1013 (5.4%)   11 (2.4%)  ring::io::der::nested
    922 (5.0%)   22 (4.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    854 (4.6%)   19 (4.2%)  core::result::Result<T,E>::map_err
    608 (3.3%)    4 (0.9%)  untrusted::read_all_optional
    605 (3.3%)    1 (0.2%)  webpki::der::time_choice::{{closure}}
    446 (2.4%)    2 (0.4%)  webpki::cert::parse_cert_internal::{{closure}}
    363 (2.0%)    2 (0.4%)  webpki::verify_cert::build_chain::{{closure}}
    348 (1.9%)    1 (0.2%)  webpki::name::dns_name::is_valid_dns_id
    343 (1.8%)    1 (0.2%)  webpki::name::verify::check_presented_id_conforms_to_constraints_in_subtree
    319 (1.7%)    1 (0.2%)  webpki::name::dns_name::presented_id_matches_reference_id_internal
    246 (1.3%)    1 (0.2%)  webpki::trust_anchor::parse_cert_v1::{{closure}}::{{closure}}::{{closure}}
    235 (1.3%)    4 (0.9%)  core::option::Option<T>::map
    233 (1.3%)   18 (4.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    229 (1.2%)    1 (0.2%)  webpki::name::ip_address::presented_id_matches_constraint
    225 (1.2%)    2 (0.4%)  webpki::verify_cert::loop_while_non_fatal_error
    204 (1.1%)    1 (0.2%)  webpki::verify_cert::check_basic_constraints
    200 (1.1%)    1 (0.2%)  webpki::name::verify::check_name_constraints
    186 (1.0%)    1 (0.2%)  core::sync::atomic::atomic_compare_exchange
    178 (1.0%)    1 (0.2%)  webpki::signed_data::parse_signed_data
    176 (0.9%)    1 (0.2%)  webpki::calendar::time_from_ymdhms_utc
    174 (0.9%)    1 (0.2%)  webpki::verify_cert::build_chain
    173 (0.9%)    1 (0.2%)  webpki::cert::parse_cert_internal::{{closure}}::{{closure}}::{{closure}}
