  Lines        Copies      Function name
  -----        ------      -------------
  9327 (100%)  343 (100%)  (TOTAL)
   742 (8.0%)    4 (1.2%)  xattr::util::allocate_loop
   444 (4.8%)   10 (2.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   276 (3.0%)    9 (2.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   250 (2.7%)    4 (1.2%)  alloc::alloc::box_free
   229 (2.5%)    1 (0.3%)  xattr::sys::linux_macos::set_path
   227 (2.4%)    1 (0.3%)  xattr::sys::linux_macos::remove_path
   220 (2.4%)    1 (0.3%)  xattr::sys::linux_macos::list_path
   198 (2.1%)    4 (1.2%)  core::result::Result<T,E>::map_err
   186 (2.0%)    1 (0.3%)  xattr::sys::linux_macos::get_path
   157 (1.7%)    1 (0.3%)  alloc::alloc::Global::grow_impl
   156 (1.7%)    1 (0.3%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   154 (1.7%)    1 (0.3%)  alloc::raw_vec::finish_grow
   147 (1.6%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::shrink
   144 (1.5%)    2 (0.6%)  alloc::boxed::Box<T,A>::into_unique
   140 (1.5%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   139 (1.5%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   136 (1.5%)    1 (0.3%)  xattr::sys::linux_macos::list_fd
   132 (1.4%)    1 (0.3%)  xattr::sys::linux_macos::set_fd
   131 (1.4%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_exact
   130 (1.4%)    1 (0.3%)  xattr::sys::linux_macos::remove_fd
   125 (1.3%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
   105 (1.1%)    3 (0.9%)  core::option::Option<T>::ok_or
   104 (1.1%)    1 (0.3%)  xattr::sys::linux_macos::get_fd
    97 (1.0%)    1 (0.3%)  <xattr::sys::linux_macos::XAttrs as core::clone::Clone>::clone_from
    96 (1.0%)    1 (0.3%)  xattr::util::path_to_c
    94 (1.0%)    1 (0.3%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    92 (1.0%)    1 (0.3%)  xattr::util::name_to_c
    90 (1.0%)    1 (0.3%)  xattr::util::extract_noattr::{{closure}}
    89 (1.0%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    88 (0.9%)    2 (0.6%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    88 (0.9%)    1 (0.3%)  alloc::vec::Vec<T,A>::into_boxed_slice
    83 (0.9%)    1 (0.3%)  core::result::Result<T,E>::map
    80 (0.9%)    1 (0.3%)  core::iter::traits::iterator::Iterator::fold
    76 (0.8%)    2 (0.6%)  alloc::boxed::Box<T,A>::from_raw_in
    76 (0.8%)    1 (0.3%)  core::cmp::max_by
    73 (0.8%)    1 (0.3%)  <xattr::sys::linux_macos::XAttrs as core::iter::traits::iterator::Iterator>::next
    73 (0.8%)    1 (0.3%)  core::result::Result<T,E>::or_else
    66 (0.7%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    62 (0.7%)    2 (0.6%)  core::ptr::metadata::from_raw_parts_mut
    61 (0.7%)    1 (0.3%)  core::mem::replace
    59 (0.6%)    3 (0.9%)  core::ptr::read
    59 (0.6%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::into_box
    58 (0.6%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    56 (0.6%)    1 (0.3%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    54 (0.6%)    1 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    52 (0.6%)    2 (0.6%)  alloc::boxed::Box<T>::new
    51 (0.5%)    4 (1.2%)  core::mem::manually_drop::ManuallyDrop<T>::new
    51 (0.5%)    1 (0.3%)  <xattr::sys::linux_macos::XAttrs as core::iter::traits::iterator::Iterator>::size_hint
    51 (0.5%)    1 (0.3%)  core::alloc::layout::Layout::array
    50 (0.5%)    1 (0.3%)  <core::iter::adapters::cloned::Cloned<I> as core::iter::traits::iterator::Iterator>::fold
    50 (0.5%)    1 (0.3%)  alloc::slice::hack::into_vec
    50 (0.5%)    1 (0.3%)  core::fmt::Arguments::new_v1
    49 (0.5%)    1 (0.3%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    47 (0.5%)    1 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    45 (0.5%)    1 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    44 (0.5%)    2 (0.6%)  alloc::boxed::Box<T,A>::leak
    43 (0.5%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    43 (0.5%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
    40 (0.4%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    39 (0.4%)    1 (0.3%)  alloc::raw_vec::handle_reserve
    39 (0.4%)    1 (0.3%)  core::slice::iter::Iter<T>::new
    38 (0.4%)    1 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    37 (0.4%)    4 (1.2%)  core::ptr::unique::Unique<T>::as_ref
    36 (0.4%)    2 (0.6%)  alloc::raw_vec::finish_grow::{{closure}}
    35 (0.4%)    5 (1.5%)  core::ptr::unique::Unique<T>::cast
    35 (0.4%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    35 (0.4%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
    34 (0.4%)    1 (0.3%)  core::num::<impl usize>::overflowing_add
    34 (0.4%)    1 (0.3%)  core::num::<impl usize>::overflowing_mul
    34 (0.4%)    1 (0.3%)  std::io::error::Error::raw_os_error
    32 (0.3%)    1 (0.3%)  core::num::<impl usize>::checked_add
    32 (0.3%)    1 (0.3%)  core::num::<impl usize>::checked_mul
    31 (0.3%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<std::io::error::Custom>>
    31 (0.3%)    1 (0.3%)  core::ptr::metadata::from_raw_parts
    30 (0.3%)    3 (0.9%)  core::ptr::unique::Unique<T>::new_unchecked
    29 (0.3%)    1 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    29 (0.3%)    1 (0.3%)  alloc::raw_vec::alloc_guard
    28 (0.3%)    1 (0.3%)  alloc::alloc::exchange_malloc
    28 (0.3%)    1 (0.3%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    28 (0.3%)    1 (0.3%)  core::ptr::drop_in_place<std::ffi::c_str::CString>
    26 (0.3%)    2 (0.6%)  <core::ptr::unique::Unique<T> as core::convert::From<&mut T>>::from
    26 (0.3%)    1 (0.3%)  <xattr::sys::linux_macos::XAttrs as core::clone::Clone>::clone
    26 (0.3%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<[core::mem::maybe_uninit::MaybeUninit<u8>]>>
    26 (0.3%)    1 (0.3%)  core::ptr::drop_in_place<alloc::boxed::Box<[u8]>>
    25 (0.3%)    1 (0.3%)  std::error::<impl core::convert::From<alloc::string::String> for alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>::from
    22 (0.2%)    4 (1.2%)  <T as core::convert::From<T>>::from
    22 (0.2%)    1 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    21 (0.2%)    3 (0.9%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    21 (0.2%)    2 (0.6%)  core::ops::function::FnOnce::call_once
    20 (0.2%)    3 (0.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    20 (0.2%)    1 (0.3%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    20 (0.2%)    1 (0.3%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index
    20 (0.2%)    1 (0.3%)  xattr::sys::linux_macos::get_path::{{closure}}
    19 (0.2%)    1 (0.3%)  std::io::error::Error::new
    18 (0.2%)    2 (0.6%)  core::ptr::slice_from_raw_parts_mut
    18 (0.2%)    1 (0.3%)  <std::ffi::os_str::OsStr as std::os::unix::ffi::os_str::OsStrExt>::from_bytes
    18 (0.2%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::shrink::{{closure}}
