  Lines         Copies       Function name
  -----         ------       -------------
  23367 (100%)  1008 (100%)  (TOTAL)
    821 (3.5%)     1 (0.1%)  xdg::BaseDirectories::with_env_impl
    676 (2.9%)    15 (1.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    548 (2.3%)     4 (0.4%)  core::iter::traits::iterator::Iterator::try_fold
    446 (1.9%)     4 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    352 (1.5%)     6 (0.6%)  alloc::alloc::box_free
    334 (1.4%)     6 (0.6%)  core::result::Result<T,E>::map_err
    303 (1.3%)     3 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    289 (1.2%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    280 (1.2%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    278 (1.2%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    266 (1.1%)    13 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    259 (1.1%)     1 (0.1%)  xdg::BaseDirectories::get_runtime_directory
    241 (1.0%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    222 (1.0%)     5 (0.5%)  core::mem::replace
    211 (0.9%)     5 (0.5%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    199 (0.9%)     1 (0.1%)  <xdg::BaseDirectoriesError as core::fmt::Display>::fmt
    195 (0.8%)     1 (0.1%)  xdg::read_file
    194 (0.8%)     5 (0.5%)  core::option::Option<T>::ok_or
    191 (0.8%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    190 (0.8%)     3 (0.3%)  core::result::Result<T,E>::map
    187 (0.8%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    186 (0.8%)     6 (0.6%)  core::fmt::ArgumentV1::new
    184 (0.8%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    166 (0.7%)     2 (0.2%)  core::iter::traits::iterator::Iterator::fold
    159 (0.7%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    157 (0.7%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    154 (0.7%)     1 (0.1%)  alloc::raw_vec::finish_grow
    153 (0.7%)     9 (0.9%)  core::ops::function::FnOnce::call_once
    150 (0.6%)     2 (0.2%)  xdg::BaseDirectories::get_runtime_directory::{{closure}}
    150 (0.6%)     1 (0.1%)  xdg::list_files
    145 (0.6%)     8 (0.8%)  core::ptr::read
    142 (0.6%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    139 (0.6%)     1 (0.1%)  xdg::FileFindIterator::new
    131 (0.6%)     1 (0.1%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
    131 (0.6%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_resize
    126 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    123 (0.5%)     2 (0.2%)  hashbrown::raw::RawTable<T,A>::find
    122 (0.5%)     4 (0.4%)  std::path::Path::join
    122 (0.5%)     2 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    122 (0.5%)     2 (0.2%)  core::iter::traits::iterator::Iterator::find::check::{{closure}}
    122 (0.5%)     1 (0.1%)  <xdg::FileFindIterator as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
    122 (0.5%)     1 (0.1%)  <xdg::FileFindIterator as core::iter::traits::iterator::Iterator>::next
    122 (0.5%)     1 (0.1%)  core::iter::adapters::filter::filter_try_fold::{{closure}}
    120 (0.5%)     2 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
    116 (0.5%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    116 (0.5%)     1 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
    111 (0.5%)     2 (0.2%)  alloc::vec::Vec<T,A>::push
    109 (0.5%)     1 (0.1%)  <xdg::BaseDirectories as core::fmt::Debug>::fmt
    108 (0.5%)     1 (0.1%)  core::hash::sip::u8to64_le
    108 (0.5%)     1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    106 (0.5%)     2 (0.2%)  core::iter::traits::iterator::Iterator::for_each
    106 (0.5%)     1 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
    106 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place
    105 (0.4%)     1 (0.1%)  <xdg::BaseDirectoriesErrorKind as core::fmt::Debug>::fmt
    103 (0.4%)     1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
    102 (0.4%)     2 (0.2%)  core::alloc::layout::Layout::array
    100 (0.4%)     2 (0.2%)  core::option::Option<T>::and_then
     99 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place::{{closure}}
     98 (0.4%)     2 (0.2%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     97 (0.4%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
     93 (0.4%)     2 (0.2%)  core::hash::BuildHasher::hash_one
     92 (0.4%)     2 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     92 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_insert_slot
     89 (0.4%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     89 (0.4%)     1 (0.1%)  xdg::BaseDirectories::with_env_impl::abspaths
