  Lines         Copies       Function name
  -----         ------       -------------
  64546 (100%)  2175 (100%)  (TOTAL)
   1461 (2.3%)     1 (0.0%)  yaml_rust::parser::Parser<T>::parse_node
   1056 (1.6%)    23 (1.1%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    834 (1.3%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    809 (1.3%)     1 (0.0%)  yaml_rust::scanner::Scanner<T>::scan_flow_scalar
    689 (1.1%)     1 (0.0%)  yaml_rust::scanner::Scanner<T>::scan_tag
    681 (1.1%)     1 (0.0%)  yaml_rust::scanner::Scanner<T>::fetch_next_token
    679 (1.1%)     1 (0.0%)  yaml_rust::scanner::Scanner<T>::scan_block_scalar
    629 (1.0%)     1 (0.0%)  <yaml_rust::yaml::YamlLoader as yaml_rust::parser::MarkedEventReceiver>::on_event
    579 (0.9%)     1 (0.0%)  yaml_rust::scanner::Scanner<T>::scan_plain_scalar
    560 (0.9%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    522 (0.8%)     9 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    516 (0.8%)    11 (0.5%)  core::mem::replace
    510 (0.8%)     1 (0.0%)  yaml_rust::parser::Parser<T>::flow_mapping_key
    503 (0.8%)     1 (0.0%)  yaml_rust::parser::Parser<T>::load_mapping
    494 (0.8%)    24 (1.1%)  core::ptr::read
    475 (0.7%)    23 (1.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    448 (0.7%)     1 (0.0%)  yaml_rust::emitter::YamlEmitter::emit_hash
    427 (0.7%)     1 (0.0%)  yaml_rust::emitter::escape_str
    416 (0.6%)     1 (0.0%)  yaml_rust::parser::Parser<T>::load
    412 (0.6%)     1 (0.0%)  yaml_rust::parser::Parser<T>::load_document
    408 (0.6%)     8 (0.4%)  core::alloc::layout::Layout::array
    393 (0.6%)     1 (0.0%)  yaml_rust::scanner::Scanner<T>::scan_directive
